bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2162,40279,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,10,62,,,,,,,264,12,,,,,47,24,2040,22,,,,,,,,,,,21766,5,,,1278,29,,,,,,,197,22,,,,,1643,22,,,,,2,5,,,,,,,,,,,,,,,,,42,43,,,,,,,,,,,255,14,,,,,,,16,20,,,,,,,6,9,861,28,237,43,,,,,,,6,4,,,,,84,16,,,,,,,,,,,,,,,,,35,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,43,12,8,,,,,,,,,,,,,,,,,,,,,,,775,17,,,,,517,18,,,,,20,12,6857,4,,,,,,,,,,,,,,,,,9,8,,,,,8,17,,,,,17,20,,,,,202,13,,,,,,,,,,,,,,,,,,,68,19,,,,,168,8,,,,,,,,,91,12,,,,,,,,,,,,,,,,,,,,,,,2548,5
13,36619,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,4,,,,,,,212,14,,,7,8,74,16,3352,16,,,,,,,135,8,,,16081,14,4,30,3261,14,,,6,11,,,84,38,,,7,2,1626,23,,,,,,,,,,,,,5,4,,,,,,,,,2719,2,,,,,,,,,,,262,13,,,12,1,,,,,,,,,,,,,702,33,1877,10,,,,,,,,,,,,,112,13,,,,,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340,4,20,3,95,17,,,,,,,,,,,,,,,,,,,,,594,20,,,,,628,14,,,,,72,10,1276,16,,,,,,,,,,,,,,,,,,,,,20,17,60,9,,,,,96,12,,,,,277,10,,,,,,,,,,,,,,,,,,,52,24,,,,,,,,,,,,,,,33,19,,,,,,,,,,,,,,,,,,,,,,,379,24
2181,35673,13,,,,,,,,,,,224,13,,,,,,,,,,,12,3,,,,,,,348,7,,,,,,,,,,,,,,,58,19,,,,,,,194,17,,,,,149,9,2278,20,,,,,,,246,6,,,10449,21,11,7,2454,17,296,2,9,8,,,292,13,,,,,2079,18,,,,,,,,,,,,,,,,,,,,,,,367,11,,,,,218,10,,,,,430,9,,,,,,,339,7,,,,,,,21,4,1414,16,818,17,,,,,,,83,3,,,,,34,30,,,,,,,,,,,,,,,18,3,40,10,58,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2441,3,20,4,161,12,,,,,,,,,,,,,,,,,,,,,1922,8,,,,,494,19,,,,,256,7,3213,9,,,,,,,,,,,12,4,,,,,47,5,,,123,9,63,8,,,,,93,13,26,1,,,1782,1,,,,,,,,,,,,,123,6,,,,,253,11,,,,,232,6,56,2,,,,,,,,,,,,,,,,,,,10,8,,,,,,,,,,,1407,9
181,33821,14,18,4,,,,,,,,,413,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,21,,,,,,,,,,,,,133,11,4118,9,,,,,,,,,,,17278,9,,,3706,12,,,4,16,,,108,33,,,,,2566,13,,,,,,,,,,,,,,,,,,,,,,,334,13,,,,,646,4,,,,,142,19,,,,,,,,,,,,,,,,,466,43,224,46,,,,,,,,,,,,,,,,,,,,,3,8,,,,,,,,,63,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,18,,,112,15,,,,,,,,,,,,,,,,,,,,,466,23,,,,,382,20,,,,,,,724,22,,,,,,,,,,,,,,,,,577,2,,,,,,,,,2,4,,,,,,,253,12,,,,,,,,,,,,,19,13,,,,,83,17,,,,,46,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,31
2136,30543,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,5,,,,,,,,,,,,,,,,,,,,,,,675,3,,,,,,,5670,5,,,,,,,,,,,10412,22,9,11,1333,25,,,,,2212,4,,,,,,,1038,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,6,,,,,450,7,11,7,,,,,,,,,,,,,,,949,26,,,,,,,,,,,,,,,19,53,,,,,,,,,,,,,,,,,,,,,,,,,,,43,3,,,,,,,,,,,,,,,,,,,,,2063,7,,,,,,,,,,,,,,,,,,,,,,,,,2828,5,,,,,,,,,,,,,124,66,,,,,,,,,,,,,,,,,31,6,,,386,2,,,,,19,2,,,15,3,,,588,5,,,,,,,,,,,,,,,,,,,622,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,43
5072,30052,16,,,,,,,,,,,4418,2,,,,,,,,,,,,,,,,,,,41,14,,,,,476,2,,,,,,,,,17,42,,,,,,,,,,,,,195,6,951,50,,,,,,,,,,,18706,8,7,15,234,62,,,,,51,17,,,,,,,650,51,,,,,,,,,,,,,,,,,222,2,,,,,,,1259,2,,,,,,,,,,,,,,,,,272,8,,,,,,,,,188,71,344,36,,,,,,,,,,,,,64,19,,,,,,,,,,,,,,,,,,,,,,,,,44,1,,,156,2,,,355,2,94,6,,,,,,,,,,,,,111,60,6,13,139,14,,,,,,,,,,,,,,,,,,,,,,,,,,,62,44,,,,,,,170,57,,,,,,,,,,,,,,,,,,,61,2,,,,,,,,,,,,,,,75,33,,,,,609,2,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,65
1294,29693,17,,,,,,,,,,,65,18,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,13,,,,,,,,,,,,,71,17,1946,25,,,,,,,,,,,16181,13,3,42,1878,22,,,7,10,166,14,280,15,,,,,3853,9,,,,,,,,,,,,,,,7,5,,,,,,,335,12,,,,,,,,,,,234,16,,,,,,,40,14,,,,,5,6,,,1830,10,,,,,,,,,,,,,,,297,4,,,,,,,,,,,,,,,,,,,20,11,,,,,,,,,,,,,,,11,10,,,,,,,,,,,,,944,14,,,64,25,,,,,,,5,7,,,,,,,,,,,,,91,47,,,,,,,,,,,,,655,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,10,,,,,164,18,,,,,,,,,,,,,17,15,,,,,45,26,,,,,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,27
178900,26477,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,35,,,,,,,92,23,,,,,,,1368,35,,,,,,,,,,,21257,6,,,,,,,,,,,,,,,,,951,37,,,,,,,,,,,,,,,,,,,,,,,1059,6,,,,,,,,,,,19,43,,,,,,,,,,,,,,,,,449,45,154,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,36,,,,,,,,,,,,,,,,,,,,,,,,,150,38,,,,,,,,,,,,,661,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,26231,19,9,7,9,4,,,,,,,,,,,,,,,6,6,,,,,,,,,,,28,17,,,,,,,,,7,5,,,,,46,23,,,,,,,257,13,,,,,66,19,2201,21,,,,,,,,,,,11746,20,5,23,1210,30,17,13,5,13,21,20,149,28,,,,,1344,26,,,,,,,,,,,,,,,,,,,,,,,111,25,,,,,32,14,,,,,85,24,,,,,,,59,12,,,,,,,,,1130,24,2752,7,,,,,,,,,,,,,60,21,,,,,,,6,6,,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,31,3,17,82,21,,,,,,,,,,,,,,,,,,,,,410,25,,,,,1100,6,,,,,,,1381,15,,,,,,,,,,,,,,,,,,,,,,,20,14,,,,,17,19,,,,,137,20,,,,,,,,,,,,,73,9,,,,,63,20,,,,,68,16,,,,,,,,,80,14,,,,,,,,,,,,,,,,,,,,,,,1080,11
50381,26132,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,41,2014,23,,,,,,,,,,,20726,7,,,574,41,,,,,56,16,209,20,,,,,429,64,,,,,,,,,,,,,,,,,,,,,,,218,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198,20,122,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29351,26007,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,,,,,,,,,,,,,,,,,,,,,,,,,209,15,,,,,,,3666,12,,,,,,,,,,,4642,46,,,449,45,136,3,,,,,109,32,,,,,551,57,,,,,,,,,,,,,,,,,,,,,,,745,7,,,,,,,,,,,61,28,51,5,,,,,,,,,,,,,,,,,140,55,,,,,,,,,,,,,15,69,,,,,,,,,,,,,,,,,306,2,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,45,,,,,,,,,,,,,,,,,,,,,,,,,1861,9,,,,,,,,,,,,,11370,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,37,,,,,,,,,,,,,,,,,,,,,,,,,700,1,,,,,,,,,521,6,,,,,,,,,,,,,,,,,,,,,,,93,51
28,25997,22,,,,,,,,,,,420,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,69,,,,,,,,,,,6889,32,,,4424,10,,,,,,,31,60,,,,,756,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,11,,,,,,,,,1092,25,10675,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,69,,,,,,,,,,,,,,,,,,,392,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886,24025,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,3,,,,,,,,,,,,,,,36,29,,,,,,,309,11,,,,,89,14,5239,7,,,,,,,,,,,4133,50,6,20,1305,27,19,12,49,2,358,7,222,19,,,,,1267,30,,,,,5,4,,,,,,,,,,,,,,,,,47,41,,,,,,,,,,,1131,2,,,,,,,,,,,,,,,,,2641,8,430,31,,,,,,,,,,,,,33,32,,,,,,,,,18,2,,,5,14,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,41,4,16,167,11,,,,,,,,,,,,,,,,,,,,,752,19,,,,,1060,8,,,,,479,4,340,39,,,,,,,,,,,,,,,,,,,,,143,7,25,13,,,,,2069,2,,,,,98,26,,,,,,,,,,,,,,,,,,,454,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,47
2921,22300,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,50,,,,,,,,,,,,,,,1388,33,,,,,,,,,,,16744,10,,,,,,,,,,,,,,,,,541,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2367,8,,,,,,,,,,,,,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
