,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,29351,20401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,12,,,,,,,,,5002,19,,,135,53,119,2,,,,,101,16,,,144,68,,,,,,,,,,,,,,,,,163,8,,,,,,,,,,,22,30,7,5,,,,,,,,,,,,,,,75,53,,,,,,,,,,,,,,,,,,,,,,,,,199,3,91,2,,,,,,,,,,,,,,,,,,,,,,,,,,,59,57,,,,,,,,,,,,,,,,,305,18,,,,,,,,,,,10902,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,39,,,,,,,,,,,,,,,,,,,,,,,1115,1,,,,,,,,,236,5,,,,,,,,,,,,,,,,,,,,,,
11,12,50381,17030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16163,3,,,,,,,,,13,14,145,6,,,,,,,,,,,,,,,,,,,,,83,14,,,,,,,,,,,,,,,,,,,,,,,,,,,529,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,2719,16931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,19,701,35,,,,,,,,,14487,4,7,12,267,36,,,,,,,22,46,,,738,20,,,,,,,,,,,,,,,,,78,16,,,,,,,,,,,8,45,,,,,,,,,,,,,,,180,40,,,,,,,,,,,,,10,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,50,,,,,,,,,,,,,,,,,32,58,,,,,,,,,,,145,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,42,,,,,,,,,,,,,,,,,,,,,,,5,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,32
13,14,181,16628,10,3,,,,,,,,,204,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,10,,,,,,,,,,,,,126,7,1482,15,,,,,,,,,9014,11,,,1729,9,,,9,7,,,49,27,,,935,14,,,,,,,,,,,,,,,,,124,10,,,,,132,5,,,,,100,16,,,,,,,,,,,,,,,148,47,154,39,,,,,,,,,,,,,,,,,3,7,,,,,,,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,17,,,80,9,,,,,,,,,,,,,225,24,,,,,97,28,,,,,776,18,,,,,,,,,,,,,18,5,,,,,,,,,3,2,,,,,,,574,3,,,,,,,,,,,7,13,,,,,105,14,,,,,24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,28
14,15,320,16432,,,,,,,,,,,95,8,,,,,,,,,,,,,,,72,9,,,,,,,,,16,3,,,,,54,3,,,,,,,64,18,,,12,3,33,21,1234,17,,,,,207,5,,,7068,13,16,4,1272,13,12,11,,,,,129,9,,,1506,8,,,,,9,2,,,11,2,,,5,3,,,54,23,98,3,,,,,,,,,137,9,,,,,390,4,,,,,,,4,8,132,48,388,22,,,19,4,,,,,12,3,44,18,,,,,10,4,,,,,,,16,9,,,,,,,,,6,7,,,,,136,3,,,,,,,,,,,,,503,11,92,1,34,22,,,1,8,,,,,,,,,349,15,,,,,186,19,,,49,8,1154,13,,,,,,,,,5,3,,,,,,,53,7,54,4,,,,,,,,,,,95,20,,,,,16,4,3,4,,,21,8,,,,,156,13,,,8,1,43,12,,,,,,,,,54,8,,,,,,,,,,,,,,,,,,,,,295,15
15,16,27443,15259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,36,,,,,,,49,20,,,2,9,37,20,729,33,,,,,,,,,762,107,4,32,680,23,18,9,,,,,91,19,,,344,42,,,,,,,,,,,,,,,,,,,,,,,41,11,,,,,,,,,,,,,,,,,,,,,350,25,7014,1,,,,,,,,,,,1549,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,23,,,,,,,,,,,,,,,,,290,19,,,,,210,17,,,,,656,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208,3
16,17,2243,14748,,,,,,,,,,,,,,,,,,,,,,,,,,,24,12,,,,,,,,,,,,,,,3,56,,,,,,,,,,,,,,,2841,8,,,,,,,,,6154,17,,,,,,,,,,,,,,,1754,6,,,,,,,,,,,,,,,,,,,,,,,41,10,,,,,81,18,,,,,,,,,,,,,,,433,20,196,33,,,,,,,,,,,11,47,,,,,,,,,,,,,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,4,,,,,,,,,,,,,,,,,843,5,,,,,343,9,,,24,10,775,19,,,,,,,7,4,,,,,,,,,,,44,5,,,,,355,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,57
17,18,1294,13173,,,,,,,,,,,47,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,13,,,,,,,,,,,,,58,14,617,38,,,,,,,,,7573,12,7,11,796,20,,,,,,,121,13,,,1578,7,,,,,,,,,,,,,,,,,139,9,,,,,,,,,,,63,20,,,,,27,13,,,,,4,5,,,655,7,,,,,,,,,,,,,102,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,,,,,,,,,,,,,372,13,,,40,19,,,7,4,,,,,,,,,45,51,,,,,,,,,,,506,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,15,,,,,,,,,,,,,,,,,30,27,,,,,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,21
18,19,13,13062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,5,,,,,,,168,10,,,5,5,29,22,963,20,,,,,,,,,6362,16,1,44,1256,14,,,13,5,,,,,3,2,658,24,,,,,,,,,,,,,,,,,273,4,,,,,,,,,,,125,12,,,,,,,,,,,,,,,277,27,1027,12,,,,,,,,,,,120,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,129,14,3,25,30,,,,,,,,,,,,,257,22,,,,,247,14,,,44,9,657,20,,,,,,,,,,,,,,,,,12,19,14,9,,,,,35,5,,,,,111,18,,,,,,,,,,,,,,,,,44,22,,,,,,,,,,,,,,,10,17,,,,,,,,,,,,,,,,,,,,,261,18
19,20,2425,13016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,21,15,,,,,,,,,,,,,58,15,827,25,,,,,,,,,4418,24,3,35,1304,12,,,3,12,75,8,125,11,,,1206,12,,,,,,,,,,,,,,,,,97,12,,,,,,,,,,,17,33,,,,,,,,,,,,,,,570,11,770,16,,,,,,,,,,,14,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,26,,,,,,,,,,,,,,,,,320,16,,,,,385,8,,,77,4,2050,8,,,,,,,,,,,,,,,,,75,4,,,,,,,,,,,,,156,16,,,,,21,3,,,,,,,,,,,,,,,,,44,11,,,,,,,,,27,11,,,,,,,,,,,,,,,,,,,,,182,23
20,21,25821,11345,,,,,,,,,,,46,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444,9,,,,,,,,,6,957,7,13,,,,,,,,,,,,,3684,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208,2,,,,,,,,,,,,,,,,,,,,,,,20,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,822,9503,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,,,,,,,,,,,,,,,11,30,,,,,,,,,,,3,7,12,41,967,19,,,,,,,,,3968,26,3,33,558,26,,,,,,,130,8,,,425,34,,,,,,,,,,,,,,,,,35,29,,,,,,,,,,,104,14,,,,,,,,,,,,,,,418,23,685,17,,,,,,,,,,,54,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,16,2,19,50,15,,,,,,,,,,,,,498,10,,,,,105,26,,,,,520,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,14,,,,,,,,,,,,,,,,,,,,,,,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,12
22,23,5432,9412,,,,,,,,,,,164,7,,,8,2,,,,,,,,,,,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,63,,,,,,,,,6415,15,,,1202,15,,,,,110,6,13,67,,,191,63,,,,,,,,,,,,,2,4,,,97,13,25,4,,,,,,,,,,,,,,,344,5,,,,,,,,,102,56,98,47,,,,,,,,,,,13,44,,,,,,,,,,,,,,,15,7,,,,,,,7,6,,,15,3,,,,,,,,,,,,,,,84,45,8,9,31,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,16,3,,,94,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,40
23,24,2136,8619,,,,,,,,,,,,,,,,,,,,,,,,,,,144,6,,,,,,,,,,,,,,,,,,,,,,,188,7,,,,,,,3215,4,,,,,,,,,2162,50,8,7,173,46,,,,,212,5,,,,,246,52,,,,,,,,,,,,,,,,,,,,,,,107,6,,,,,141,8,,,,,,,,,,,,,,,203,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,,,,,,,,,,,,,,,,,,,,,577,8,,,,,,,,,,,,,,,,,621,7,,,,,,,,,,,62,65,,,,,,,,,,,,,,,,,76,3,,,,,,,,,8,3,,,326,7,,,,,,,,,,,,,,,,,77,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,55
24,25,5072,7986,,,,,,,,,,,11,17,,,,,,,,,,,,,,,12,17,,,,,27,2,,,,,,,,,6,41,,,,,,,,,,,,,129,6,538,41,,,,,,,,,5730,18,19,2,94,61,,,,,,,,,,,347,40,,,,,,,,,,,,,12,2,,,,,109,2,,,,,,,,,,,,,,,180,8,,,,,,,,,70,75,257,29,,,,,,,,,,,11,48,,,,,,,,,,,,,,,,,,,7,1,,,27,3,,,46,2,,,,,,,,,,,,,,,45,63,4,15,91,8,,,,,,,,,,,,,,,,,,,,,,,,,101,56,,,,,,,,,,,,,,,17,2,,,,,,,,,,,,,,,13,68,,,,,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,46
25,26,811,7941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,12,,,,,,,26,25,,,,,,,927,21,,,,,,,,,2716,39,,,1003,19,,,,,,,40,31,,,921,16,,,,,,,,,,,,,,,,,193,7,,,,,,,,,,,39,25,,,,,,,,,,,,,,,66,78,187,35,,,,,,,,,,,365,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,6,,,24,31,,,,,,,,,,,,,280,20,,,,,229,15,,,51,7,201,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,63
26,27,6819,7593,,,,,,,,,,,,,,,,,,,,,,,,,,,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,18,4705,2,,,,,,,,,1445,68,5,24,,,,,,,,,42,30,,,340,43,,,,,,,,,,,,,,,,,36,28,,,,,,,,,,,,,,,,,,,,,,,5,3,,,104,55,53,58,,,,,,,,,,,20,33,,,,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,69,53,,,21,32,,,,,,,,,,,,,307,17,,,,,29,47,,,,,167,47,,,,,,,,,,,,,,,,,14,17,,,,,,,,,,,,,59,30,,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,42
27,28,2952,7274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,14,,,,,,,,,,,,,64,12,742,31,,,,,,,,,3601,29,8,10,654,24,,,8,8,,,109,15,,,649,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,,,,,,,,,422,22,32,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,20,,,76,10,,,,,,,,,,,,,,,,,,,103,27,,,,,153,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,2392,7093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,32,,,,,,,65,17,,,,,,,770,28,,,,,,,,,3842,27,,,304,32,,,14,4,105,7,,,,,683,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,24,,,,,,,,,,,,,,,258,28,262,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,22,,,26,29,,,,,,,,,,,,,243,23,,,,,115,25,,,,,,,,,,,,,,,,,,,,,,,9,22,,,,,,,9,9,,,,,75,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,43
