bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
50381,22595,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21713,3,,,,,,,,,7,16,189,7,,,,,,,,,,,,,,,,,,,,,69,20,,,,,,,,,,,,,,,,,,,,,,,,,,,617,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,21053,12,21,4,,,,,,,,,262,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,22,,,,,,,,,,,,,129,7,1781,14,,,,,,,,,12163,8,,,1672,7,,,11,6,,,124,16,,,1241,11,,,,,,,,,,,,,,,,,139,9,,,,,353,2,,,,,162,12,,,,,,,,,,,,,,,194,42,136,42,,,,,,,,,,,,,,,,,,,8,6,,,,,,,61,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,15,,,93,7,,,,,,,,,,,,,334,21,,,,,134,23,,,,,1012,18,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,298,6,,,,,,,,,,,12,12,,,,,93,15,,,,,31,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,26
320,17795,13,,,,,,,,,,,141,9,,,,,,,,,,,,,,,108,9,,,,,,,,,6,8,,,,,63,3,,,,,,,133,12,,,14,4,38,20,1189,20,,,,,493,3,,,7085,14,18,2,1296,14,31,7,,,,,157,12,,,1941,6,,,,,11,3,,,8,2,,,12,2,,,40,25,88,3,,,,,,,,,204,8,,,,,403,4,,,,,,,11,5,238,36,359,23,,,13,3,,,,,9,3,41,21,,,,,,,9,4,,,,,,,14,11,,,,,,,,,5,7,,,,,84,3,,,,,,,,,,,,,604,12,110,1,47,23,,,,,,,,,,,,,500,12,,,,,198,19,,,52,8,1303,13,,,,,,,,,6,3,,,,,,,52,10,50,6,,,,,,,,,,,73,25,,,,,4,8,11,2,,,28,9,,,,,138,13,,,6,1,44,11,,,,,,,,,36,9,,,,,,,,,,,,,,,,,,,,,271,19
2243,17165,14,,,,,,,,,,,,,,,,,,,,,,,,,,,29,13,,,,,,,,,,,,,,,7,45,,,,,,,,,,,,,,,3311,8,,,,,,,,,6551,16,,,,,,,,,,,,,,,2043,5,,,,,,,,,,,,,,,,,,,,,,,58,11,,,,,101,19,,,,,,,,,,,,,,,546,21,210,32,,,,,,,,,,,12,46,,,,,,,,,,,,,,,49,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098,4,,,,,,,,,,,,,,,,,1079,5,,,,,415,8,,,24,10,1121,15,,,,,,,3,7,,,,,,,,,,,55,4,,,,,414,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,59
13,16603,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,11,,,,,,,155,10,,,6,6,40,18,1657,16,,,,,,,,,7846,12,10,12,1609,9,,,6,11,,,,,6,2,793,23,,,,,,,,,,,,,,,,,293,4,,,,,,,,,,,208,7,,,,,,,,,,,,,,,329,30,1187,10,,,,,,,,,,,177,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,114,24,4,49,19,,,,,,,,,,,,,382,19,,,,,273,13,,,35,9,871,20,,,,,,,,,,,,,,,,,34,12,32,7,,,,,48,5,,,,,162,14,,,,,,,,,,,,,,,,,31,27,,,,,,,,,,,,,,,12,11,,,,,,,,,,,,,,,,,,,,,288,16
1294,14898,16,,,,,,,,,,,42,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,14,,,,,,,,,,,,,76,15,807,34,,,,,,,,,7771,13,14,5,1413,13,,,,,,,172,8,,,1578,9,,,,,,,,,,,,,,,,,122,11,,,,,,,,,,,123,17,,,,,24,13,,,,,6,3,,,826,7,,,,,,,,,,,,,104,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,537,14,,,38,25,,,2,6,,,,,,,,,58,48,,,,,,,,,,,690,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,13,,,,,,,,,,,,,,,,,57,21,,,,,14,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,24
2425,14360,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,32,12,,,,,,,,,,,,,99,10,1063,23,,,,,,,,,5092,22,12,10,1180,15,,,2,13,74,8,244,5,,,1088,15,,,,,,,,,,,,,,,,,118,12,,,,,,,,,,,7,47,,,,,,,,,,,,,,,702,11,672,16,,,,,,,,,,,22,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,21,,,,,,,,,,,,,,,,,372,20,,,,,390,9,,,99,4,2218,9,,,,,,,,,,,,,,,,,81,7,,,,,,,,,,,,,290,7,,,,,5,6,,,,,,,,,,,,,,,,,75,8,,,,,,,,,10,13,,,,,,,,,,,,,,,,,,,,,152,28
25821,14243,18,,,,,,,,,,,174,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2672,10,,,,,,,,,3,960,9,16,,,,,,,,,,,,,3328,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6718,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316,3,,,,,,,,,,,,,,,,,,,,,,,23,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,11717,19,,,,,,,,,,,,,,,,,,,,,,,,,,,28,14,,,,,,,,,,,,,,,20,21,,,,,,,,,,,1,9,9,52,1218,19,,,,,,,,,4616,24,7,18,591,24,,,,,,,423,3,,,531,31,,,,,,,,,,,,,,,,,41,23,,,,,,,,,,,133,15,,,,,,,,,,,,,,,558,20,601,18,,,,,,,,,,,68,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,13,10,12,76,12,,,,,,,,,,,,,616,9,,,,,111,26,,,,,754,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,12,,,,,,,,,,,,,,,,,,,,,,,11,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,10
2136,10612,20,,,,,,,,,,,,,,,,,,,,,,,,,,,160,7,,,,,,,,,,,,,,,,,,,,,,,355,5,,,,,,,3794,4,,,,,,,,,2982,38,12,8,156,49,,,,,196,3,,,,,272,55,,,,,,,,,,,,,,,,,,,,,,,163,5,,,,,176,11,,,,,,,,,,,,,,,341,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,,,,,,,,,,,,,,,,,,,,,650,11,,,,,,,,,,,,,,,,,795,7,,,,,,,,,,,56,75,,,,,,,,,,,,,,,,,104,4,,,,,,,,,7,3,,,259,9,,,,,,,,,,,,,,,,,84,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,69
811,9661,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,8,,,,,,,29,24,,,,,,,1241,18,,,,,,,,,3042,37,,,1057,18,,,,,,,78,25,,,1100,13,,,,,,,,,,,,,,,,,180,8,,,,,,,,,,,69,23,,,,,,,,,,,,,,,71,83,217,31,,,,,,,,,,,484,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,5,,,28,28,,,,,,,,,,,,,396,18,,,,,216,15,,,62,6,298,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27443,9317,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,34,,,,,,,61,21,,,6,7,40,19,677,38,,,,,,,,,1013,92,6,25,601,23,18,12,,,,,87,23,,,392,38,,,,,,,,,,,,,,,,,,,,,,,58,12,,,,,,,,,,,,,,,,,,,,,360,28,,,,,,,,,,,,,1954,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,24,,,,,,,,,,,,,,,,,305,23,,,,,215,16,,,,,732,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2533,4
5072,9240,23,,,,,,,,,,,9,18,,,,,,,,,,,,,,,9,21,,,,,31,2,,,,,,,,,14,29,,,,,,,,,,,,,111,8,548,42,,,,,,,,,6787,15,4,34,89,64,,,,,,,,,,,344,43,,,,,,,,,,,,,11,3,,,,,153,2,,,,,,,,,,,,,,,206,8,,,,,,,,,88,73,250,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,,,14,4,,,148,2,,,,,,,,,,,,,,,38,67,10,13,86,10,,,,,,,,,,,,,,,,,,,,,,,,,147,53,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,37,41,,,,,44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,62
5432,8976,24,,,,,,,,,,,209,6,,,7,2,,,,,,,,,,,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,55,,,,,,,,,5636,18,,,1112,17,,,,,125,7,15,64,,,238,61,,,,,,,,,,,,,2,4,,,124,10,55,4,,,,,,,,,,,,,,,270,6,,,,,,,,,145,50,82,49,,,,,,,,,,,7,53,,,,,,,,,,,,,,,,,20,7,,,,,,,7,6,,,30,3,,,,,,,,,,,,,,,137,34,10,14,60,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,6,3,,,185,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,40
2392,8718,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,33,,,,,,,109,14,,,,,,,854,31,,,,,,,,,4654,23,,,330,31,,,15,4,137,6,,,,,979,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,27,,,,,,,,,,,,,,,362,27,322,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,18,,,48,21,,,,,,,,,,,,,246,26,,,,,91,27,,,,,,,,,,,,,,,,,,,,,,,12,20,,,,,,,12,10,,,,,94,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,44
6819,8499,26,,,,,,,,,,,,,,,,,,,,,,,,,,,31,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,14,5360,2,,,,,,,,,1613,64,9,14,,,,,,,,,38,33,,,334,46,,,,,,,,,,,,,,,,,21,34,,,,,,,,,,,,,,,,,,,,,,,6,4,,,88,74,,,,,,,,,,,,,15,41,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,,61,54,,,28,29,,,,,,,,,,,,,401,17,,,,,43,39,,,,,180,48,,,,,,,,,,,,,,,,,19,16,,,,,,,,,,,,,57,27,,,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,47
2719,8161,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,71,,,,,,,,,,,,,36,22,654,40,,,,,,,,,5623,19,8,17,261,39,,,,,,,25,45,,,854,22,,,,,,,,,,,,,,,,,84,15,,,,,,,,,,,16,37,,,,,,,,,,,,,,,197,41,,,,,,,,,,,,,9,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,47,,,,,,,,,,,,,,,,,27,72,,,,,,,,,,,163,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,49,,,,,,,,,,,,,,,,,,,,,,,5,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,37
3886,7980,28,,,,,,,,,,,,,,,,,,,,,,,,,,,239,5,,,,,,,,,,,,,,,15,28,,,,,,,,,,,,,84,12,3390,6,,,,,,,,,11,941,7,21,266,37,8,15,,,11,15,132,13,,,429,37,,,6,4,,,,,,,,,,,,,15,40,,,,,,,,,,,702,2,,,,,,,,,,,,,,,649,12,79,52,,,,,,,,,,,27,27,,,,,,,,,21,2,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,38,9,15,86,9,,,,,,,,,,,,,249,25,,,,,484,7,,,240,2,187,47,,,,,,,,,,,,,,,,,86,5,2,17,,,,,,,,,,,53,31,,,,,,,,,,,,,,,,,298,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,43
39856,7455,29,,,,,,,,,,,,,,,,,,,,,,,,,,,168,6,,,,,,,,,,,,,,,35,10,,,,,,,88,17,,,,,19,31,633,41,,,,,,,,,2692,44,,,,,,,,,,,,,,,908,20,,,,,,,,,,,,,,,,,51,21,,,,,,,,,,,134,14,,,,,,,,,,,,,,,632,15,,,,,,,,,,,,,14,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,44,,,,,,,,,,,,,524,11,,,,,,,,,,,1257,14,,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,22
