,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2181,23110,,,,,,,,,,,,,,,,,,,,,19,2,,,,,199,4,,,,,,,,,,,,,,,36,7,,,,,,,152,9,,,,,168,5,1730,15,,,,,359,3,,,6608,16,25,2,1212,12,90,3,19,2,,,184,7,,,2148,5,,,,,,,,,,,,,,,,,,,257,11,,,,,100,9,,,,,204,5,,,,,522,4,,,,,,,31,2,76,75,914,13,,,,,,,29,3,,,,,33,22,,,,,,,,,,,,,,,48,7,27,6,,,,,,,,,,,,,,,,,,,,,,,,,,,848,4,24,2,184,6,,,,,,,,,,,,,,,,,1493,3,,,,,312,16,,,143,3,1768,10,,,,,,,16,2,,,,,31,6,,,87,4,33,8,,,,,,,19,1,,,620,2,,,,,,,,,,,197,4,,,,,1113,3,,,,,118,7,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,7
11,12,181,17506,12,4,,,,,,,,,188,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16,,,,,,,,,,,,,103,9,1912,13,,,,,,,,,9138,10,,,1673,7,,,12,7,,,91,20,,,1124,14,,,,,,,,,,,,,,,,,,,411,8,,,,,158,4,,,,,113,14,,,,,,,,,,,,,,,164,44,143,38,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,15,,,77,10,,,,,,,,,,,,,,,,,273,24,,,,,225,20,,,,,708,20,,,,,,,,,,,,,136,3,,,,,,,,,1,2,,,,,,,204,6,,,,,,,,,,,11,15,,,,,110,13,,,,,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,31
12,13,320,17035,,,,,,,,,,,120,7,,,,,,,,,,,,,,,89,9,,,,,,,,,21,3,,,,,80,3,,,,,,,99,13,,,11,5,39,22,1146,21,,,,,120,6,,,6957,15,13,7,1140,13,34,6,,,32,15,145,11,,,1752,9,,,,,,,8,3,,,7,2,,,18,2,,,89,20,52,5,,,,,,,,,173,8,,,,,455,5,,,,,,,11,6,180,41,388,26,,,,,15,3,,,,,12,3,44,17,,,,,,,13,4,,,,,,,30,9,,,,,,,,,7,6,,,,,78,3,,,,,,,,,,,,,546,11,15,5,50,17,,,,,1,7,,,,,,,,,,,526,8,,,,,227,19,,,86,6,1210,12,,,,,,,,,14,2,,,,,,,50,8,69,4,,,,,,,,,,,86,23,,,,,16,5,8,4,,,31,8,,,,,209,9,,,11,1,49,14,,,,,,,,,53,10,,,,,,,,,,,,,,,,,,,,,400,14
13,14,13,16424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,6,,,,,,,88,15,,,6,6,50,18,1298,20,,,,,,,,,8009,12,3,38,1374,10,,,18,3,,,,,2,2,902,21,,,,,,,,,,,,,,,,,,,869,5,,,,,,,,,,,139,11,,,,,,,,,,,,,,,321,30,1067,12,,,,,,,,,,,,,115,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,115,11,8,34,24,,,,,,,,,,,,,,,,,320,19,,,,,358,13,,,34,9,756,18,,,,,,,,,,,,,,,,,21,13,31,9,,,,,34,6,,,,,156,11,,,,,,,,,,,,,,,,,30,27,,,,,,,,,,,,,,,8,15,,,,,,,,,,,,,,,,,,,,,321,17
14,15,2243,15633,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,,,,,,,,,,,,,,,9,39,,,,,,,,,,,,,,,4195,4,,,,,,,,,6315,17,,,,,,,,,,,,,,,1612,10,,,,,,,,,,,,,,,,,,,,,,,,,66,10,,,,,136,12,,,,,,,,,,,,,,,480,17,167,33,,,,,,,,,,,,,11,47,,,,,,,,,,,,,,,27,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742,6,,,,,,,,,,,,,,,,,,,,,49,60,,,,,558,8,,,18,10,858,15,,,,,,,8,4,,,,,,,,,,,53,6,,,,,267,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,52
15,16,1294,14786,,,,,,,,,,,54,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,25,,,,,,,,,,,,,59,15,955,26,,,,,,,,,7919,13,4,34,910,19,,,,,,,161,10,,,1998,6,,,,,,,,,,,,,,,,,,,310,10,,,,,,,,,,,113,15,,,,,39,13,,,,,4,6,,,808,8,,,,,,,,,,,,,,,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,416,13,,,40,23,,,,,,,,,,,,,,,,,70,42,,,,,,,,,,,498,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,13,,,,,,,,,,,,,,,,,40,24,,,,,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,23
16,17,2425,14147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,21,14,,,,,,,,,,,,,97,10,1057,23,,,,,,,,,4575,21,6,22,1233,11,,,6,12,51,10,172,9,,,1582,11,,,,,,,,,,,,,,,,,,,101,17,,,,,,,,,,,69,19,,,,,,,,,,,,,,,882,6,603,17,,,,,,,,,,,,,10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,23,,,,,,,,,,,,,,,,,,,,,296,23,,,,,502,9,,,133,4,2096,7,,,,,,,,,,,,,,,,,94,3,,,,,,,,,,,,,110,18,,,,,8,7,,,,,,,,,,,,,,,,,59,12,,,,,,,,,23,12,,,,,,,,,,,,,,,,,,,,,173,24
17,18,27443,12830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,27,,,,,,,53,18,,,13,3,52,17,1737,14,,,,,,,,,667,114,13,8,514,24,45,5,,,,,103,19,,,718,31,,,,,,,,,,,,,,,,,,,,,,,,,60,12,,,,,,,,,,,,,,,,,,,,,383,24,2231,6,,,,,,,,,,,,,1646,1,,,,,,,,,,,,,,,,,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,547,10,,,,,,,,,,,,,,,,,,,,,301,21,,,,,202,21,,,,,582,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2888,1
18,19,25821,12657,,,,,,,,,,,58,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3561,6,,,,,,,,,636,118,10,11,1129,14,,,,,,,,,,,3425,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2555,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252,1,,,,,,,,,,,,,,,,,,,,,,,,,,,31,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,2719,11339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,46,,,,,35,23,526,45,,,,,,,,,8430,11,9,12,392,30,,,,,,,61,25,,,995,16,,,,,,,,,,,,,,,,,,,96,18,,,,,,,,,,,26,31,,,,,,,,,,,,,,,210,37,,,,,,,,,,,,,,,32,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,39,,,,,,,,,,,,,,,,,,,,,34,73,,,,,,,,,,,193,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,30,,,,,,,,,,,,,,,,,,,,,,,16,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,30
20,21,2136,11306,,,,,,,,,,,,,,,,,,,,,,,,,,,126,7,,,,,,,,,,,,,,,,,,,,,,,171,8,,,,,,,5038,3,,,,,,,,,2557,43,2,46,151,48,,,,,315,4,,,,,348,57,,,,,,,,,,,,,,,,,,,,,,,,,124,5,,,,,186,7,,,,,,,,,,,,,,,380,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,,,,725,8,,,,,,,,,,,,,,,,,,,,,748,5,,,,,,,,,,,69,64,,,,,,,,,,,,,22,7,,,63,6,,,,,,,,,1,3,,,188,8,,,,,,,,,,,,,,,,,57,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,101
21,22,811,10321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,9,,,,,,,25,24,,,,,,,1119,22,,,,,,,,,3144,32,,,1467,9,,,,,,,91,21,,,864,25,,,,,,,,,,,,,,,,,,,907,4,,,,,,,,,,,66,20,,,,,,,,,,,,,,,80,73,173,32,,,,,,,,,,,,,205,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,5,,,28,29,,,,,,,,,,,,,,,,,458,12,,,,,442,11,,,64,8,342,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,822,10218,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,,,,,,,,,,,,,,,16,24,,,,,,,,,,,3,8,10,47,1467,16,,,,,,,,,3733,27,3,42,502,25,,,,,,,248,5,,,936,20,,,,,,,,,,,,,,,,,,,67,23,,,,,,,,,,,97,17,,,,,,,,,,,,,,,355,26,571,18,,,,,,,,,,,,,50,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,18,6,13,46,20,,,,,,,,,,,,,,,,,458,13,,,,,137,26,,,,,684,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,17,,,,,,,,,,,,,,,,,,,,,,,9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,13
23,24,5072,10117,,,,,,,,,,,3,20,,,,,,,,,,,,,,,18,15,,,,,62,2,,,,,,,,,7,43,,,,,,,,,,,,,116,8,635,41,,,,,,,,,7000,14,9,13,81,70,,,,,,,,,,,499,41,,,,,,,,,,,,,,,5,4,,,,,684,2,,,,,,,,,,,,,,,166,9,,,,,,,,,86,71,222,30,,,,,,,,,,,,,14,40,,,,,,,,,,,,,,,,,,,,,9,1,,,25,2,,,137,2,,,,,,,,,,,,,,,33,67,10,9,98,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,55,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,20,64,,,,,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,65
24,25,6819,8743,,,,,,,,,,,,,,,,,,,,,,,,,,,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,14,5103,2,,,,,,,,,2047,56,7,17,30,96,,,,,,,26,43,,,287,66,,,,,,,,,,,,,,,,,,,74,22,,,,,,,,,,,,,,,,,,,,,,,6,4,,,83,72,65,60,,,,,,,,,,,,,10,52,,,,,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,84,47,,,15,35,,,,,,,,,,,,,,,,,375,17,,,,,83,34,,,,,189,46,,,,,,,,,,,,,,,,,14,17,,,,,,,,,,,,,71,25,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,43
25,26,2392,7803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17,,,,,,,95,14,,,,,,,753,35,,,,,,,,,4060,24,,,289,35,,,6,11,128,7,,,,,963,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,29,,,,,,,,,,,,,,,307,31,230,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,22,,,44,22,,,,,,,,,,,,,,,,,296,22,,,,,151,23,,,,,,,,,,,,,,,,,,,,,,,14,16,,,,,,,15,9,,,,,142,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,53
26,27,5432,7583,,,,,,,,,,,68,8,,,4,2,,,,,,,,,,,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,79,,,,,,,,,4687,19,,,1068,16,,,,,125,8,13,73,,,203,75,,,,,,,,,,,,,,,14,3,,,60,24,144,3,,,,,,,,,,,,,,,315,6,,,,,,,,,90,68,83,48,,,,,,,,,,,,,11,48,,,,,,,,,,,,,,,,,28,5,,,,,,,8,5,,,14,3,,,,,,,,,,,,,,,90,43,12,7,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2,16,3,,,110,6,,,,,,,,,,,8,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,40
