bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
1294,18067,11,,,,,,,,,,,28,14,,,,,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,6,,,,,,,,,,,,,70,20,1245,22,,,,,,,,,10120,10,5,22,930,20,,,,,35,16,200,13,,,2460,5,,,,,,,,,,,,,3,5,,,,,,,162,10,,,,,,,,,,,163,11,,,,,36,13,,,,,4,4,,,1011,7,,,,,,,,,,,,,,,31,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,551,11,,,38,22,,,,,,,3,5,,,,,,,,,,,,,46,46,,,,,,,,,,,459,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,13,,,,,,,,,,,19,12,,,,,19,23,,,,,11,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,28
320,17463,12,,,,,,,,,,,106,9,,,,,7,6,,,,,,,,,10,1,,,79,9,,,,,,,,,10,3,,,,,51,9,,,,,,,64,23,,,9,4,37,24,1969,13,,,,,107,6,,,7266,13,26,2,1242,16,28,8,,,45,14,241,9,,,1270,10,,,,,,,6,3,,,2,3,,,7,4,,,,,100,14,42,6,,,,,,,,,291,4,,,,,557,5,,,,,,,12,4,218,32,340,23,,,,,5,4,,,,,9,3,45,17,,,,,8,5,,,,,,,,,15,11,17,9,,,,,,,,,6,7,,,,,98,3,,,,,,,,,,,,,734,10,20,2,30,25,,,,,,,8,2,,,,,,,,,,,,,474,14,,,,,291,17,,,137,4,727,17,,,,,,,,,,,,,1,3,,,,,,,47,10,60,4,,,,,,,,,,,73,24,,,,,10,7,,,8,4,10,14,,,,,43,13,,,7,1,37,14,,,,,,,,,50,12,,,,,,,,,,,6,4,,,,,,,,,,,345,21
2243,17400,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,11,,,,,,,,,,,,,,,11,34,,,,,,,,,,,,,,,4466,2,,,,,,,,,6289,16,,,,,,,,,,,,,,,1482,7,,,,,,,,,,,,,,,,,,,,,,,,,,,143,6,,,,,131,15,,,,,,,,,,,,,,,604,15,157,40,,,,,,,,,,,,,11,53,,,,,,,,,,,,,,,82,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084,4,,,,,,,,,,,,,,,,,,,,,,,,,766,5,,,,,628,8,,,25,10,783,14,,,,,,,,,,,10,2,,,,,,,,,,,65,3,,,,,554,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,48
29351,17004,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,,,,,,,,,,,,,,,,,,,,,,,,,116,15,,,,,,,2752,9,,,,,,,,,3113,31,,,139,54,124,2,,,,,98,26,,,259,54,,,,,,,,,,,,,,,,,,,,,246,8,,,,,,,,,,,33,28,19,4,,,,,,,,,,,,,,,135,43,,,,,,,,,,,,,14,45,,,,,,,,,,,,,,,236,3,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,34,,,,,,,,,,,,,,,,,,,,,,,,,435,16,,,,,,,,,,,8062,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,41,,,,,,,,,,,,,,,,,,,,,,,632,1,,,,,,,,,270,5,,,,,,,,,,,,,,,,,,,,,,,84,43
2425,16766,15,,,,,,,,,,,42,12,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,,56,7,,,,,,,127,12,,,,,131,11,1450,18,,,,,,,,,4567,21,8,11,1468,12,,,13,4,82,12,255,8,,,935,15,,,,,,,,,,,,,,,,,,,,,106,12,,,,,,,,,,,119,18,,,,,,,,,,,,,,,905,8,562,19,,,,,,,,,,,,,22,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,20,,,,,,,,,,,,,,,,,,,,,,,,,610,7,,,,,847,5,,,157,2,3465,4,,,,,,,,,,,,,,,,,,,,,58,7,,,,,,,,,,,,,151,14,,,,,5,8,,,,,,,,,,,,,,,,,143,5,,,,,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,156,31
13,15065,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,16,,,,,,,102,16,,,3,7,44,23,1263,21,,,,,36,9,,,6720,15,7,12,1513,11,,,4,11,,,,,7,2,544,27,,,,,,,,,,,,,,,,,,,,,733,2,,,,,,,,,,,144,13,,,,,,,,,,,,,,,281,29,1372,10,,,,,,,,,,,,,93,9,,,,,,,,,,,,,,,,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,13,4,11,37,23,,,,,,,,,,,,,,,,,,,,,147,28,,,,,266,19,,,40,9,601,19,,,,,,,,,,,,,,,,,,,,,25,13,20,8,,,,,74,6,,,,,100,18,,,,,,,,,,,,,,,,,22,20,,,,,,,,,,,,,,,11,19,,,,,,,,,,,,,,,,,,,,,,,312,22
50381,14525,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,36,865,27,,,,,,,,,11439,8,,,352,34,,,,,86,11,205,11,,,302,48,,,,,,,,,,,,,,,,,,,,,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,617,14,49,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,13799,18,12,4,,,,,,,,,68,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,17,,,,,,,,,,,,,189,8,1518,17,,,,,,,,,7215,14,,,1384,15,,,5,9,,,79,30,,,827,17,,,,,,,,,,,,,,,,,,,,,104,13,,,,,175,5,,,,,79,21,,,,,,,,,,,,,,,162,45,234,34,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,,27,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,18,,,41,21,,,,,,,,,,,,,,,,,,,,,166,25,,,,,104,30,,,,,535,20,,,,,,,,,,,,,,,,,80,3,,,,,,,,,2,3,,,,,,,192,9,,,,,,,,,,,7,16,,,,,37,15,,,,,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,29
811,12701,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,10,,,,,,,19,36,,,,,,,1322,19,,,,,,,,,3802,25,5,21,1750,7,,,,,,,123,23,,,995,14,,,,,,,,,,,,,8,4,,,,,,,468,4,,,,,,,,,,,153,12,,,,,,,,,,,,,,,66,82,304,28,,,,,,,,,,,,,209,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113,3,,,17,32,,,,,,,,,,,,,,,,,,,,,326,17,,,,,581,9,,,105,7,231,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059,8
2136,11835,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,6,,,,,,,,,,,,,,,,,,,,,,,288,5,,,,,,,2430,12,,,,,,,,,4747,19,13,5,211,43,,,,,618,4,,,,,294,50,,,,,,,,,,,,,,,,,,,,,,,,,,,122,7,,,,,180,9,,,,,,,,,,,,,,,381,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,,,,,,,934,6,,,,,,,,,,,,,,,,,,,,,,,,,753,6,,,,,,,,,,,269,30,,,,,,,,,,,,,,,,,10,7,,,94,4,,,,,4,2,,,3,3,,,249,7,,,,,,,,,,,,,,,,,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,72
5072,11285,21,,,,,,,,,,,5,22,,,,,,,,,,,,,,,,,,,18,16,,,,,132,2,,,,,,,,,8,44,,,,,,,,,,,,,221,6,448,50,,,,,,,,,7624,12,3,34,100,62,,,,,,,,,,,305,45,,,,,,,,,,,,,,,18,2,,,,,,,789,2,,,,,,,,,,,,,,,127,9,,,,,,,,,90,68,298,29,,,,,,,,,,,,,24,28,,,,,,,,,,,,,,,,,,,,,,,17,1,,,42,2,,,471,2,45,5,,,,,,,,,,,,,36,70,4,12,103,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,57,,,,,,,,,,,,,,,,,,,20,2,,,,,,,,,,,,,,,33,44,,,,,129,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,59
3886,10718,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,5,,,,,,,,,,,,,,,12,33,,,,,,,155,11,,,,,139,10,3509,5,,,,,,,,,1946,56,6,18,425,30,10,15,,,82,13,202,12,,,422,34,,,,,8,2,,,,,,,,,,,,,,,25,35,,,,,,,,,,,527,2,,,,,,,,,,,,,,,711,11,123,50,,,,,,,,,,,,,23,29,,,,,,,15,2,,,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,32,9,8,79,10,,,,,,,,,,,,,,,,,,,,,165,26,,,,,877,4,,,155,3,204,40,,,,,,,,,,,,,,,,,,,,,41,11,13,12,,,,,292,2,,,,,87,22,,,,,,,,,,,,,,,,,79,9,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,49
27443,10463,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,30,,,,,,,64,24,,,16,2,88,17,626,41,,,,,,,,,488,150,14,4,484,27,30,7,,,,,129,22,,,640,25,,,,,,,,,,,,,,,,,,,,,25,36,,,,,58,11,,,,,,,,,,,,,,,,,,,,,353,24,2176,6,,,,,,,,,,,,,397,2,,,,,,,,,,,,,,,,,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,31,,,,,,,,,,,,,,,,,,,,,,,,,272,21,,,,,140,24,,,,,722,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,9,,,,,,,,,,,35,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3469,2
822,8892,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,10,,,,,,,,,,,,,,,15,23,,,,,,,83,18,,,3,8,37,25,1053,24,,,,,11,13,,,3513,26,1,47,570,26,,,,,,,207,10,,,460,29,,,,,,,,,,,,,,,,,,,,,44,27,,,,,,,,,,,104,20,,,,,,,,,,,,,,,370,22,314,26,,,,,,,,,,,,,63,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,21,7,10,52,17,,,,,,,,,,,,,,,,,,,,,307,18,,,,,106,28,,,,,740,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,16,,,,,,,,,,,,,,,,,,,,,,,1,50,,,,,,,,,4,26,,,,,,,,,,,,,,,,,,,,,,,359,20
2719,8604,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,63,,,,,,,14,50,,,,,30,26,706,35,,,,,,,,,5886,18,3,31,303,39,,,,,,,42,35,,,682,23,,,,,,,,,,,,,,,,,,,,,87,18,,,,,,,,,,,22,34,,,,,,,,,,,,,,,283,28,,,,,,,,,,,,,,,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,52,,,,,,,,,,,,,,,,,,,,,,,,,35,56,,,,,,,,,,,156,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,34,,,,,,,,,,,,,,,,,,,,,,,10,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,27
6819,8087,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,19,4346,3,,,,,,,,,1948,54,4,27,100,63,,,,,,,23,53,,,303,47,,,,,,,,,,,,,,,,,,,,,33,31,,,,,,,,,,,,,,,,,,,,,,,6,3,,,131,56,91,55,,,,,,,,,,,,,9,63,,,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,87,45,,,16,33,,,,,,,,,,,,,,,,,,,,,440,15,,,,,34,45,,,,,182,43,,,,,,,,,,,,,,,,,,,,,18,16,,,,,,,,,,,,,97,19,,,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,44
