,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2243,18033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,12,,,,,,,,,,,,,,,6,41,,,,,,,,,,,,,,,5465,1,,,,,,,6153,19,,,,,,,,,,,,,,,1519,7,,,,,,,,,,,,,,,,,,,,,,,,,100,9,,,,,157,9,,,,,,,,,,,,,,,465,15,201,38,,,,,,,,,,,,,7,52,,,,,,,,,,,,,,,41,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974,3,,,,,,,,,,,,,,,,,,,,,816,5,,,,,500,9,,,25,9,969,13,,,,,,,11,2,,,,,,,,,,,96,3,,,,,456,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,62
11,12,25821,17934,,,,,,,,,,,205,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4272,3,,,,,,,1199,72,4,21,1481,12,,,,,,,,,,,6650,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2824,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1,,,,,,,,,,,,,,,,,,,,,,,,,,,24,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,320,14718,,,,,,,,,,,133,9,,,,,,,,,,,,,9,1,,,91,9,,,,,,,,,18,3,,,,,29,9,,,,,,,83,13,,,5,6,38,17,934,19,,,,,121,6,6800,15,20,3,1208,15,31,9,,,17,15,281,7,,,800,13,,,,,,,3,4,,,8,2,,,7,4,,,77,20,48,5,,,,,,,,,197,6,,,,,189,7,,,,,,,31,2,183,36,405,26,,,,,7,4,,,,,10,3,33,21,,,,,,,20,2,,,,,,,24,10,,,,,,,,,10,5,,,,,47,4,,,,,,,,,,,,,516,10,13,2,52,15,,,,,1,6,,,,,,,,,,,346,13,,,,,179,22,,,47,8,948,15,,,,,,,,,5,3,,,,,,,33,10,72,5,,,,,,,,,,,69,29,,,,,14,4,8,4,,,46,10,,,,,31,12,,,6,1,35,14,,,,,,,,,49,10,,,,,,,,,,,,,,,,,,,,,,,331,18
13,14,13,14703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,11,,,,,,,73,14,,,4,7,46,16,719,27,,,,,2,14,7381,13,3,22,1553,11,,,7,6,,,,,1,2,364,33,,,,,,,,,,,2,4,,,,,,,541,3,,,,,,,,,,,86,16,,,,,,,,,,,,,,,279,28,1895,11,,,,,,,,,,,,,57,10,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2,137,3,15,35,23,,,,,,,,,,,,,,,,,164,25,,,,,211,20,,,21,10,672,19,,,,,,,,,,,,,,,,,7,18,27,9,,,,,34,7,,,,,115,19,,,,,,,,,,,,,,,,,23,21,,,,,,,,,,,,,,,8,18,,,,,,,,,,,,,,,,,,,,,,,342,16
14,15,1294,14650,,,,,,,,,,,77,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,23,,,,,,,,,,,,,69,11,657,29,,,,,,,6699,16,6,12,663,23,,,,,,,230,11,,,2935,4,,,,,,,,,,,,,4,3,,,,,149,9,,,,,,,,,,,81,18,,,,,63,10,,,,,7,2,,,1443,4,,,,,,,,,,,,,,,33,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,,,,,,,,,,,,,319,14,,,26,27,,,,,4,4,,,,,,,,,,,64,37,,,,,,,,,,,571,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,12,,,,,,,,,,,,,,,,,18,23,,,,,10,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,17
15,16,2425,14535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,11,25,,,,,,,33,22,,,,,72,10,987,18,,,,,,,4658,23,4,19,1132,17,,,6,7,109,9,245,10,,,1370,8,,,,,,,,,,,,,,,,,,,83,16,,,,,,,,,,,106,12,,,,,,,,,,,,,,,619,9,1368,13,,,,,,,,,,,,,7,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,20,,,,,,,,,,,,,,,,,,,,,232,20,,,,,558,7,,,88,5,2282,7,,,,,,,,,,,,,,,,,52,7,,,,,,,,,,,,,92,23,,,,,4,7,,,,,,,,,,,,,,,,,61,10,,,,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,,153,27
16,17,181,14084,9,4,,,,,,,,,280,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,28,,,,,,,,,,,,,93,8,1252,15,,,,,,,7598,11,,,1471,13,,,5,8,,,75,29,,,602,19,,,,,,,,,,,,,,,,,,,112,11,,,,,181,4,,,,,100,13,,,,,,,,,,,,,,,154,42,140,46,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,17,,,49,18,,,,,,,,,,,,,,,,,163,26,,,,,127,26,,,,,687,18,,,,,,,,,,,,,118,2,,,,,,,,,1,2,,,,,,,248,10,,,,,,,,,,,21,12,,,,,35,10,,,,,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,24
17,18,50381,12500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,26,,,,,,,,,11201,7,,,,,,,,,13,16,185,16,,,151,65,,,,,,,,,,,,,,,,,,,106,13,,,,,,,,,,,,,,,,,,,,,,,,,,,454,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,29,,,,,,,,,,,,,,,,,,,,,,,,,,,232,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,27443,11686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,27,,,,,,,50,18,,,8,4,22,28,639,32,,,,,,,624,109,10,8,579,25,53,6,,,,,95,26,,,370,32,,,,,,,,,,,,,,,,,,,,,,,,,57,12,,,,,,,,,,,,,,,,,,,,,400,22,1971,9,,,,,,,,,,,,,2165,1,,,,,,,,,,,,,,,,,45,5,,,,,,,,,,,,,,,,,,,,,,,,,,,145,26,,,,,,,,,,,,,,,,,,,,,278,17,,,,,280,14,,,,,662,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3187,1
19,20,811,10717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,5,,,,,,,6,45,,,,,,,1014,17,,,,,,,4126,26,,,1948,8,,,,,,,156,19,,,549,24,,,,,,,,,,,,,1,6,,,,,383,4,,,,,,,,,,,64,23,,,,,,,,,,,,,,,56,82,219,35,,,,,,,,,,,,,235,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,5,,,31,25,,,,,,,,,,,,,,,,,327,15,,,,,364,10,,,48,7,269,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,5072,10247,,,,,,,,,,,6,21,,,,,,,,,,,,,,,,,6,21,,,,,61,2,,,,,,,,,7,37,,,,,,,,,,,,,124,6,366,48,,,,,,,7418,12,3,27,74,68,,,,,,,,,,,224,48,,,,,,,,,,,,,,,8,2,,,,,825,2,,,,,,,,,,,,,,,203,6,,,,,,,,,55,84,351,29,,,,,,,,,,,,,16,35,,,,,,,,,,,,,,,,,,,,,5,1,,,27,2,,,101,2,,,,,,,,,,,,,,,25,73,5,12,93,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,66,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,24,48,,,,,81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,61
21,22,2952,10227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,3,,,,,,,,,,,,,63,14,514,41,,,,,,,3832,27,8,9,3938,2,,,3,12,,,207,15,,,560,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,,,,,,,,,329,24,27,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,22,,,62,14,,,,,,,,,,,,,,,,,,,,,,,104,29,,,,,104,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,2719,9548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,47,,,,,12,33,732,26,,,,,,,7157,14,3,25,319,30,,,,,,,36,39,,,516,26,,,,,,,,,,,,,,,,,,,81,19,,,,,,,,,,,8,42,,,,,,,,,,,,,,,182,37,,,,,,,,,,,,,,,23,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,51,,,,,,,,,,,,,,,,,,,,,30,54,,,,,,,,,,,176,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,42,,,,,,,,,,,,,,,,,,,,,,,7,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,25
23,24,2136,8566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,7,,,,,,,,,,,,,,,,,,,,,,,248,5,,,,,,,1871,11,,,,,,,2893,36,3,24,185,45,,,,,541,4,,,,,221,50,,,,,,,,,,,,,,,,,,,,,,,,,107,8,,,,,127,11,,,,,,,,,,,,,,,274,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,,,,,,,,,,720,6,,,,,,,,,,,,,,,,,,,,,561,8,,,,,,,,,,,91,65,,,,,,,,,,,,,12,7,,,65,4,,,,,,,,,4,3,,,473,8,,,,,,,,,,,,,,,,,25,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,113
24,25,3886,8038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,5,,,,,,,,,,,,,,,8,33,,,,,,,,,,,,,68,12,3299,6,,,,,,,17,911,5,16,294,32,36,8,,,60,12,216,14,,,350,35,,,,,7,2,,,,,,,,,,,,,16,38,,,,,,,,,,,652,1,,,,,,,,,,,,,,,563,11,119,48,,,,,,,,,,,,,12,42,,,,,,,,,16,2,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,27,7,9,97,8,,,,,,,,,,,,,,,,,212,22,,,,,1011,3,,,142,2,247,35,,,,,,,,,,,,,,,,,46,8,22,10,,,,,9,11,,,,,77,25,,,,,,,,,,,,,,,,,31,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,39
25,26,822,7929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,,,,,,,,,,,,,,,13,22,,,,,,,,,,,2,9,25,21,841,24,,,,,4,12,3335,32,1,35,360,29,,,,,,,129,24,,,269,44,,,,,,,,,,,,,,,,,,,28,32,,,,,,,,,,,75,19,,,,,,,,,,,,,,,327,25,570,21,,,,,,,,,,,,,34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,19,4,13,95,9,,,,,,,,,,,,,,,,,258,18,,,,,88,30,,,,,537,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,13,,,,,,,,,,,,,,,,,,,,,,,9,31,,,,,,,,,10,17,,,,,,,,,,,,,,,,,,,,,,,511,12
26,27,18011,7743,,,,,,,,,,,21,16,,,,,,,,,,,,,,,5,4,,,,,,,28,3,,,,,,,,,8,34,,,,,,,34,21,,,,,,,168,76,,,,,,,2203,43,4,20,674,22,9,15,,,,,11,78,,,133,70,,,,,,,,,,,,,,,,,,,34,29,61,4,,,,,,,,,18,31,,,,,12,16,,,,,,,,,48,91,3167,3,,,,,,,,,,,,,35,18,,,,,,,,,8,3,,,,,,,,,,,,,,,12,4,,,,,29,7,,,,,,,,,,,,,51,54,4,14,5,42,,,,,,,,,,,,,,,,,83,31,,,,,212,19,,,,,471,26,,,,,,,,,,,,,6,8,6,3,15,14,,,,,,,,,,,,,24,50,,,,,20,3,,,,,,,,,,,26,16,,,,,10,30,,,5,2,,,,,83,7,,,,,,,,,,,,,,,,,,,,,,,,
