bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
50381,20169,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19330,3,,,,,,,,,11,15,129,12,,,,,,,,,,,,,,,,,,,,,41,25,,,,,,,,,,,,,,,,,,,,,,,,,,,658,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,19955,12,20,3,,,,,,,,,254,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,13,,,,,,,,,,,,,184,6,1784,13,,,,,,,,,10944,9,,,1636,11,,,9,7,,,111,17,,,1213,13,,,,,,,,,,,,,,,,,114,12,,,,,374,2,,,,,172,13,,,,,,,,,,,,,,,205,41,156,43,,,,,,,,,,,,,,,,,,,9,6,,,,,,,61,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,14,,,85,11,,,,,,,,,,,,,379,23,,,,,175,20,,,,,854,22,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,333,7,,,,,,,,,,,16,12,,,,,113,16,,,,,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,23
2243,19191,13,,,,,,,,,,,,,,,,,,,,,,,,,,,32,11,,,,,,,,,,,,,,,11,33,,,,,,,,,,,,,,,3925,5,,,,,,,,,7040,17,,,,,,,,,,,,,,,2500,5,,,,,,,,,,,,,,,,,,,,,,,75,11,,,,,92,19,,,,,,,,,,,,,,,462,23,204,33,,,,,,,,,,,15,45,,,,,,,,,,,,,,,95,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,4,,,,,,,,,,,,,,,,,1295,4,,,,,545,7,,,50,10,1112,16,,,,,,,6,5,,,,,,,,,,,100,3,,,,,531,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,48
320,18717,14,,,,,,,,,,,149,7,,,,,,,,,,,,,,,122,9,,,,,,,,,17,3,,,,,62,4,,,,,,,117,14,,,8,3,46,21,1461,17,,,,,253,5,,,7588,14,22,3,1345,13,27,6,,,,,145,9,,,1837,8,,,,,5,2,,,10,2,,,8,3,,,50,22,83,3,,,,,,,,,228,8,,,,,340,5,,,,,,,16,3,220,40,364,24,,,14,3,,,,,11,3,46,19,,,,,,,10,4,,,,,,,40,10,,,,,,,,,4,5,,,,,73,3,,,,,,,,,,,,,684,10,69,1,38,27,,,1,7,,,,,,,,,616,13,,,,,202,16,,,71,7,1481,13,,,,,,,,,11,2,,,,,,,68,9,83,5,,,,,,,,,,,68,28,,,,,10,5,3,4,,,35,9,,,,,151,13,,,8,1,53,12,,,,,,,,,37,9,,,,,,,,,,,,,,,,,,,,,307,19
1294,17848,15,,,,,,,,,,,24,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,15,,,,,,,,,,,,,67,16,895,32,,,,,,,,,8091,13,10,9,3649,3,,,,,,,126,13,,,1629,9,,,,,,,,,,,,,,,,,147,10,,,,,,,,,,,132,15,,,,,17,15,,,,,5,4,,,831,7,,,,,,,,,,,,,139,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,619,13,,,54,22,,,3,6,,,,,,,,,52,53,,,,,,,,,,,874,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,16,,,,,,,,,,,,,,,,,42,23,,,,,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,22
13,17794,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,3,,,,,,,201,9,,,7,5,72,15,1339,18,,,,,,,,,8937,12,7,16,1325,14,,,8,8,,,,,4,2,803,24,,,,,,,,,,,,,,,,,257,4,,,,,,,,,,,197,11,,,,,,,,,,,,,,,354,28,1443,9,,,,,,,,,,,271,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,110,11,6,84,12,,,,,,,,,,,,,412,21,,,,,297,11,,,53,8,880,20,,,,,,,,,,,,,,,,,27,13,62,7,,,,,76,5,,,,,186,12,,,,,,,,,,,,,,,,,19,28,,,,,,,,,,,,,,,9,16,,,,,,,,,,,,,,,,,,,,,371,16
25821,14780,17,,,,,,,,,,,58,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3012,10,,,,,,,,,4,959,25,2,,,,,,,,,,,,,3509,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6807,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340,2,,,,,,,,,,,,,,,,,,,,,,,25,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,14766,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,,,23,17,,,,,,,,,,,,,59,18,1230,21,,,,,,,,,5068,27,7,17,1189,16,,,8,9,112,7,132,11,,,1201,14,,,,,,,,,,,,,,,,,142,11,,,,,,,,,,,14,38,,,,,,,,,,,,,,,656,16,902,14,,,,,,,,,,,23,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,25,,,,,,,,,,,,,,,,,467,19,,,,,300,10,,,102,5,2426,8,,,,,,,,,,,,,,,,,74,6,,,,,,,,,,,,,180,14,,,,,2,7,,,,,,,,,,,,,,,,,73,9,,,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,133,27
2399,12322,19,,,,,,,,,,,27,12,,,,,,,9,3,,,,,,,12,19,,,,,,,,,3,8,,,,,37,9,,,,,,,24,29,,,,,,,402,54,,,,,,,,,9239,11,15,6,576,23,,,,,11,14,19,51,,,295,50,,,,,,,,,,,,,,,,,38,26,,,,,,,,,,,44,24,,,,,,,,,,,,,,,406,26,235,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,53,,,,,,,4,5,,,,,,,,,184,30,,,,,179,18,,,14,12,316,37,,,,,,,,,,,,,,,,,15,16,,,,,,,,,,,,,22,57,,,,,,,,,,,,,,,,,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,32
822,11558,20,,,,,,,,,,,,,,,,,,,,,,,,,,,24,14,,,,,,,,,,,,,,,18,23,,,,,,,,,,,3,8,16,36,1315,19,,,,,,,,,4457,30,6,20,555,24,,,,,,,230,4,,,533,31,,,,,,,,,,,,,,,,,30,29,,,,,,,,,,,128,16,,,,,,,,,,,,,,,604,19,604,18,,,,,,,,,,,46,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,16,6,12,76,14,,,,,,,,,,,,,768,8,,,,,135,25,,,,,749,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,11,,,,,,,,,,,,,,,,,,,,,,,5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,10
2136,10690,21,,,,,,,,,,,,,,,,,,,,,,,,,,,144,7,,,,,,,,,,,,,,,,,,,,,,,309,5,,,,,,,3689,8,,,,,,,,,3107,43,10,10,150,50,,,,,195,4,,,,,280,54,,,,,,,,,,,,,,,,,,,,,,,165,6,,,,,170,14,,,,,,,,,,,,,,,280,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,,,,,,,,,,,,,,,,,,,,,643,12,,,,,,,,,,,,,,,,,897,7,,,,,,,,,,,63,72,,,,,,,,,,,,,,,,,107,3,,,,,,,,,2,3,,,311,8,,,,,,,,,,,,,,,,,115,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,68
811,10622,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,8,,,,,,,25,26,,,,,,,1229,22,,,,,,,,,3595,37,,,1307,15,,,,,,,84,22,,,1184,15,,,,,,,,,,,,,,,,,162,8,,,,,,,,,,,84,22,,,,,,,,,,,,,,,56,91,172,39,,,,,,,,,,,537,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989,6,,,42,25,,,,,,,,,,,,,474,18,,,,,271,14,,,53,9,321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27443,10058,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,49,,,,,,,52,21,,,6,6,92,12,706,41,,,,,,,,,823,106,5,31,520,27,23,8,,,,,72,25,,,442,38,,,,,,,,,,,,,,,,,,,,,,,58,12,,,,,,,,,,,,,,,,,,,,,363,27,,,,,,,,,,,,,2055,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,29,,,,,,,,,,,,,,,,,407,22,,,,,202,17,,,,,1075,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2942,2
5072,9917,24,,,,,,,,,,,9,16,,,,,,,,,,,,,,,19,16,,,,,64,2,,,,,,,,,11,35,,,,,,,,,,,,,172,7,627,43,,,,,,,,,7148,16,4,34,74,68,,,,,,,,,,,420,42,,,,,,,,,,,,,15,2,,,,,224,2,,,,,,,,,,,,,,,247,7,,,,,,,,,82,74,277,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,,,8,3,,,121,2,,,,,,,,,,,,,,,47,63,13,4,76,15,,,,,,,,,,,,,,,,,,,,,,,,,122,57,,,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,34,45,,,,,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,66
5432,9657,25,,,,,,,,,,,107,8,,,10,2,,,,,,,,,,,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,59,,,,,,,,,6422,20,,,1107,18,,,,,93,8,19,52,,,217,65,,,,,,,,,,,,,5,4,,,161,9,68,4,,,,,,,,,,,,,,,270,6,,,,,,,,,114,58,89,54,,,,,,,,,,,18,41,,,,,,,,,,,,,,,,,28,7,,,,,,,3,7,,,39,3,,,,,,,,,,,,,,,101,44,10,8,47,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2,10,2,,,249,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,42
6819,9645,26,,,,,,,,,,,,,,,,,,,,,,,,,,,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,10,6377,2,,,,,,,,,1634,65,3,40,,,,,,,,,33,38,,,345,45,,,,,,,,,,,,,,,,,24,33,,,,,,,,,,,,,,,,,,,,,,,8,2,,,109,62,,,,,,,,,,,,,16,43,,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,83,50,,,15,37,,,,,,,,,,,,,444,20,,,,,38,42,,,,,172,50,,,,,,,,,,,,,,,,,17,15,,,,,,,,,,,,,72,26,,,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,39
2921,9349,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,60,,,,,,,,,,,,,,,507,48,,,,,,,,,6928,18,,,,,,,,,,,,,,,312,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173,10,,,,,,,,,,,84,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,26,,,,,,,,,,,,,,,,,,,,,,,135,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2952,8929,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12,,,,,,,,,,,,,97,11,1025,27,,,,,,,,,4726,28,11,8,749,21,,,7,10,,,150,8,,,744,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,13,,,,,,,,,491,22,43,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,18,,,90,10,,,,,,,,,,,,,,,,,,,84,31,,,,,185,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886,8630,29,,,,,,,,,,,,,,,,,,,,,,,,,,,261,4,,,,,,,,,,,,,,,14,30,,,,,,,,,,,,,135,9,3856,7,,,,,,,,,16,913,4,33,240,37,13,13,,,12,13,160,6,,,524,32,,,5,3,,,,,,,,,,,,,15,39,,,,,,,,,,,750,2,,,,,,,,,,,,,,,674,13,92,53,,,,,,,,,,,20,38,,,,,,,,,17,2,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,41,2,16,99,9,,,,,,,,,,,,,300,26,,,,,340,8,,,308,2,175,49,,,,,,,,,,,,,,,,,70,7,5,15,,,,,,,,,,,75,23,,,,,,,,,,,,,,,,,248,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,37
