bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
811,23912,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,5,,,,,,,32,35,,,,,,,2674,13,,,,,,,,,,,8324,17,3,37,2165,9,,,,,,,222,14,,,,,2048,9,,,,,,,,,,,,,,,5,5,,,,,,,772,6,,,,,,,,,,,194,11,,,,,,,,,,,,,,,,,115,61,432,27,,,,,,,,,,,,,175,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749,4,,,61,21,,,,,,,,,,,,,,,,,,,,,626,12,,,,,511,12,,,,,322,2,378,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3003,2
25821,23417,12,,,,,,,,,,,693,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4598,4,,,,,,,,,,,1315,88,19,4,1914,11,,,,,,,,,,,,,7620,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4132,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,9,,,,,,,,,,,,,,,,,,,,,,,751,12
463,23158,13,17,4,13,3,,,,,,,,,,,,,,,,,,,7,5,,,,,,,,,,,27,16,,,,,,,,,7,6,,,,,43,10,,,,,,,258,9,,,,,96,15,2225,16,,,,,,,,,,,10588,9,7,19,1053,22,16,17,6,10,62,16,124,28,,,,,1112,16,,,,,,,,,,,,,,,,,,,,,,,100,24,,,,,23,14,,,,,82,21,,,,,,,44,11,,,,,,,,,872,10,2586,8,,,,,,,,,,,,,40,25,,,,,,,10,5,,,,,,,,,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,25,9,10,54,24,,,,,,,,,,,,,,,,,,,,,317,20,,,,,832,6,,,,,,,969,14,,,,,,,,,,,,,,,,,,,,,,,21,12,,,,,26,14,,,,,168,20,,,,,,,,,,,,,64,9,,,,,,,59,14,,,,,77,11,,,,,,,,,42,17,,,,,,,,,,,,,,,,,,,,,,,747,13
29351,23029,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,,,,,,,,,,,,,,,,,,,,,,228,11,,,,,,,4065,6,,,,,,,,,,,3609,39,,,321,43,143,2,,,,,190,21,,,,,460,44,,,,,,,,,,,,,,,,,,,,,,,266,12,,,,,,,,,,,56,23,34,5,,,,,,,,,,,,,,,,,136,58,,,,,,,,,,,,,15,60,,,,,,,,,,,,,,,,,266,2,85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,28,,,,,,,,,,,,,,,,,,,,,,,,,1076,6,,,,,,,,,,,,,10216,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,41,,,,,,,,,,,,,,,,,,,,,,,,,,,766,1,,,,,,,,,604,5,,,,,,,,,,,,,,,,,,,,,,,120,42
13,21815,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,8,,,,,,,190,14,,,6,5,63,21,2273,15,,,,,,,43,10,,,10033,11,7,18,1783,14,,,8,6,,,54,39,,,10,2,880,24,,,,,,,,,,,,,,,,,,,,,,,1126,5,,,,,,,,,,,123,16,,,13,1,,,,,,,,,,,,,366,28,1225,16,,,,,,,,,,,,,64,17,,,,,,,,,,,,,,,,,,,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,11,13,7,105,16,,,,,,,,,,,,,,,,,,,,,233,24,,,,,349,15,,,,,19,10,783,18,,,,,,,,,,,,,,,,,,,,,20,15,43,9,,,,,47,11,,,,,335,11,,,,,,,,,,,,,,,,,,,,,48,19,,,,,,,,,,,,,,,16,19,,,,,,,,,,,,,,,,,,,,,,,578,17
181,21192,16,8,6,,,,,,,,,138,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,19,,,,,,,,,,,,,177,7,1732,20,,,,,,,,,,,8429,16,,,1853,13,,,9,4,,,89,31,,,,,919,23,,,,,,,,,,,,,,,,,,,,,,,4733,1,,,,,239,6,,,,,57,22,,,,,,,,,,,,,,,,,191,44,242,41,,,,,,,,,,,,,,,,,,,,,11,4,,,,,,,,,43,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,24,,,60,22,,,,,,,,,,,,,,,,,,,,,156,27,,,,,222,21,,,,,,,541,20,,,,,,,,,,,,,,,,,353,2,,,,,,,,,2,4,,,,,,,295,13,,,,,,,,,,,,,16,14,,,,,,,54,17,,,,,35,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,26
2425,18881,17,,,,,,,,,,,156,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,,,,,,,17,24,,,,,,,204,13,,,,,96,16,1858,18,,,,,,,,,,,4829,28,8,15,1861,12,,,6,12,172,10,189,22,,,,,1290,15,,,,,,,,,,,,,,,,,,,,,,,220,13,,,,,,,,,,,162,13,8,10,,,,,,,,,,,,,,,863,11,805,20,,,,,,,,,,,,,10,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,26,,,,,,,,,,,,,,,,,,,,,,,,,841,9,,,,,1247,4,,,,,189,3,2864,7,,,,,,,,,,,,,,,,,,,,,70,10,,,,,,,,,,,,,169,19,,,,,13,7,,,,,,,,,,,,,,,,,,,,,193,6,,,,,,,,,31,18,,,,,,,,,,,,,,,,,,,,,,,166,31
320,17860,18,,,,,,,,,,,96,15,,,,,,,13,4,,,,,,,,,,,10,1,,,102,9,,,,,,,,,11,3,,,,,31,17,,,,,,,94,21,,,10,4,57,23,1813,19,,,,,,,129,6,,,5549,23,16,5,1399,18,29,8,,,92,14,351,8,,,,,2563,8,,,,,8,3,12,3,,,,,11,2,,,19,4,,,,,281,11,44,6,,,,,,,,,365,5,,,,,,,248,6,,,,,,,18,5,274,36,337,35,,,,,6,6,,,,,16,3,33,29,,,,,,,9,8,,,,,,,,,30,10,23,9,,,,,,,,,6,7,,,,,65,5,,,,,,,,,,,,,796,12,31,3,102,17,,,,,,,6,5,,,,,,,,,,,,,632,11,,,,,384,14,,,,,69,8,839,16,,,,,,,,,,,,,9,3,,,,,,,97,9,119,5,,,,,26,13,,,,,78,38,,,,,18,5,,,,,,,32,11,,,,,,,44,20,,,11,1,40,18,,,,,,,,,48,16,,,,,,,,,,,5,9,,,,,,,,,,,304,25
2136,16772,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,7,,,,,,,,,,,,,,,,,,,,,,,375,8,,,,,,,2899,12,,,,,,,,,,,7288,21,10,10,358,38,,,,,1083,4,,,,,,,434,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,9,,,,,231,10,14,7,,,,,,,,,,,,,,,406,25,,,,,,,,,,,,,,,13,64,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,1209,7,,,,,,,,,,,,,,,,,,,,,,,,,969,7,,,,,,,,,,,,,104,59,,,,,,,,,,,,,,,,,13,7,,,150,4,,,,,8,2,,,11,3,,,601,8,,,,,,,,,,,,,,,,,,,,,175,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,44
1294,16589,20,,,,,,,,,,,40,21,,,,,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,11,,,,,,,,,,,,,58,22,958,32,,,,,,,,,,,9183,14,5,24,964,24,,,6,11,104,13,236,13,,,,,1708,11,,,,,,,,,,,,,,,8,3,,,,,,,456,7,,,,,,,,,,,139,15,,,,,,,11,17,,,,,4,7,11,7,782,12,,,,,,,,,,,,,,,277,3,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,4,10,,,,,,,,,,,,,462,20,,,45,26,,,,,,,4,7,,,,,,,,,,,,,40,56,,,,,,,,,,,,,489,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,9,,,,,199,16,,,,,,,,,,,,,30,12,,,,,,,21,27,,,,,15,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,28
3886,13901,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,3,,,,,,,,,,,,,,,12,34,,,,,,,242,10,,,,,107,13,3373,9,,,,,,,,,,,3018,47,5,25,469,34,24,11,8,9,155,11,214,15,,,,,576,34,,,,,7,5,,,,,,,,,,,,,,,,,29,42,,,,,,,,,,,560,4,,,,,,,,,,,,,,,,,984,8,888,19,,,,,,,,,,,,,138,9,,,,,,,,,24,1,,,7,15,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,36,7,14,175,11,,,,,,,,,,,,,,,,,,,,,280,22,,,,,819,8,,,,,140,6,217,41,,,,,,,,,,,,,,,,,,,,,101,7,25,11,,,,,478,2,,,,,125,30,,,,,,,,,,,,,,,,,,,,,95,13,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,47
5072,13150,22,,,,,,,,,,,452,6,,,,,,,,,,,,,,,,,,,,,,,114,8,,,,,271,2,,,,,,,,,9,42,,,,,,,,,,,,,169,8,450,60,,,,,,,,,,,8853,15,4,30,129,65,,,,,16,21,,,,,,,365,50,,,,,,,,,,,,,,,,,106,2,,,,,,,453,2,,,,,,,,,,,,,,,,,177,9,,,,,,,,,85,80,374,32,,,,,,,,,,,,,51,20,,,,,,,,,,,,,,,,,,,,,,,,,31,1,,,96,2,,,230,2,38,6,,,,,,,,,,,,,60,64,7,15,210,8,,,,,,,,,,,,,,,,,,,,,,,,,,,35,46,,,,,,,79,67,,,,,,,,,,,,,,,,,,,43,2,,,,,,,,,,,,,,,31,53,,,,,141,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,58
178900,11770,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,27,,,,,,,50,27,,,,,,,616,45,,,,,,,,,,,9304,12,,,,,,,,,,,,,,,,,415,48,,,,,,,,,,,,,,,,,,,,,,,310,9,,,,,,,,,,,19,39,,,,,,,,,,,,,,,,,112,62,168,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,51,,,,,,,,,,,,,,,,,,,,,,,,,98,35,,,,,,,,,,,,,494,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,11598,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,34,,,,,,,1191,24,,,,,,,,,,,10313,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
