,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,50381,22258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21242,2,,,,,,,,,13,18,132,13,,,,,,,,,,,,,,,,,,,,,,,96,13,,,,,,,,,,,,,,,,,,,,,,,,,,,555,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,30,,,,,,,,,,,,,,,,,,,,,,,,,81,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,2243,15886,,,,,,,,,,,,,,,,,,,,,,,,,,,21,13,,,,,,,,,,,,,,,9,39,,,,,,,,,,,,,,,4081,3,,,,,,,,,7145,13,,,,,,,,,,,,,,,1277,9,,,,,,,,,,,,,,,,,,,,,,,,,59,10,,,,,105,14,,,,,,,,,,,,,,,481,18,200,32,,,,,,,,,,,,,13,44,,,,,,,,,,,,,,,58,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,7,,,,,,,,,,,,,,,,,,,58,42,,,,,390,9,,,22,10,813,16,,,,,,,5,6,,,,,,,,,,,62,4,,,,,317,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,63
12,13,320,15880,,,,,,,,,,,119,7,,,,,,,,,,,,,,,60,10,,,,,,,,,15,4,,,,,46,3,,,,,,,86,14,,,10,4,30,21,1090,20,,,,,116,6,,,6844,16,17,7,1196,13,25,7,,,19,14,135,12,,,1383,8,,,,,,,7,3,,,7,2,,,8,3,,,42,26,35,5,,,,,,,,,200,4,,,,,388,5,,,,,,,12,6,171,40,432,23,,,,,12,4,,,,,11,2,50,14,,,,,,,14,3,,,,,,,33,9,,,,,,,,,9,5,,,,,46,4,,,,,,,,,,,,,561,10,13,4,40,24,,,,,,,,,,,,,,,488,9,,,,,186,21,,,58,8,1062,13,,,,,,,,,8,3,,,,,,,61,6,64,3,,,,,,,,,,,74,26,,,,,7,6,12,3,26,10,,,,,148,12,,,9,1,54,12,,,,,,,,,44,10,,,,,,,,,,,,,,,,,,,,,297,19
13,14,181,15850,21,3,,,,,,,,,218,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,12,,,,,,,,,,,,,119,10,1313,16,,,,,,,,,9084,10,,,1324,10,,,4,13,,,84,23,,,802,14,,,,,,,,,,,,,,,,,,,173,9,,,,,133,4,,,,,93,17,,,,,,,,,,,,,,,136,48,141,41,,,,,,,,,,,,,,,,,,,,,7,8,,,,,,,32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,16,,,71,12,,,,,,,,,,,,,,,191,24,,,,,118,26,,,,,654,22,,,,,,,,,,,,,74,3,,,,,,,,,4,2,,,,,,,382,5,,,,,,,,,13,12,,,,,101,14,,,,,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,27
14,15,13,14405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,15,,,,,,,99,13,,,9,5,58,15,966,23,,,,,,,,,7519,11,8,17,1256,12,,,10,9,,,,,8,2,569,22,,,,,,,,,,,,,,,,,,,357,3,,,,,,,,,,,125,11,,,,,,,,,,,,,,,306,27,1069,12,,,,,,,,,,,,,153,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,115,11,6,41,22,,,,,,,,,,,,,,,244,21,,,,,275,13,,,27,9,689,19,,,,,,,,,,,,,,,,,19,13,25,10,,,,,40,6,,,,,135,14,,,,,,,,,,,,,,,26,26,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,,,,,,,,317,16
15,16,2425,13149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,13,29,,,,,,,,,,,,,122,9,1038,21,,,,,,,,,4104,24,5,33,1426,8,,,8,10,68,10,173,6,,,1063,12,,,,,,,,,,,,,,,,,,,71,18,,,,,,,,,,,42,23,,,,,,,,,,,,,,,651,13,655,17,,,,,,,,,,,,,22,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,28,,,,,,,,,,,,,,,,,,,235,22,,,,,615,8,,,71,7,2140,6,,,,,,,,,,,,,,,,,61,7,,,,,,,,,,,,,149,10,,,,,2,8,,,,,,,,,,,,,,,50,13,,,,,,,,,15,13,,,,,,,,,,,,,,,,,,,,,189,24
16,17,1294,13115,,,,,,,,,,,69,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,16,,,,,,,,,,,,,46,18,745,30,,,,,,,,,7373,12,10,12,722,19,,,,,,,146,8,,,1610,5,,,,,,,,,,,,,,,,,,,139,10,,,,,,,,,,,88,18,,,,,34,12,,,,,2,6,,,657,12,,,,,,,,,,,,,,,44,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,370,15,,,44,20,,,,,6,6,,,,,,,,,68,35,,,,,,,,,,,537,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,12,,,,,,,,,,,,,,,25,27,,,,,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,22
17,18,25821,11451,,,,,,,,,,,62,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3059,6,,,,,,,,,545,128,11,10,1053,14,,,,,,,,,,,2785,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2701,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215,1,,,,,,,,,,,,,,,,,,,,,,,,,20,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,27443,10139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,34,,,,,,,62,17,,,5,7,40,20,570,37,,,,,,,,,700,109,10,13,444,24,21,9,,,,,80,24,,,323,39,,,,,,,,,,,,,,,,,,,,,,,,,43,12,,,,,,,,,,,,,,,,,,,,,345,26,2010,7,,,,,,,,,,,,,1576,2,,,,,,,,,,,,,,,,,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,161,24,,,,,,,,,,,,,,,,,,,451,13,,,,,203,19,,,,,572,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2472,3
19,20,5072,9824,,,,,,,,,,,15,15,,,,,,,,,,,,,,,7,23,,,,,69,2,,,,,,,,,9,41,,,,,,,,,,,,,123,8,485,43,,,,,,,,,7111,14,5,36,79,69,,,,,,,,,,,326,38,,,,,,,,,,,,,,,14,2,,,,,449,2,,,,,,,,,,,,,,,225,7,,,,,,,,,89,64,249,29,,,,,,,,,,,,,11,48,,,,,,,,,,,,,,,,,,,,,21,1,,,19,2,,,175,2,,,,,,,,,,,,,,,53,57,7,12,84,8,,,,,,,,,,,,,,,,,,,,,,,,,,,92,60,,,,,,,,,,,,,,,17,2,,,,,,,,,,,,,,,14,71,,,,,47,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,66
20,21,822,9197,,,,,,,,,,,,,,,,,,,,,,,,,,,28,12,,,,,,,,,,,,,,,12,31,,,,,,,,,,,4,8,14,37,1095,19,,,,,,,,,3723,27,9,14,433,25,,,,,,,144,9,,,465,29,,,,,,,,,,,,,,,,,,,73,17,,,,,,,,,,,78,19,,,,,,,,,,,,,,,394,23,523,19,,,,,,,,,,,,,48,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,17,10,8,72,11,,,,,,,,,,,,,,,417,14,,,,,92,29,,,,,660,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,19,,,,,,,,,,,,,,,,,,,,,11,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,11
21,22,2136,8796,,,,,,,,,,,,,,,,,,,,,,,,,,,108,7,,,,,,,,,,,,,,,,,,,,,,,205,8,,,,,,,3041,7,,,,,,,,,2365,39,5,32,169,45,,,,,263,4,,,,,169,61,,,,,,,,,,,,,,,,,,,,,,,,,114,6,,,,,134,10,,,,,,,,,,,,,,,293,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,,,,,,,,,,787,5,,,,,,,,,,,,,,,,,,,635,5,,,,,,,,,,,71,67,,,,,,,,,,,,,35,4,,,65,3,,,,,,,,,6,3,,,255,8,,,,,,,,,,,,,,,47,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,93
22,23,2719,8705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,68,,,,,,,8,51,,,,,21,28,522,41,,,,,,,,,6402,17,4,41,308,32,,,,,,,57,31,,,689,17,,,,,,,,,,,,,,,,,,,57,23,,,,,,,,,,,16,34,,,,,,,,,,,,,,,159,43,,,,,,,,,,,,,,,16,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,44,,,,,,,,,,,,,,,,,,,29,60,,,,,,,,,,,168,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,42,,,,,,,,,,,,,,,,,,,,,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,31
23,24,811,8481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,,,,,,,21,31,,,,,,,1009,22,,,,,,,,,3087,32,,,1311,11,,,,,,,76,26,,,634,19,,,,,,,,,,,,,,,,,,,233,6,,,,,,,,,,,60,21,,,,,,,,,,,,,,,70,74,167,36,,,,,,,,,,,,,266,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763,6,,,18,32,,,,,,,,,,,,,,,175,26,,,,,248,15,,,75,6,228,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,6819,7801,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,16,5054,2,,,,,,,,,1297,68,9,15,48,84,,,,,,,25,50,,,233,47,,,,,,,,,,,,,,,,,,,25,36,,,,,,,,,,,,,,,,,,,,,,,2,7,,,102,59,85,50,,,,,,,,,,,,,12,47,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,86,45,,,18,33,,,,,,,,,,,,,,,322,16,,,,,26,54,,,,,162,47,,,,,,,,,,,,,,,,,11,17,,,,,,,,,,,,,121,17,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,42
25,26,2392,7697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,55,,,,,,,73,15,,,,,,,769,27,,,,,,,,,4267,22,,,293,34,,,16,4,115,8,,,,,626,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,25,,,,,,,,,,,,,,,346,25,241,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,19,,,52,16,,,,,,,,,,,,,,,301,18,,,,,109,28,,,,,,,,,,,,,,,,,,,,,,,10,19,,,,,,,17,9,,,,,106,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,59
26,27,5432,7394,,,,,,,,,,,93,8,,,9,2,,,,,,,,,,,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,67,,,,,,,,,4631,19,,,1052,15,,,,,154,7,20,58,,,128,70,,,,,,,,,,,,,,,5,4,,,59,21,57,3,,,,,,,,,,,,,,,245,6,,,,,,,,,102,58,81,53,,,,,,,,,,,,,10,49,,,,,,,,,,,,,,,,,22,7,,,,,,,8,6,,,14,3,,,,,,,,,,,,,,,99,40,7,13,43,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,2,16,2,159,5,,,,,,,,,,,12,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,44
27,28,2952,6595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19,,,,,,,,,,,,,68,13,716,32,,,,,,,,,3238,30,6,27,529,23,,,5,12,,,108,15,,,646,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,17,,,,,,,,,429,22,52,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,23,,,62,14,,,,,,,,,,,,,,,,,,,,,79,33,,,,,141,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
