bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2162,23229,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,,,,,14,33,,,,,,,138,17,,,,,33,25,1437,22,,,,,,,,,,,11407,8,,,722,24,,,,,,,139,20,,,,,858,24,,,,,10,4,,,,,,,,,,,,,,,,,23,39,,,,,,,,,,,161,12,,,,,,,12,20,,,,,,,5,8,538,25,193,40,,,,,,,6,4,,,,,47,19,,,,,,,,,,,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,56,6,11,,,,,,,,,,,,,,,,,,,,,,,513,15,,,,,259,19,,,,,24,11,4591,4,,,,,,,,,,,,,,,,,7,8,,,,,13,14,,,,,16,16,,,,,132,18,,,,,,,,,,,,,,,,,,,29,26,,,,,70,12,,,,,,,,,5,35,,,,,,,,,,,,,,,,,,,,,,,1704,8
811,22981,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,14,,,,,,,27,36,,,,,,,1891,15,,,,,,,,,,,5536,18,8,15,1492,12,,,,,,,177,14,,,,,2135,8,,,,,,,,,,,,,,,10,3,,,,,,,599,4,,,,,,,,,,,180,11,,,,,,,,,,,,,,,,,128,70,409,24,,,,,,,,,,,,,553,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3490,1,,,28,29,,,,,,,,,,,,,,,,,,,,,1095,7,,,,,814,7,,,,,240,3,374,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3737,2
25821,21325,13,,,,,,,,,,,302,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2322,12,,,,,,,,,,,1058,97,4,44,1633,10,,,,,,,,,,,,,8939,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2154,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,7,,,,,,,,,,,,,,,,,,,,,,,3079,3
30549,21069,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,24,,,,,63,17,4025,4,,,,,,,,,,,10692,10,,,590,27,,,39,2,,,,,,,,,982,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,35,,,,,,,,,,,,,,,,,1279,10,1231,12,,,,,,,,,,,,,140,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,19,,,162,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,20129,15,,,,,,,,,,,135,10,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,41,12,,,,,,,164,13,,,,,129,10,1540,21,,,,,,,,,,,4749,23,6,24,1343,15,,,5,14,202,9,229,11,,,,,1558,13,,,,,,,,,,,,,,,,,,,,,,,125,10,,,,,,,,,,,278,8,,,,,,,,,,,,,,,,,1422,9,710,17,,,,,,,,,,,,,10,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,29,,,,,,,,,,,,,,,,,,,,,,,,,1094,8,,,,,867,6,,,,,289,2,4157,6,,,,,,,,,,,,,,,,,,,,,73,10,,,,,,,,,,,,,184,14,,,,,6,8,,,,,,,,,,,,,,,,,,,371,4,,,,,,,,,36,17,,,,,,,,,,,,,,,,,,,,,,,184,27
2243,19025,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,14,,,,,,,,,,,,,,,16,30,,,,,,,,,,,,,,,4173,2,,,,,,,,,,,5603,17,,,,,,,,,,,,,,,,,2402,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,10,,,,,145,14,,,,,,,,,,,,,,,,,755,19,248,33,,,,,,,,,,,,,24,31,,,,,,,,,,,,,,,,,61,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168,5,,,,,,,,,,,,,,,,,,,,,,,,,1393,5,,,,,732,10,,,,,36,9,1165,15,,,,,,,,,,,7,5,,,,,,,,,,,141,3,,,,,743,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,52
13,18728,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,7,,,,,,,109,20,,,6,7,31,26,1542,20,,,,,,,77,9,,,8376,11,7,19,1783,9,,,9,7,,,49,39,,,9,2,761,28,,,,,,,,,,,,,1,4,,,,,,,,,576,5,,,,,,,,,,,158,13,,,9,1,,,,,,,,,,,,,505,26,1221,13,,,,,,,,,,,,,65,15,,,,,,,,,,,,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,11,17,3,79,14,,,,,,,,,,,,,,,,,,,,,232,23,,,,,523,13,,,,,35,10,981,17,,,,,,,,,,,,,,,,,,,,,14,16,23,12,,,,,116,6,,,,,184,13,,,,,,,,,,,,,,,,,,,32,23,,,,,,,,,,,,,,,28,19,,,,,,,,,,,,,,,,,,,,,,,336,23
320,18712,18,,,,,,,,,,,82,11,,,,,18,4,,,,,,,,,9,1,,,105,8,,,,,,,,,14,3,,,,,42,11,,,,,,,124,19,,,19,4,45,20,1668,18,,,,,,,368,4,,,6988,15,29,2,1183,17,48,6,,,65,15,268,7,,,,,1929,10,,,,,11,3,6,3,,,,,14,2,,,29,4,,,,,111,15,104,5,,,,,,,,,335,5,,,,,,,414,4,,,,,,,9,6,283,42,236,35,,,,,8,4,,,,,19,3,39,21,,,,,,,17,3,,,,,,,,,38,9,34,8,,,,,,,,,8,6,,,,,110,3,,,,,,,,,,,,,824,9,15,6,71,16,,,,,,,5,7,,,,,,,,,,,,,592,12,,,,,316,17,,,,,112,8,1125,16,,,,,,,,,,,,,6,3,,,,,,,76,9,107,4,,,,,23,13,,,,,74,31,,,,,18,5,,,,,,,20,14,,,,,40,21,,,31,1,35,20,,,,,,,,,49,14,,,,,,,,,,,6,8,,,,,,,,,,,338,22
1294,16362,19,,,,,,,,,,,27,19,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,,,,,,,,,,,,,86,14,1128,24,,,,,,,,,,,7968,12,8,16,823,23,,,8,8,127,13,162,19,,,,,2304,7,,,,,,,,,,,,,,,6,5,,,,,,,131,9,,,,,,,,,,,130,15,,,,,,,37,13,,,,,11,3,,,1209,11,,,,,,,,,,,,,,,333,4,,,,,,,,,,,,,,,,,,,27,11,,,,,,,,,,,,,,,13,10,,,,,,,,,,,,,528,14,,,30,28,,,,,,,9,5,,,,,,,,,,,,,62,43,,,,,,,,,,,,,748,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,10,,,,,129,20,,,,,,,,,,,,,24,12,,,,,25,27,,,,,11,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,29
181,15937,20,14,4,,,,,,,,,178,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,17,,,,,,,,,,,,,132,8,1878,16,,,,,,,,,,,7949,13,,,1405,14,,,7,10,,,71,31,,,,,1137,16,,,,,,,,,,,,,,,,,,,,,,,99,16,,,,,229,4,,,,,101,17,,,,,,,,,,,,,,,,,331,36,147,49,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,20,,,58,21,,,,,,,,,,,,,,,,,,,,,192,26,,,,,201,29,,,,,,,621,23,,,,,,,,,,,,,,,,,178,2,,,,,,,,,1,4,,,,,,,238,10,,,,,,,,,,,,,11,16,,,,,33,22,,,,,42,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,26
2136,15237,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,5,,,,,,,,,,,,,,,,,,,,,,,453,4,,,,,,,3724,7,,,,,,,,,,,4131,26,4,39,264,44,,,,,1340,4,,,,,,,507,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,9,,,,,240,10,10,8,,,,,,,,,,,,,,,481,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,1449,3,,,,,,,,,,,,,,,,,,,,,,,,,1434,4,,,,,,,,,,,,,108,65,,,,,,,,,,,,,,,,,7,7,,,214,3,,,,,5,2,,,8,3,,,294,8,,,,,,,,,,,,,,,,,,,157,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,56
50381,13893,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,33,701,40,,,,,,,,,,,10964,9,,,400,35,,,,,63,16,99,28,,,,,207,71,,,,,,,,,,,,,,,,,,,,,,,91,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,14,64,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886,13595,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,3,,,,,,,,,,,,,,,16,31,,,,,,,290,8,,,,,41,22,3742,6,,,,,,,,,,,2335,49,3,49,438,34,33,11,4,16,243,7,239,10,,,,,615,35,,,,,6,5,,,,,,,,,,,,,,,,,37,30,,,,,,,,,,,712,2,,,,,,,,,,,,,,,,,1614,7,113,54,,,,,,,,,,,,,14,46,,,,,,,,,12,2,,,18,4,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,32,2,18,107,11,,,,,,,,,,,,,,,,,,,,,364,20,,,,,675,11,,,,,225,4,217,44,,,,,,,,,,,,,,,,,,,,,134,6,26,10,,,,,533,2,,,,,112,23,,,,,,,,,,,,,,,,,,,160,9,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,57
5072,11881,24,,,,,,,,,,,2,26,,,,,,,,,,,,,,,,,,,21,15,,,,,224,2,,,,,,,,,14,35,,,,,,,,,,,,,131,9,601,46,,,,,,,,,,,7426,14,9,13,84,74,,,,,22,19,,,,,,,402,49,,,,,,,,,,,,,,,,,89,2,,,,,,,775,2,,,,,,,,,,,,,,,,,160,9,,,,,,,,,111,75,240,34,,,,,,,,,,,,,25,30,,,,,,,,,,,,,,,,,,,,,,,,,42,1,,,64,2,,,662,2,54,6,,,,,,,,,,,,,37,73,6,12,221,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,57,,,,,,,,,,,,,,,,,,,26,2,,,,,,,,,,,,,,,55,37,,,,,195,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,84
