,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,320,23819,,,,,,,,,,,109,9,,,,,8,4,,,,,,,,,11,1,,,127,9,,,,,,,,,15,2,,,,,64,7,,,,,,,198,13,,,9,3,63,22,2485,11,,,,,184,6,,,11516,10,19,4,1122,19,24,11,,,58,16,256,9,,,1323,13,,,,,,,7,2,,,6,2,,,13,3,,,,,130,16,66,5,,,,,,,,,355,4,,,,,378,5,,,,,,,16,4,398,37,386,25,,,,,12,4,,,,,12,3,64,15,,,,,,,7,3,,,,,,,,,43,10,37,7,,,,,,,,,10,5,,,,,46,5,,,,,,,,,,,,,1076,5,16,4,54,22,,,,,,,15,3,,,,,,,,,,,,,643,11,,,,,314,18,,,182,7,916,14,,,,,,,,,,,,,7,2,,,,,,,81,8,142,3,,,,,,,,,,,113,23,,,,,18,4,7,4,,,21,14,,,,,40,15,,,12,1,126,8,,,,,,,,,31,14,,,,,,,,,,,6,5,,,,,,,,,,,422,19
11,12,2162,21943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,10,39,,,,,,,123,18,,,,,37,28,1362,24,,,,,,,,,10219,12,,,753,25,,,,,,,144,23,,,898,20,,,,,6,3,,,,,,,,,,,,,,,25,40,,,,,,,,,,,197,14,,,,,,,,,,,,,5,9,548,24,4,111,,,,,,,7,4,,,,,67,14,,,,,,,,,,,,,,,,,19,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,52,2,18,,,,,,,,,,,,,,,,,,,,,,,593,15,,,,,164,27,,,12,12,5416,3,,,,,,,,,,,,,,,,,4,10,,,,,9,16,,,,,23,9,,,,,85,27,,,,,,,,,,,,,,,,,27,20,,,,,117,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962,9
12,13,2425,19860,,,,,,,,,,,50,12,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,42,14,,,,,,,150,16,,,,,185,6,1361,25,,,,,,,,,5661,29,9,8,1339,14,,,3,11,97,13,204,16,,,1289,14,,,,,,,,,,,,,,,,,,,,,132,15,,,,,,,,,,,152,18,,,,,,,,,,,,,,,1181,9,638,17,,,,,,,,,,,,,21,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,25,,,,,,,,,,,,,,,,,,,,,,,,,812,9,,,,,995,4,,,288,3,4229,4,,,,,,,,,,,,,,,,,,,,,91,7,,,,,,,,,,,,,157,20,,,,,4,8,,,,,,,,,,,,,,,,,262,4,,,,,,,,,32,13,,,,,,,,,,,,,,,,,,,,,,,150,33
13,14,2243,19609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,14,,,,,,,,,,,,,,,10,40,,,,,,,,,,,,,,,4458,4,,,,,,,,,7986,16,,,,,,,,,,,,,,,1568,8,,,,,,,,,,,,,,,,,,,,,,,,,,,153,9,,,,,167,17,,,,,,,,,,,,,,,545,25,175,42,,,,,,,,,,,,,12,53,,,,,,,,,,,,,,,,,67,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956,8,,,,,,,,,,,,,,,,,,,,,,,,,1080,7,,,,,592,10,,,39,10,780,18,,,,,,,,,,,5,6,,,,,,,,,,,73,5,,,,,796,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,38
14,15,181,18717,11,4,,,,,,,,,86,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,15,,,,,,,,,,,,,164,9,2163,14,,,,,,,,,9873,13,,,1733,10,,,4,7,,,92,29,,,1053,17,,,,,,,,,,,,,,,,,,,,,139,14,,,,,270,4,,,,,133,20,,,,,,,,,,,,,,,353,40,230,37,,,,,,,,,,,,,,,,,,,,,4,8,,,,,,,,,45,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,15,,,64,17,,,,,,,,,,,,,,,,,,,,,326,23,,,,,189,23,,,,,570,23,,,,,,,,,,,,,,,,,171,2,,,,,,,,,2,3,,,,,,,280,9,,,,,,,,,,,6,19,,,,,23,22,,,,,36,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,29
15,16,29351,18657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,,,,,,,,,,,,,,,,,,,,,,,,101,23,,,,,,,2676,10,,,,,,,,,3532,44,,,152,55,143,3,,,,,82,32,,,248,65,,,,,,,,,,,,,,,,,,,,,251,8,,,,,,,,,,,49,26,21,5,,,,,,,,,,,,,,,97,58,,,,,,,,,,,,,6,75,,,,,,,,,,,,,,,,,271,3,125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,42,,,,,,,,,,,,,,,,,,,,,,,,,624,13,,,,,,,,,,,8986,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,50,,,,,,,,,,,,,,,,,,,,,,,690,1,,,,,,,,,307,5,,,,,,,,,,,,,,,,,,,,,,,90,43
16,17,1294,18400,,,,,,,,,,,36,13,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,11,,,,,,,,,,,,,72,20,1472,22,,,,,,,,,8826,14,8,9,1164,17,,,,,61,15,268,8,,,2549,4,,,,,,,,,,,,,8,3,,,,,,,159,13,,,,,,,,,,,280,8,,,,,31,13,,,,,5,5,,,1528,8,,,,,,,,,,,,,,,61,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,551,13,,,31,29,,,,,,,5,5,,,,,,,,,,,,,54,49,,,,,,,,,,,613,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,10,,,,,,,,,,,27,11,,,,,23,23,,,,,20,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,26
17,18,811,18011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,6,,,,,,,22,40,,,,,,,1531,20,,,,,,,,,7353,20,4,26,1836,9,,,,,,,213,14,,,1397,12,,,,,,,,,,,,,6,4,,,,,,,581,4,,,,,,,,,,,179,16,,,,,,,,,,,,,,,165,63,351,27,,,,,,,,,,,,,296,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,6,,,15,34,,,,,,,,,,,,,,,,,,,,,486,17,,,,,843,7,,,208,5,549,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,11
18,19,2136,16379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,3,,,,,,,,,,,,,,,,,,,,,,,413,5,,,,,,,3356,8,,,,,,,,,5915,26,19,5,212,48,,,,,909,4,,,,,410,44,,,,,,,,,,,,,,,,,,,,,,,,,,,208,7,,,,,309,6,,,,,,,,,,,,,,,582,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,,,,,,,,,,,,,,,,,,,,,1549,2,,,,,,,,,,,,,,,,,,,,,,,,,1246,6,,,,,,,,,,,84,78,,,,,,,,,,,,,,,,,16,7,,,229,2,,,,,3,2,,,9,3,,,294,8,,,,,,,,,,,,,,,,,78,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,60
19,20,25821,15653,,,,,,,,,,,477,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3082,9,,,,,,,,,1166,103,4,30,1560,12,,,,,,,,,,,3490,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3229,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,7,,,,,,,,,,,,,,,,,,,,,,,993,8
20,21,3886,13333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,5,,,,,,,,,,,,,,,12,32,,,,,,,214,11,,,,,98,15,4205,5,,,,,,,,,2094,71,6,18,395,32,13,14,,,115,12,196,17,,,505,35,,,,,6,4,,,,,,,,,,,,,,,32,36,,,,,,,,,,,781,2,,,,,,,,,,,,,,,970,12,125,50,,,,,,,,,,,,,22,36,,,,,,,,,12,2,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,50,6,12,173,9,,,,,,,,,,,,,,,,,,,,,264,26,,,,,926,5,,,376,2,505,26,,,,,,,,,,,,,,,,,,,,,98,6,23,13,,,,,464,2,,,,,108,24,,,,,,,,,,,,,,,,,47,12,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,44
21,22,2952,11869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,8,,,,,,,,,,,,,141,11,1273,27,,,,,,,,,6043,24,,,957,21,,,,,,,218,11,,,1096,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,17,,,,,,,8,8,896,13,37,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,22,,,135,11,,,,,,,,,,,,,,,,,,,,,,,,,,,170,26,,,,,156,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,5072,11774,,,,,,,,,,,5,21,,,,,,,,,,,,,,,,,,,10,22,,,,,141,2,,,,,,,,,12,33,,,,,,,,,,,,,185,7,600,55,,,,,,,,,7477,18,3,39,77,84,,,,,,,,,,,349,50,,,,,,,,,,,,,,,37,2,,,,,,,980,2,,,,,,,,,,,,,,,139,10,,,,,,,,,98,86,475,21,,,,,,,,,,,,,46,20,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,28,2,,,364,2,16,7,,,,,,,,,,,,,50,69,10,6,288,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,64,,,,,,,,,,,,,,,,,,,14,2,,,,,,,,,,,,,,,44,44,,,,,175,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,72
23,24,822,11594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,10,,,,,,,,,,,,,,,33,18,,,,,,,155,15,,,4,8,20,37,1334,26,,,,,22,13,,,4899,34,6,16,815,23,,,,,,,173,19,,,663,28,,,,,,,,,,,,,,,,,,,,,46,30,,,,,,,,,,,187,15,,,,,,,,,,,,,,,537,26,260,34,,,,,,,,,,,,,80,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,21,7,11,69,15,,,,,,,,,,,,,,,,,,,,,434,19,,,,,158,29,,,,,719,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,17,,,,,,,,,,,,,,,,,,,,,,,2,49,,,,,,,,,9,20,,,,,,,,,,,,,,,,,,,,,,,319,22
24,25,1111,10990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,21,,,,,,,,,,,,,,,1197,29,,,,,151,7,,,7219,21,,,564,29,,,,,,,,,,,243,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
