,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2181,33422,,,,,,,,,,,181,13,,,,,,,,,,,,,24,2,,,,,,,308,6,,,,,,,,,,,,,,,50,19,,,,,,,201,14,,,,,167,7,2012,21,,,,,,,500,5,,,10027,19,27,3,2404,17,229,2,15,5,,,253,17,,,,,1771,18,,,,,,,,,,,,,,,,,,,,,,,506,9,,,,,184,10,,,,,348,9,,,,,,,377,5,,,,,,,28,2,1319,12,1254,17,,,,,,,123,3,,,,,32,34,,,,,,,,,,,,,,,17,3,57,8,58,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,18,24,2,202,6,,,,,,,,,,,,,,,,,,,,,1691,6,,,,,459,16,,,,,294,5,3022,8,,,,,,,,,,,21,2,,,,,46,5,,,108,8,68,8,,,,,86,11,20,2,,,1937,1,,,,,,,,,,,,,141,6,,,,,,,301,11,,,,,296,5,37,3,,,,,,,,,,,,,,,,,,,17,4,,,,,,,,,,,1399,9
11,12,811,32788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,7,,,,,,,25,40,,,,,,,3405,10,,,,,,,,,,,9852,20,4,44,3697,11,,,,,,,301,11,,,,,2680,10,,,,,,,,,,,,,,,6,4,,,,,,,2467,1,,,,,,,,,,,261,11,,,,,,,,,,,,,,,,,245,56,917,20,,,,,,,,,,,,,402,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2337,2,,,37,28,,,,,,,,,,,,,,,,,,,,,855,12,,,,,909,9,,,,,756,2,456,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3044,2
12,13,2162,31726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,12,51,,,,,,,189,15,,,,,49,22,1860,22,,,,,,,,,,,17324,6,,,1015,30,,,,,,,179,25,,,,,1340,24,,,,,4,4,,,,,,,,,,,,,,,,,49,36,,,,,,,,,,,229,13,,,,,,,19,18,,,,,,,7,7,858,22,191,54,,,,,,,8,4,,,,,60,20,,,,,,,,,,,,,,,,,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,43,4,14,,,,,,,,,,,,,,,,,,,,,,,611,15,,,,,423,17,,,,,29,11,4983,4,,,,,,,,,,,,,,,,,11,8,,,,,8,16,,,,,29,15,,,,,201,14,,,,,,,,,,,,,,,,,,,,,66,20,,,,,132,9,,,,,,,,,51,17,,,,,,,,,,,,,,,,,,,,,,,1564,8
13,14,181,30125,16,5,,,,,,,,,350,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,13,,,,,,,,,,,,,153,8,3357,11,,,,,,,,,,,14596,12,,,4523,9,,,7,8,,,87,33,,,,,2040,15,,,,,,,,,,,,,,,,,,,,,,,249,11,,,,,478,5,,,,,158,17,,,,,,,,,,,,,,,,,332,45,298,42,,,,,,,,,,,,,,,,,,,,,5,8,,,,,,,,,34,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,20,,,85,17,,,,,,,,,,,,,,,,,,,,,300,26,,,,,298,24,,,,,,,835,22,,,,,,,,,,,,,,,,,560,2,,,,,,,,,,,,,,,,,245,11,,,,,,,,,,,,,26,12,,,,,,,82,17,,,,,35,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,27
14,15,1294,26971,,,,,,,,,,,58,19,,,,,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,14,,,,,,,,,,,,,67,16,1774,25,,,,,,,,,,,15503,9,9,15,1477,23,,,3,17,94,15,245,18,,,,,3226,8,,,,,,,,,,,,,,,7,3,,,,,,,235,14,,,,,,,,,,,153,18,,,,,,,22,17,,,,,4,5,,,1328,11,,,,,,,,,,,,,,,278,4,,,,,,,,,,,,,,,,,,,14,11,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,715,19,,,52,24,,,,,,,,,,,,,,,,,,,,,54,58,,,,,,,,,,,,,946,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,7,,,,,174,19,,,,,,,,,,,,,28,11,,,,,,,20,29,,,,,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,26
15,16,2398,26112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,27,395,80,,,,,,,,,,,6743,24,7,23,355,48,,,,,,,49,49,,,,,660,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,92,17296,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,61,,,,,,,,,,,,,,,,,,,,,,,,,72,46,,,,,,,,,,,,,225,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,58,,,,,,,,,,,,,,,,,,,,,36,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,2136,25852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,5,,,,,,,,,,,,,,,,,,,,,,,534,4,,,,,,,5105,5,,,,,,,,,,,8980,21,12,9,1231,26,,,,,1782,4,,,,,,,845,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,6,,,,,427,6,11,8,,,,,,,,,,,,,,,681,28,,,,,,,,,,,,,,,13,61,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3,,,,,,,,,,,,,,,,,,,,,1988,5,,,,,,,,,,,,,,,,,,,,,,,,,1949,4,,,,,,,,,,,,,135,61,,,,,,,,,,,,,,,,,22,7,,,283,2,,,,,4,3,,,8,3,,,465,6,,,,,,,,,,,,,,,,,,,,,495,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,50
17,18,178900,24862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,46,,,,,,,68,25,,,,,,,1434,30,,,,,,,,,,,19550,5,,,,,,,,,,,,,,,,,1557,20,,,,,,,,,,,,,,,,,,,,,,,550,8,,,,,,,,,,,25,38,,,,,,,,,,,,,,,,,346,43,179,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,39,,,,,,,,,,,,,,,,,,,,,,,,,142,34,,,,,,,,,,,,,733,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,463,24834,16,6,22,2,,,,,,,,,,,,,,,,,20,5,,,,,,,,,,,29,16,,,,,,,,,13,4,,,,,42,21,,,,,,,225,12,,,,,70,15,2110,19,,,,,,,,,,,10903,17,15,5,1269,25,25,13,12,6,20,20,100,29,,,,,1318,26,,,,,,,,,,,,,,,,,,,,,,,123,23,,,,,44,14,,,,,112,20,,,,,,,61,12,,,,,,,,,1051,17,2515,10,,,,,,,,,,,,,39,27,,,,,,,13,4,,,,,,,,,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,32,14,7,68,20,,,,,,,,,,,,,,,,,,,,,353,24,,,,,849,10,,,,,,,1514,14,,,,,,,,,,,,,,,,,,,,,,,21,13,,,,,34,14,,,,,188,16,,,,,,,,,,,,,82,8,,,,,,,75,18,,,,,66,16,,,,,,,,,74,13,,,,,,,,,,,,,,,,,,,,,,,933,11
19,20,5072,24428,,,,,,,,,,,3429,2,,,,,,,,,,,,,,,,,,,,,18,18,,,,,329,2,,,,,,,,,19,39,,,,,,,,,,,,,140,9,778,51,,,,,,,,,,,15096,10,10,12,191,64,,,,,36,18,,,,,,,541,50,,,,,,,,,,,,,,,,,154,2,,,,,,,1127,2,,,,,,,,,,,,,,,,,283,9,,,,,,,,,131,75,547,30,,,,,,,,,,,,,56,22,,,,,,,,,,,,,,,,,,,,,,,,,34,2,,,190,2,,,307,2,55,6,,,,,,,,,,,,,88,69,10,9,115,12,,,,,,,,,,,,,,,,,,,,,,,,,,,26,66,,,,,,,94,69,,,,,,,,,,,,,,,,,,,80,2,,,,,,,,,,,,,,,51,42,,,,,439,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,78
20,21,29351,23177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,,,,,162,17,,,,,,,3228,14,,,,,,,,,,,3929,47,,,429,44,118,3,,,,,100,30,,,,,435,58,,,,,,,,,,,,,,,,,,,,,,,626,6,,,,,,,,,,,47,28,35,5,,,,,,,,,,,,,,,,,337,39,,,,,,,,,,,,,24,46,,,,,,,,,,,,,,,,,248,2,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,41,,,,,,,,,,,,,,,,,,,,,,,,,1202,9,,,,,,,,,,,,,10401,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,39,,,,,,,,,,,,,,,,,,,,,,,,,,,777,1,,,,,,,,,571,5,,,,,,,,,,,,,,,,,,,,,,,100,45
21,22,28,23104,,,,,,,,,,,625,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,71,,,,,,,,,,,6114,30,,,3578,12,,,,,,,63,44,,,,,915,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,10,,,,,,,,,1604,9,8592,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,55,,,,,,,,,,,,,,,,,,,,,486,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,25821,22427,,,,,,,,,,,734,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1788,24,,,,,,,,,,,1616,81,17,4,1792,21,,,,,,,,,,,,,7945,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3187,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,7,,,,,,,,,,,,,,,,,,,,,,,2936,3
23,24,50381,19799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,29,1853,23,,,,,,,,,,,13999,13,,,747,37,,,,,58,16,240,20,,,,,401,61,,,,,,,,,,,,,,,,,,,,,,,196,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269,14,133,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
