bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
13,23966,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,8,,,,,,,167,15,,,5,8,46,20,1553,20,,,,,,,49,10,,,13393,8,7,13,1993,11,,,6,6,,,34,44,,,6,2,816,26,,,,,,,,,,,,,1,4,,,,,,,,,903,4,,,,,,,,,,,91,18,,,7,1,,,,,,,,,,,,,375,29,1180,14,,,,,,,,,,,,,66,17,,,,,,,,,,,,,,,,,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,10,10,7,81,14,,,,,,,,,,,,,,,,,,,,,241,24,,,,,377,13,,,,,27,10,791,17,,,,,,,,,,,,,,,,,,,,,25,15,53,8,,,,,49,12,,,,,243,10,,,,,,,,,,,,,,,,,,,,,36,20,,,,,,,,,,,,,,,9,25,,,,,,,,,,,,,,,,,,,,,,,428,20
29351,23307,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,,,,,,,,,,,,,,,,,,,,,,,,,321,9,,,,,,,4511,5,,,,,,,,,,,3665,35,,,296,45,126,2,,,,,80,29,,,,,490,44,,,,,,,,,,,,,,,,,,,,,,,327,7,,,,,,,,,,,37,29,41,5,,,,,,,,,,,,,,,,,126,56,,,,,,,,,,,,,23,38,,,,,,,,,,,,,,,,,190,2,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,29,,,,,,,,,,,,,,,,,,,,,,,,,1146,6,,,,,,,,,,,,,9944,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,49,,,,,,,,,,,,,,,,,,,,,,,,,,,926,1,,,,,,,,,594,5,,,,,,,,,,,,,,,,,,,,,,,90,45
811,23178,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,4,,,,,,,37,33,,,,,,,2479,14,,,,,,,,,,,7965,16,4,28,2074,8,,,,,,,167,11,,,,,2337,9,,,,,,,,,,,,,,,2,7,,,,,,,607,5,,,,,,,,,,,157,13,,,,,,,,,,,,,,,,,105,70,351,30,,,,,,,,,,,,,216,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703,3,,,38,26,,,,,,,,,,,,,,,,,,,,,545,14,,,,,488,12,,,,,341,1,307,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3141,2
463,23074,14,13,5,10,3,,,,,,,,,,,,,,,,,,,,,12,4,,,,,,,,,,,37,15,,,,,,,,,7,3,,,,,37,14,,,,,,,180,14,,,,,83,12,2036,15,,,,,,,,,,,10049,11,6,16,1055,21,15,15,4,13,15,20,164,12,,,,,1206,15,,,,,,,,,,,,,,,,,,,,,,,104,21,,,,,39,14,,,,,75,20,,,,,,,62,12,,,,,,,,,811,13,3186,4,,,,,,,,,,,,,71,15,,,,,,,6,8,,,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,21,6,13,50,23,,,,,,,,,,,,,,,,,,,,,354,18,,,,,800,6,,,,,,,1060,14,,,,,,,,,,,,,,,,,,,,,,,20,12,,,,,17,17,,,,,170,18,,,,,,,,,,,,,44,10,,,,,,,43,16,,,,,74,12,,,,,,,,,37,17,,,,,,,,,,,,,,,,,,,,,,,741,13
25821,20949,15,,,,,,,,,,,877,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3817,7,,,,,,,,,,,1107,100,6,22,2072,9,,,,,,,,,,,,,6774,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3338,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,8,,,,,,,,,,,,,,,,,,,,,,,658,14
320,18304,16,,,,,,,,,,,97,13,,,,,,,12,5,,,,,,,,,,,,,11,1,,,110,9,,,,,,,,,5,6,,,,,52,10,,,,,,,110,19,,,7,5,31,26,1640,18,,,,,,,156,6,,,6088,22,18,5,1181,19,30,7,,,70,14,261,8,,,,,3347,5,,,,,9,2,8,2,,,,,10,2,,,16,4,,,,,113,17,63,6,,,,,,,,,372,5,,,,,,,226,7,,,,,,,13,7,261,38,274,35,,,,,10,4,,,,,11,3,36,27,,,,,,,7,6,,,,,,,,,25,10,21,10,,,,,,,,,8,7,,,,,48,6,,,,,,,,,,,,,718,13,23,3,66,16,,,,,,,4,8,,,,,,,,,,,,,612,11,,,,,321,17,,,,,66,8,916,16,,,,,,,,,,,,,5,3,,,,,,,75,8,107,6,,,,,37,14,,,,,98,26,,,,,14,6,,,,,,,33,11,,,,,,,38,18,,,75,1,33,21,,,,,,,,,45,15,,,,,,,,,,,6,7,,,,,,,,,,,255,26
2425,17421,17,,,,,,,,,,,129,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,16,29,,,,,,,204,11,,,,,104,11,1570,19,,,,,,,,,,,4568,27,6,20,1772,14,,,3,15,174,10,156,15,,,,,1343,14,,,,,,,,,,,,,,,,,,,,,,,176,12,,,,,,,,,,,164,12,8,8,,,,,,,,,,,,,,,771,15,653,18,,,,,,,,,,,,,16,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,24,,,,,,,,,,,,,,,,,,,,,,,,,780,9,,,,,1036,4,,,,,190,4,2641,8,,,,,,,,,,,,,,,,,,,,,69,9,,,,,,,,,,,,,198,15,,,,,8,7,,,,,,,,,,,,,,,,,,,,,120,7,,,,,,,,,34,18,,,,,,,,,,,,,,,,,,,,,,,205,30
1294,17126,18,,,,,,,,,,,51,17,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,,,,,,,,,,,,,69,14,967,27,,,,,,,,,,,9519,12,26,2,939,23,,,9,3,107,12,169,10,,,,,1789,12,,,,,,,,,,,,,,,10,3,,,,,,,282,9,,,,,,,,,,,126,15,,,,,,,36,13,,,,,4,4,15,6,954,11,,,,,,,,,,,,,,,391,2,,,,,,,,,,,,,,,,,,,14,12,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,425,19,,,48,25,,,,,,,8,4,,,,,,,,,,,,,45,50,,,,,,,,,,,,,506,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,8,,,,,212,12,,,,,,,,,,,,,30,12,,,,,,,33,25,,,,,34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,28
2136,16199,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,7,,,,,,,,,,,,,,,,,,,,,,,355,7,,,,,,,2824,12,,,,,,,,,,,6916,19,9,11,367,39,,,,,1121,5,,,,,,,497,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,9,,,,,210,9,10,6,,,,,,,,,,,,,,,429,27,,,,,,,,,,,,,,,7,83,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,,,,,,,,,,,,,,,1214,6,,,,,,,,,,,,,,,,,,,,,,,,,966,7,,,,,,,,,,,,,69,78,,,,,,,,,,,,,,,,,16,7,,,136,4,,,,,6,2,61,10,6,3,,,408,8,,,,,,,,,,,,,,,,,,,,,156,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,49
181,15986,20,14,4,,,,,,,,,161,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,17,,,,,,,,,,,,,105,10,1655,17,,,,,,,,,,,8267,15,,,1697,15,,,5,10,,,68,31,,,,,1049,17,,,,,,,,,,,,,,,,,,,,,,,298,8,,,,,227,7,,,,,70,23,,,,,,,,,,,,,,,,,197,44,151,50,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,25,,,59,19,,,,,,,,,,,,,,,,,,,,,156,29,,,,,175,25,,,,,,,499,22,,,,,,,,,,,,,,,,,308,2,,,,,,,,,1,3,,,,,,,200,14,,,,,,,,,,,,,16,15,,,,,,,33,24,,,,,32,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,31
27443,14863,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,24,,,,,,,66,24,,,11,3,45,22,732,36,,,,,,,53,9,,,557,154,22,3,482,33,44,5,,,,,117,23,,,,,490,43,,,,,,,,,,,,,,,,,,,,,,,48,34,,,,,64,12,,,,,,,,,,,,,,,,,,,,,,,482,24,1922,11,,,,,,,,,,,,,224,5,,,,,,,,,,,,,,,,,,,27,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,27,,,,,,,,,,,,,,,,,,,,,,,,,335,19,,,,,195,21,,,,,,,4452,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,1,,,,,,,,,,,,,62,16,,,,,,,,,294,10,,,,,,,,,,,,,,,,,,,,,,,3093,3
3886,13854,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,5,,,,,,,,,,,,,,,15,32,,,,,,,296,10,,,,,54,19,3420,8,,,,,,,,,,,3107,43,8,12,451,35,17,13,5,12,157,11,156,16,,,,,665,34,,,,,5,5,,,,,,,,,,,,,,,,,28,41,,,,,,,,,,,575,3,,,,,,,,,,,,,,,,,1074,8,605,20,,,,,,,,,,,,,157,8,,,,,,,,,11,2,,,9,16,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,36,6,14,199,7,,,,,,,,,,,,,,,,,,,,,282,22,,,,,840,5,,,,,182,5,185,43,,,,,,,,,,,,,,,,,,,,,88,6,22,11,,,,,514,2,,,,,91,29,,,,,,,,,,,,,,,,,,,,,110,12,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,42
5072,13320,23,,,,,,,,,,,375,8,,,,,,,,,,,,,,,,,,,,,,,,,71,10,,,,,242,2,,,,,,,,,10,40,,,,,,,,,,,,,160,7,463,58,,,,,,,,,,,9429,13,4,33,102,74,,,,,27,18,,,,,,,374,52,,,,,,,,,,,,,,,,,97,2,,,,,,,434,2,,,,,,,,,,,,,,,,,124,9,,,,,,,,,83,82,375,27,,,,,,,,,,,,,43,22,,,,,,,,,,,,,,,,,,,,,,,,,32,1,,,65,2,,,145,2,40,7,,,,,,,,,,,,,59,65,6,15,150,9,,,,,,,,,,,,,,,,,,,,,,,,,,,49,42,,,,,,,89,71,,,,,,,,,,,,,,,,,,,34,2,,,,,,,,,,,,,,,37,48,,,,,112,3,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,63
