bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2181,20824,11,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,227,5,,,,,,,,,,,,,,,19,20,,,,,,,112,15,,,,,150,7,1160,18,,,,,234,5,,,7167,13,15,4,893,19,121,3,4,10,,,187,11,,,945,15,,,,,,,,,,,,,,,,,,,269,7,,,,,64,12,,,,,179,9,,,,,245,3,,,,,,,9,6,84,68,1028,11,,,,,,,25,3,,,,,55,13,,,,,,,,,,,,,,,6,4,36,8,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,12,13,2,145,7,,,,,,,,,,,,,,,,,,,,,1118,4,,,,,258,18,,,133,4,1835,9,,,,,,,5,4,,,,,69,4,,,52,8,52,8,,,,,,,41,1,,,1748,1,,,,,,,,,,,258,3,,,,,102,5,,,,,188,5,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,10
2243,19298,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,11,,,,,,,,,,,,,,,18,23,,,,,,,,,,,,,,,5215,1,,,,,,,,,6508,15,,,,,,,,,,,,,,,1288,11,,,,,,,,,,,,,,,,,,,,,,,,,145,7,,,,,233,6,,,,,,,,,,,,,,,509,15,156,41,,,,,,,,,,,,,17,36,,,,,,,,,,,,,,,,,60,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2,,,,,,,,,,,,,,,,,,,,,,,,,1500,3,,,,,631,7,,,43,10,841,16,,,,,,,10,2,,,,,,,,,,,133,3,,,,,880,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,53
13,15478,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,9,,,,,,,118,13,,,5,7,71,11,752,25,,,,,30,11,,,7863,10,7,15,1863,7,,,5,8,,,,,4,2,534,30,,,,,,,,,,,,,,,,,,,532,4,,,,,,,,,,,104,19,,,,,,,,,,,,,,,230,30,1057,10,,,,,,,,,,,,,109,9,,,,,,,,,,,,,,,,,,,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,17,5,12,59,12,,,,,,,,,,,,,,,,,,,,,201,25,,,,,267,16,,,52,9,686,18,,,,,,,,,,,,,,,,,31,13,42,9,,,,,61,7,,,,,86,21,,,,,,,,,,,,,,,,,25,19,,,,,,,,,,,,,,,22,16,,,,,,,,,,,,,,,,,,,,,,,319,21
320,14474,14,,,,,,,,,,,234,8,,,,,6,5,,,,,,,,,6,1,,,67,9,,,,,,,,,16,3,,,,,25,14,,,,,,,89,18,,,8,5,25,28,1101,19,,,,,125,6,,,6046,19,11,7,993,15,31,8,,,53,13,201,10,,,1069,12,,,,,,,8,2,,,4,2,,,12,3,,,79,20,49,5,,,,,,,,,231,7,,,,,171,6,,,,,,,9,5,204,36,295,26,,,,,12,2,,,,,5,3,50,15,,,,,,,10,4,,,,,,,,,19,11,29,8,,,,,,,,,8,6,,,,,58,3,,,,,,,,,,,,,557,10,7,7,49,16,,,,,,,8,3,,,,,,,,,,,,,529,10,,,,,229,20,,,84,7,1027,14,,,,,,,,,7,3,,,,,,,39,12,60,7,,,,,,,,,,,55,27,,,,,31,3,,,6,4,26,12,,,,,26,18,,,13,1,27,19,,,,,,,,,36,12,,,,,,,,,,,,,,,,,,,,,,,299,22
1294,13899,15,,,,,,,,,,,62,12,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,10,,,,,,,,,,,,,32,24,1390,15,,,,,,,,,6111,18,7,16,628,25,,,,,,,174,12,,,2807,4,,,,,,,,,,,,,7,3,,,,,127,13,,,,,,,,,,,108,17,,,,,51,12,,,,,5,3,,,955,8,,,,,,,,,,,,,,,33,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,,,,,,,,,,,440,13,,,29,25,,,,,,,8,4,,,,,,,,,,,,,56,46,,,,,,,,,,,479,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,15,,,,,,,,,,,22,13,,,,,18,23,,,,,12,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,29
50381,13156,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,22,51,206,,,,,,,,,10336,7,,,864,20,,,,,52,14,211,8,,,314,40,,,,,,,,,,,,,,,,,,,128,12,,,,,,,,,,,,,,,,,,,,,,,,,,,577,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,12914,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,4,,,,,,,23,36,,,,,,,915,23,,,,,,,,,3983,22,3,35,1901,6,,,,,,,95,25,,,1009,14,,,,,,,,,,,,,5,6,,,,,433,5,,,,,,,,,,,119,16,,,,,,,,,,,,,,,52,86,228,29,,,,,,,,,,,,,235,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,6,,,27,26,,,,,,,,,,,,,,,,,,,,,275,19,,,,,1022,3,,,80,8,340,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394,8
2425,12737,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,18,24,,,,,,,104,17,,,,,80,10,996,20,,,,,,,,,3713,24,3,38,1145,14,,,7,4,127,9,202,9,,,711,20,,,,,,,,,,,,,,,,,,,115,16,,,,,,,,,,,147,12,,,,,,,,,,,,,,,594,13,538,20,,,,,,,,,,,,,8,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,21,,,,,,,,,,,,,,,,,,,,,,,,,513,11,,,,,549,10,,,135,3,2396,7,,,,,,,,,,,,,,,,,51,9,,,,,,,,,,,,,88,20,,,,,2,8,,,,,,,,,,,,,,,,,99,6,,,,,,,,,24,15,,,,,,,,,,,,,,,,,,,,,,,155,33
181,12274,19,14,3,,,,,,,,,135,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,38,,,,,,,,,,,,,70,12,916,22,,,,,,,,,6445,16,,,1355,11,,,3,14,,,66,30,,,729,19,,,,,,,,,,,,,,,,,,,126,14,,,,,175,5,,,,,75,22,,,,,,,,,,,,,,,139,50,152,42,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,23,,,48,17,,,,,,,,,,,,,,,,,,,,,247,22,,,,,110,28,,,,,678,19,,,,,,,,,,,,,168,2,,,,,,,,,1,4,,,,,,,124,14,,,,,,,,,,,18,14,,,,,29,15,,,,,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,31
27443,10782,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,15,,,,,,,67,23,,,23,2,42,20,561,38,,,,,,,,,641,115,22,2,416,30,45,6,,,,,161,14,,,925,16,,,,,,,,,,,,,,,,,,,144,9,,,,,70,11,,,,,,,,,,,,,,,,,,,,,438,20,1905,6,,,,,,,,,,,,,284,3,,,,,,,,,,,,,,,,,,,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,18,,,,,,,,,,,,,,,,,,,,,,,,,343,17,,,,,161,23,,,,,628,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,9,,,,,,,,,,,44,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458,1
5072,10364,21,,,,,,,,,,,7,22,,,,,,,,,,,,,,,,,,,17,17,,,,,114,2,,,,,,,,,8,52,,,,,,,,,,,,,161,5,330,50,,,,,,,,,7490,12,7,19,82,69,,,,,,,,,,,238,48,,,,,,,,,,,,,,,13,2,,,,,758,2,,,,,,,,,,,,,,,132,8,,,,,,,,,66,77,282,27,,,,,,,,,,,,,18,35,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,26,2,,,149,2,,,,,,,,,,,,,,,24,72,8,4,88,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,59,,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,20,52,,,,,129,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,52
11733,10205,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,113,,,,,,,2,1,1405,69,,,,,,,,,,,,,,,173,58,,,,,,,,,,,,,,,,,,,,,,,,,437,1,,,,,19,39,,,,,,,,,,,,,,,7845,2,22,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,124,4,,,,,46,8,,,,,11,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886,9557,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,3,,,,,,,,,,,,,,,20,17,,,,,,,158,11,,,,,94,9,2780,7,,,,,,,,,925,92,12,6,851,21,12,14,,,70,12,153,16,,,381,35,,,,,7,3,,,,,,,,,,,,,15,43,,,,,,,,,,,659,2,,,,,,,,,,,,,,,776,10,129,46,,,,,,,,,,,,,13,44,,,,,,,,,10,2,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,35,6,11,110,8,,,,,,,,,,,,,,,,,,,,,231,23,,,,,919,4,,,140,2,193,40,,,,,,,,,,,,,,,,,71,7,17,12,,,,,231,4,,,,,91,19,,,,,,,,,,,,,,,,,27,16,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,51
2136,9283,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,7,,,,,,,,,,,,,,,,,,,,,,,231,8,,,,,,,1787,12,,,,,,,,,3342,29,3,37,225,42,,,,,719,4,,,,,279,44,,,,,,,,,,,,,,,,,,,,,,,,,82,10,,,,,155,11,,,,,,,,,,,,,,,381,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,,,,693,7,,,,,,,,,,,,,,,,,,,,,,,,,667,7,,,,,,,,,,,102,61,,,,,,,,,,,,,18,7,,,100,4,,,,,6,2,,,1,4,,,282,9,,,,,,,,,,,,,,,,,39,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,89
1258,8127,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,28,,,,,,,573,36,,,,,,,,,7492,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2398,7616,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,53,,,,,,,,,6242,17,2,44,117,54,,,,,,,25,46,,,472,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,46,,,,,,,,,,,,,,,,,,,,,,,,,36,57,,,,,,,,,,,194,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,37,,,,,,,,,,,,,,,,,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
