bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
29351,20822,11,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3630,5,,,,,,,,,4651,25,,,115,55,88,2,,,,,59,24,,,116,74,,,,,,,,,,,,,,,,,,,145,8,,,,,,,,,,,17,37,5,5,,,,,,,,,,,,,,,85,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,3,51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,63,61,,,,,,,,,,,,,,,,,288,16,,,,,,,,,,,9774,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,36,,,,,,,,,,,,,,,,,,,,,975,1,,,,,,,,,554,3,,,,,,,,,,,,,,,,,,,,,,
50381,19019,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18088,3,,,,,,,,,13,16,145,7,,,,,,,,,,,,,,,,,,,,,,,114,11,,,,,,,,,,,,,,,,,,,,,,,,,,,613,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,16640,13,15,4,,,,,,,,,304,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,12,,,,,,,,,,,,,128,7,1407,17,,,,,,,,,10017,11,,,1325,10,,,3,11,,,44,30,,,832,17,,,,,,,,,,,,,,,,,,,105,13,,,,,149,3,,,,,108,13,,,,,,,,,,,,,,,164,40,162,37,,,,,,,,,,,,,,,,,,,,,8,5,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,16,,,46,20,,,,,,,,,,,,,193,23,,,,,132,24,,,,,614,22,,,,,,,,,,,,,14,6,,,,,,,,,3,3,,,,,,,198,8,,,,,,,,,20,9,,,,,72,18,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,25
2243,15555,14,,,,,,,,,,,,,,,,,,,,,,,,,,,36,10,,,,,,,,,,,,,,,4,49,,,,,,,,,,,,,,,4164,4,,,,,,,,,6004,18,,,,,,,,,,,,,,,1421,7,,,,,,,,,,,,,,,,,,,,,,,,,37,12,,,,,83,17,,,,,,,,,,,,,,,352,24,141,40,,,,,,,,,,,,,9,55,,,,,,,,,,,,,,,48,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,4,,,,,,,,,,,,,,,,,703,6,,,,,513,7,,,20,10,672,19,,,,,,,9,2,,,,,,,,,,,33,4,,,,,312,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,52
320,15550,15,,,,,,,,,,,158,7,,,,,,,,,,,,,,,83,8,,,,,,,,,21,3,,,,,63,3,,,,,,,52,16,,,19,2,36,21,1110,19,,,,,124,5,,,6472,16,33,2,1210,13,14,9,,,,,73,21,,,1574,6,,,,,,,8,3,,,14,2,,,7,3,,,73,19,86,3,,,,,,,,,159,8,,,,,315,5,,,,,,,13,2,136,48,439,24,,,,,15,3,,,,,29,2,63,14,,,,,,,22,2,,,,,,,21,10,,,,,,,,,5,5,,,,,40,5,,,,,,,,,,,,,663,6,85,1,30,25,,,,,,,,,,,,,347,13,,,,,181,19,,,48,8,958,13,,,,,,,,,17,2,,,,,,,53,8,27,6,,,,,,,,,,,92,21,,,,,10,5,7,3,18,10,,,,,189,11,,,15,1,33,14,,,,,,,,,38,9,,,,,,,,,,,,,,,,,,,,,252,19
2425,13245,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,14,22,,,,,,,,,,,,,75,12,857,26,,,,,,,,,5048,23,9,19,1280,11,,,7,5,94,8,146,6,,,1055,12,,,,,,,,,,,,,,,,,,,106,12,,,,,,,,,,,36,27,,,,,,,,,,,,,,,465,19,718,17,,,,,,,,,,,,,14,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,19,,,,,,,,,,,,,,,,,258,18,,,,,461,9,,,86,4,1863,8,,,,,,,,,,,,,,,,,71,5,,,,,,,,,,,,,112,16,,,,,10,6,,,,,,,,,,,,,,,77,7,,,,,,,,,19,13,,,,,,,,,,,,,,,,,,,,,139,29
1294,13136,17,,,,,,,,,,,42,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,,,,,,,,,,,,,56,15,654,36,,,,,,,,,7868,12,5,28,647,19,,,,,,,100,15,,,1366,8,,,,,,,,,,,,,,,,,,,141,9,,,,,,,,,,,83,16,,,,,33,12,,,,,2,6,,,648,10,,,,,,,,,,,,,,,78,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,437,13,,,32,23,,,1,7,,,,,,,,,37,51,,,,,,,,,,,489,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,15,,,,,,,,,,,,,,,48,21,,,,,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,20
13,13033,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,14,,,,,,,89,11,,,1,9,43,19,1048,21,,,,,,,,,6754,15,5,27,1228,12,,,3,10,,,,,4,2,594,26,,,,,,,,,,,,,,,,,,,273,4,,,,,,,,,,,92,14,,,,,,,,,,,,,,,235,31,993,13,,,,,,,,,,,,,109,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,136,8,7,37,21,,,,,,,,,,,,,191,24,,,,,237,14,,,20,9,530,26,,,,,,,,,,,,,,,,,7,21,20,7,,,,,41,5,,,,,102,20,,,,,,,,,,,,,,,40,23,,,,,,,,,,,,,,,18,14,,,,,,,,,,,,,,,,,,,,,289,17
25821,12155,19,,,,,,,,,,,49,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3296,7,,,,,,,,,7,963,13,11,,,,,,,,,,,,,3741,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3775,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255,2,,,,,,,,,,,,,,,,,,,,,,,19,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719,10541,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,75,,,,,,,,,,,,,37,20,668,34,,,,,,,,,7727,13,7,23,296,34,,,,,,,28,39,,,845,16,,,,,,,,,,,,,,,,,,,80,17,,,,,,,,,,,18,36,,,,,,,,,,,,,,,166,39,,,,,,,,,,,,,,,13,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,48,,,,,,,,,,,,,,,,,91,36,,,,,,,,,,,255,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,39,,,,,,,,,,,,,,,,,,,,,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,22
27443,10373,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,40,,,,,,,42,21,,,6,5,35,22,800,28,,,,,,,,,687,111,2,46,591,24,18,7,,,,,91,16,,,353,38,,,,,,,,,,,,,,,,,,,,,,,,,44,10,,,,,,,,,,,,,,,,,,,,,332,25,1553,9,,,,,,,,,,,,,1607,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,25,,,,,,,,,,,,,,,,,244,20,,,,,241,13,,,,,615,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890,1
5072,9400,22,,,,,,,,,,,17,14,,,,,,,,,,,,,,,8,19,,,,,30,2,,,,,,,,,7,38,,,,,,,,,,,,,119,8,467,43,,,,,,,,,7094,14,4,34,95,59,,,,,,,,,,,332,40,,,,,,,,,,,,,,,11,2,,,,,173,2,,,,,,,,,,,,,,,251,7,,,,,,,,,98,56,211,32,,,,,,,,,,,,,45,20,,,,,,,,,,,,,,,,,,,,,16,1,,,18,3,,,45,2,,,,,,,,,,,,,,,91,49,6,12,56,13,,,,,,,,,,,,,,,,,,,,,,,,,124,55,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,28,43,,,,,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,83
5432,9271,23,,,,,,,,,,,202,6,,,12,2,,,,,,,,,,,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,60,,,,,,,,,6107,17,,,1126,15,,,,,108,7,13,69,,,129,70,,,,,,,,,,,,,,,1,4,,,139,10,81,4,,,,,,,,,,,,,,,384,4,,,,,,,,,121,51,113,45,,,,,,,,,,,,,18,40,,,,,,,,,,,,,,,,,26,5,,,,,,,7,4,,,8,3,,,,,,,,,,,,,,,120,36,7,11,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,8,2,84,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,30
822,9101,24,,,,,,,,,,,,,,,,,,,,,,,,,,,26,14,,,,,,,,,,,,,,,9,29,,,,,,,,,,,4,6,17,32,1126,18,,,,,,,,,3662,30,7,22,414,28,,,,,,,107,11,,,403,33,,,,,,,,,,,,,,,,,,,35,26,,,,,,,,,,,65,21,,,,,,,,,,,,,,,441,21,543,20,,,,,,,,,,,,,57,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,14,4,16,74,8,,,,,,,,,,,,,392,11,,,,,111,26,,,,,564,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,9,,,,,,,,,,,,,,,,,,,,,10,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,11
4192,9093,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,26,,,,,,,99,10,,,,,63,14,2480,11,,,,,,,,,7,962,,,566,25,,,,,,,83,17,,,232,52,,,,,,,,,,,,,10,2,,,,,25,37,,,,,,,,,,,158,9,,,,,,,,,,,,,,,666,9,489,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,15,,,,,,,,,,,,,,,,,182,25,,,,,,,,,,,3486,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,19,,,,,,,,,,,,,,,,,,,,,59,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,8515,26,,,,,,,,,,,,,,,,,,,,,,,,,,,75,9,,,,,,,,,,,,,,,,,,,,,,,160,8,,,,,,,3251,8,,,,,,,,,2287,49,20,5,156,48,,,,,300,3,,,,,220,57,,,,,,,,,,,,,,,,,,,,,,,,,105,7,,,,,113,12,,,,,,,,,,,,,,,219,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,620,9,,,,,,,,,,,,,,,,,547,7,,,,,,,,,,,61,73,,,,,,,,,,,,,,,,,74,4,,,,,,,,,3,3,,,215,7,,,,,,,,,,,,,,,44,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,62
6819,8105,27,,,,,,,,,,,,,,,,,,,,,,,,,,,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,18,4839,2,,,,,,,,,1312,75,7,24,49,82,,,,,,,24,43,,,745,19,,,,,,,,,,,,,,,,,,,32,32,,,,,,,,,,,,,,,,,,,,,,,5,4,,,75,69,58,63,,,,,,,,,,,,,14,48,,,,,,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,76,52,,,27,27,,,,,,,,,,,,,419,10,,,,,28,46,,,,,132,51,,,,,,,,,,,,,,,,,11,15,,,,,,,,,,,,,46,32,,,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,37
811,7847,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,4,,,,,,,13,37,,,,,,,1090,20,,,,,,,,,2685,42,,,965,18,,,,,,,46,29,,,679,23,,,,,,,,,,,,,,,,,,,244,5,,,,,,,,,,,72,20,,,,,,,,,,,,,,,58,82,208,33,,,,,,,,,,,,,389,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,7,,,32,22,,,,,,,,,,,,,158,27,,,,,217,18,,,53,7,247,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,7590,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,32,,,,,,,66,15,,,,,,,772,30,,,,,,,,,4125,28,,,320,31,,,16,3,119,6,,,,,797,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,28,,,,,,,,,,,,,,,241,30,302,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,27,,,48,18,,,,,,,,,,,,,242,21,,,,,179,20,,,,,,,,,,,,,,,,,,,,,,,7,23,,,,,,,12,10,,,,,91,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,50
