,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,463,22175,,,6,3,,,,,,,,,,,,,,,14,5,,,,,,,,,,,38,11,,,,,,,,,8,4,,,,,13,26,,,,,,,226,7,,,,,76,16,1999,16,,,,,,,,,11465,9,9,9,,,14,13,4,9,22,17,122,22,,,989,16,,,,,,,,,,,,,,,,,,,71,20,,,,,28,14,,,,,76,23,,,,,46,14,,,,,,,,,863,10,1861,7,,,,,,,,,,,,,57,14,,,,,,,4,7,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,18,6,12,31,30,,,,,,,,,,,,,,,,,,,,,363,22,,,,,832,6,,,,,1433,13,,,,,,,,,,,,,,,,,,,15,13,,,,,10,11,,,,,148,17,,,,,,,,,,,45,9,,,,,20,25,,,,,75,12,,,,,,,,,28,13,,,,,,,,,,,,,,,,,,,,,,,852,8
11,12,25821,20392,,,,,,,,,,,410,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3638,10,,,,,,,,,1162,79,6,15,1966,12,,,,,,,,,,,3984,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730,5
12,13,13,17841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,7,,,,,,,134,14,,,4,7,68,17,1571,21,,,,,14,13,,,8135,11,2,39,2103,10,,,1,14,,,,,3,2,781,22,,,,,,,,,,,,,,,,,,,935,2,,,,,,,,,,,190,16,,,,,,,,,,,,,,,449,26,1059,13,,,,,,,,,,,,,113,10,,,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,121,26,2,117,20,,,,,,,,,,,,,,,,,,,,,284,26,,,,,341,16,,,36,9,796,17,,,,,,,,,,,,,,,,,13,16,38,7,,,,,95,5,,,,,137,19,,,,,,,,,,,,,,,,,12,29,,,,,,,,,,,,,,,7,19,,,,,,,,,,,,,,,,,,,,,,,327,20
13,14,1294,17461,,,,,,,,,,,39,13,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19,,,,,,,,,,,,,63,19,2221,14,,,,,,,,,7818,12,5,18,934,20,,,,,,,164,16,,,2794,5,,,,,,,,,,,,,3,4,,,,,158,11,,,,,,,,,,,208,15,,,,,77,12,,,,,1,7,,,1196,7,,,,,,,,,,,,,,,35,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,451,14,,,76,24,,,,,,,4,6,,,,,,,,,,,,,73,42,,,,,,,,,,,635,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,11,,,,,,,,,,,16,13,,,,,22,23,,,,,5,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,26
14,15,320,17316,,,,,,,,,,,136,9,,,,,10,4,,,,,,,,,11,1,,,88,8,,,,,,,,,12,3,,,,,42,6,,,,,,,108,18,,,15,3,48,23,1786,20,,,,,201,6,,,6377,19,16,4,1126,16,21,10,,,45,15,274,7,,,1282,11,,,,,,,11,2,,,12,2,,,12,3,,,94,16,62,4,,,,,,,,,387,6,,,,,287,4,,,,,,,20,2,302,31,354,25,,,,,15,3,,,,,12,3,64,12,,,,,,,13,2,,,,,,,46,8,30,8,,,,,,,,,13,4,,,,,101,3,,,,,,,,,,,,,940,7,24,3,130,19,,,,,,,10,2,,,,,,,,,,,,,737,9,,,,,255,19,,,82,8,1023,15,,,,,,,,,7,3,,,,,,,114,4,72,4,,,,,,,,,,,64,37,,,,,18,4,,,10,2,27,11,,,,,33,19,,,10,1,33,17,,,,,,,,,42,10,,,,,,,,,,,,,,,,,,,,,,,252,22
15,16,181,17002,8,4,,,,,,,,,108,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,9,,,,,,,,,,,,,233,4,2679,12,,,,,,,,,7390,13,,,2175,9,,,7,5,,,84,29,,,819,20,,,,,,,,,,,,,,,,,,,161,10,,,,,280,5,,,,,123,20,,,,,,,,,,,,,,,254,36,126,50,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,15,,,163,16,,,,,,,,,,,,,,,,,,,,,351,23,,,,,178,25,,,,,768,18,,,,,,,,,,,,,211,3,,,,,,,,,1,4,,,,,,,229,13,,,,,,,,,,,13,14,,,,,43,13,,,,,28,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,32
16,17,811,16633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,3,,,,,,,15,44,,,,,,,1886,17,,,,,,,,,4340,26,3,33,3814,5,,,,,,,115,23,,,1394,10,,,,,,,,,,,,,5,3,,,,,532,4,,,,,,,,,,,226,13,,,,,,,,,,,,,,,98,73,315,29,,,,,,,,,,,,,227,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044,4,,,85,22,,,,,,,,,,,,,,,,,,,,,426,19,,,,,771,8,,,106,7,315,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839,9
17,18,2425,15193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,12,27,,,,,,,46,27,,,,,85,14,1384,24,,,,,,,,,4266,28,5,20,983,19,,,1,15,137,9,191,12,,,811,21,,,,,,,,,,,,,,,,,,,91,17,,,,,,,,,,,146,18,,,,,,,,,,,,,,,598,19,524,19,,,,,,,,,,,,,19,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,25,,,,,,,,,,,,,,,,,,,,,,,,,753,7,,,,,652,10,,,192,3,3557,5,,,,,,,,,,,,,,,,,72,8,,,,,,,,,,,,,117,21,,,,,4,8,,,,,,,,,,,,,,,,,145,4,,,,,,,,,22,14,,,,,,,,,,,,,,,,,,,,,,,182,27
18,19,2136,14388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,7,,,,,,,,,,,,,,,,,,,,,,,271,6,,,,,,,3816,9,,,,,,,,,4192,29,7,11,271,42,,,,,1199,4,,,,,366,43,,,,,,,,,,,,,,,,,,,,,,,,,154,7,,,,,250,11,,,,,,,,,,,,,,,507,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3,,,,,,,,,,,,,,,,,,,,,1196,3,,,,,,,,,,,,,,,,,,,,,,,,,1134,5,,,,,,,,,,,97,64,,,,,,,,,,,,,21,8,,,202,2,,,,,5,3,,,10,2,,,399,8,,,,,,,,,,,,,,,,,64,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,69
19,20,50381,14199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,25,,,,,,,,,,,11742,8,,,559,29,,,,,56,13,150,19,,,392,42,,,,,,,,,,,,,,,,,,,155,12,,,,,,,,,,,,,,,,,,,,,,,,,,,669,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,127685,11959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11898,7,,,,,,,,,,,,,,,61,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,3886,11661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,4,,,,,,,,,,,,,,,16,22,,,,,,,223,8,,,,,139,9,4596,5,,,,,,,,,30,795,10,8,429,32,9,14,,,124,11,186,14,,,463,37,,,,,2,4,,,,,,,,,,,,,32,33,,,,,,,,,,,1114,2,,,,,,,,,,,,,,,1137,8,143,46,,,,,,,,,,,,,21,28,,,,,,,,,14,2,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,40,7,11,328,9,,,,,,,,,,,,,,,,,,,,,369,21,,,,,1080,4,,,199,2,254,39,,,,,,,,,,,,,,,,,109,5,13,14,,,,,34,8,,,,,102,23,,,,,,,,,,,,,,,,,50,12,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,50
22,23,27443,11230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,36,,,,,,,58,25,,,3,9,43,24,671,45,,,,,,,,,684,120,7,12,654,24,17,11,,,,,101,26,,,404,40,,,,,,,,,,,,,,,,,,,,,,,,,50,12,,,,,,,,,,,,,,,,,,,,,344,29,1611,8,,,,,,,,,,,,,1631,1,,,,,,,,,,,,,,,,,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,32,,,,,,,,,,,,,,,,,,,,,,,,,292,25,,,,,373,14,,,,,608,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,5,,,,,,,,,,,33,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3282,2
23,24,822,10736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,13,,,,,,,,,,,,,,,27,14,,,,,,,122,15,,,5,6,28,33,1802,19,,,,,16,12,,,3760,32,6,13,711,23,,,,,,,240,10,,,467,36,,,,,,,,,,,,,,,,,,,46,25,,,,,,,,,,,115,21,,,,,,,,,,,,,,,545,21,374,23,,,,,,,,,,,,,50,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,17,10,6,169,14,,,,,,,,,,,,,,,,,,,,,385,20,,,,,135,29,,,,,708,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,14,,,,,,,,,,,,,,,,,,,,,,,3,45,,,,,,,,,14,15,,,,,,,,,,,,,,,,,,,,,,,404,17
24,25,39856,10050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,9,,,,,,,,,,,,,,,38,8,,,,,,,93,20,,,,,32,30,1184,29,,,,,,,,,2044,57,,,2024,11,,,,,,,,,,,1058,15,,,,,,,,,,,,,,,,,,,193,9,,,,,,,,,,,553,3,,,,,,,,,,,,,,,1026,9,,,,,,,,,,,,,,,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,42,,,,,,,,,,,,,,,,,,,,,432,18,,,,,,,,,,,1046,14,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,35
25,26,6819,10047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,15,6666,3,,,,,,,,,1502,70,5,21,94,66,,,,,,,26,51,,,216,57,,,,,,,,,,,,,,,,,,,34,32,,,,,,,,,,,,,,,,,,,,,,,3,5,,,138,59,134,49,,,,,,,,,,,,,14,43,,,,,,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,86,46,,,57,28,,,,,,,,,,,,,,,,,,,,,463,16,,,,,75,34,,,,,195,43,,,,,,,,,,,,,,,,,29,13,,,,,,,,,,,,,93,27,,,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,58
