bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2181,19072,11,,,,,,,,,,,,,,,,,,,,,7,2,,,,,202,3,,,,,,,,,,,,,,,22,14,,,,,,,104,12,,,,,126,6,1585,14,,,,,132,6,,,6122,18,18,16,1121,16,66,3,16,2,,,127,9,,,1110,12,,,,,,,,,,,,,,,,,,,202,7,,,,,53,10,,,,,161,9,,,,,273,6,,,,,,,12,4,92,63,974,15,,,,,,,23,3,,,,,24,29,,,,,,,,,,,,,,,45,7,32,4,,,,,,,,,,,,,,,,,,,,,,,,,,,472,12,15,3,115,6,,,,,,,,,,,,,895,3,,,,,304,11,,,109,3,1779,10,,,,,,,6,5,,,,,24,5,,,127,2,18,10,,,,,,,11,2,,,663,2,,,,,,,,,,,147,4,,,,,662,6,,,,,118,6,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931,6
50381,17732,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16830,3,,,,,,,,,11,17,135,8,,,,,,,,,,,,,,,,,,,,,,,101,14,,,,,,,,,,,,,,,,,,,,,,,,,,,622,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,17206,13,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,,,,,,,,,,,9,33,,,,,,,,,,,,,,,3932,4,,,,,,,,,7729,12,,,,,,,,,,,,,,,1534,8,,,,,,,,,,,,,,,,,,,,,,,,,50,11,,,,,83,18,,,,,,,,,,,,,,,443,21,203,35,,,,,,,,,,,,,14,44,,,,,,,,,,,,,,,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,4,,,,,,,,,,,,,,,,,800,6,,,,,420,8,,,19,10,773,17,,,,,,,7,4,,,,,,,,,,,57,4,,,,,329,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,50
181,17039,14,20,4,,,,,,,,,293,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,13,,,,,,,,,,,,,126,5,1406,16,,,,,,,,,10254,10,,,1364,10,,,14,5,,,43,29,,,786,20,,,,,,,,,,,,,,,,,,,117,11,,,,,257,3,,,,,130,13,,,,,,,,,,,,,,,133,49,170,39,,,,,,,,,,,,,,,,,,,,,4,7,,,,,,,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,15,,,41,17,,,,,,,,,,,,,208,25,,,,,100,26,,,,,732,18,,,,,,,,,,,,,7,6,,,,,,,,,3,2,,,,,,,215,7,,,,,,,,,,,12,10,,,,,61,19,,,,,25,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,26
320,15728,15,,,,,,,,,,,146,8,,,,,,,,,,,,,,,89,8,,,,,,,,,14,3,,,,,45,5,,,,,,,96,13,,,8,5,30,20,993,21,,,,,153,5,,,6719,16,40,2,1225,12,18,10,,,,,87,17,,,1439,9,,,,,,,13,3,,,19,2,,,8,3,,,76,18,72,3,,,,,,,,,185,8,,,,,387,4,,,,,,,24,2,173,42,334,27,,,,,16,4,,,,,16,3,41,19,,,,,,,24,3,,,,,,,25,9,,,,,,,,,7,5,,,,,49,4,,,,,,,,,,,,,627,6,86,1,42,16,,,,,,,,,,,,,397,12,,,,,200,19,,,61,5,947,14,,,,,,,,,6,3,,,,,,,77,5,55,5,,,,,,,,,,,70,22,,,,,21,3,8,4,,,19,9,,,,,158,12,,,19,1,45,14,,,,,,,,,65,7,,,,,,,,,,,,,,,,,,,,,254,17
13,13680,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,3,,,,,,,124,10,,,6,6,43,17,983,22,,,,,,,,,6772,15,7,26,1330,11,,,9,8,,,,,6,2,581,26,,,,,,,,,,,,,,,,,,,352,5,,,,,,,,,,,90,16,,,,,,,,,,,,,,,284,31,1246,11,,,,,,,,,,,,,133,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,126,6,11,28,24,,,,,,,,,,,,,212,24,,,,,228,17,,,20,9,651,20,,,,,,,,,,,,,,,,,17,15,23,8,,,,,57,5,,,,,101,18,,,,,,,,,,,,,,,,,44,23,,,,,,,,,,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,242,18
1294,13283,17,,,,,,,,,,,74,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,10,,,,,,,,,,,,,65,13,649,35,,,,,,,,,7610,13,11,18,679,20,,,,,,,124,11,,,1665,7,,,,,,,,,,,,,,,,,,,138,9,,,,,,,,,,,77,19,,,,,51,11,,,,,5,4,,,662,8,,,,,,,,,,,,,,,65,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,9,,,,,,,,,,,,,390,13,,,26,28,,,7,4,,,,,,,,,43,50,,,,,,,,,,,496,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,15,,,,,,,,,,,,,,,,,29,27,,,,,13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,20
2425,13003,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,17,19,,,,,,,,,,,,,52,14,868,25,,,,,,,,,4916,21,9,21,1208,13,,,7,9,103,8,141,6,,,1113,11,,,,,,,,,,,,,,,,,,,115,12,,,,,,,,,,,28,29,,,,,,,,,,,,,,,550,15,702,17,,,,,,,,,,,,,12,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,24,,,,,,,,,,,,,,,,,282,17,,,,,418,9,,,59,6,1803,9,,,,,,,,,,,,,,,,,40,9,,,,,,,,,,,,,115,16,,,,,14,6,,,,,,,,,,,,,,,,,84,9,,,,,,,,,27,11,,,,,,,,,,,,,,,,,,,,,136,25
25821,12348,19,,,,,,,,,,,56,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3299,7,,,,,,,,,3,964,9,22,,,,,,,,,,,,,3911,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3763,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294,1,,,,,,,,,,,,,,,,,,,,,,,13,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27443,11200,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,36,,,,,,,51,17,,,9,4,34,19,700,33,,,,,,,,,891,96,5,40,647,22,21,8,,,,,122,12,,,438,33,,,,,,,,,,,,,,,,,,,,,,,,,59,9,,,,,,,,,,,,,,,,,,,,,358,26,1396,10,,,,,,,,,,,,,1883,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,23,,,,,,,,,,,,,,,,,229,23,,,,,196,20,,,,,616,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3324,1
2719,9380,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,55,,,,,,,,,,,,,22,25,620,37,,,,,,,,,6869,14,10,20,281,34,,,,,,,28,37,,,809,18,,,,,,,,,,,,,,,,,,,99,15,,,,,,,,,,,12,41,,,,,,,,,,,,,,,213,35,,,,,,,,,,,,,,,16,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,45,,,,,,,,,,,,,,,,,45,47,,,,,,,,,,,124,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,43,,,,,,,,,,,,,,,,,,,,,,,8,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,30
822,9263,22,,,,,,,,,,,,,,,,,,,,,,,,,,,43,11,,,,,,,,,,,,,,,15,21,,,,,,,,,,,3,7,18,28,1071,18,,,,,,,,,3955,27,6,32,437,26,,,,,,,124,10,,,364,37,,,,,,,,,,,,,,,,,,,41,26,,,,,,,,,,,88,17,,,,,,,,,,,,,,,433,23,656,19,,,,,,,,,,,,,58,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,16,6,13,62,8,,,,,,,,,,,,,423,10,,,,,129,23,,,,,477,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,11,,,,,,,,,,,,,,,,,,,,,,,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,13
5432,8967,23,,,,,,,,,,,201,6,,,20,2,,,,,,,,,,,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,62,,,,,,,,,6001,19,,,985,17,,,,,156,6,15,48,,,154,67,,,,,,,,,,,,,,,6,4,,,111,13,43,4,,,,,,,,,,,,,,,327,5,,,,,,,,,154,44,109,45,,,,,,,,,,,,,17,38,,,,,,,,,,,,,,,,,28,7,,,,,,,8,4,,,7,3,,,,,,,,,,,,,,,95,40,8,9,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,13,3,,,83,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,33
5072,8751,24,,,,,,,,,,,25,14,,,,,,,,,,,,,,,8,20,,,,,37,3,,,,,,,,,9,34,,,,,,,,,,,,,118,7,395,49,,,,,,,,,6667,17,8,24,73,71,,,,,,,,,,,355,38,,,,,,,,,,,,,,,14,2,,,,,120,2,,,,,,,,,,,,,,,201,7,,,,,,,,,95,62,226,33,,,,,,,,,,,,,5,58,,,,,,,,,,,,,,,,,,,,,19,1,,,16,2,,,24,2,,,,,,,,,,,,,,,71,50,7,10,55,12,,,,,,,,,,,,,,,,,,,,,,,,,94,58,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,22,48,,,,,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,53
2136,8605,25,,,,,,,,,,,,,,,,,,,,,,,,,,,77,9,,,,,,,,,,,,,,,,,,,,,,,162,8,,,,,,,3308,6,,,,,,,,,2166,47,32,5,151,50,,,,,228,3,,,,,292,46,,,,,,,,,,,,,,,,,,,,,,,,,119,6,,,,,146,10,,,,,,,,,,,,,,,219,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,,,,,,,561,10,,,,,,,,,,,,,,,,,600,7,,,,,,,,,,,88,60,,,,,,,,,,,,,,,,,78,4,,,,,,,,,8,3,,,270,5,,,,,,,,,,,,,,,,,53,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,61
811,8238,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,8,,,,,,,16,29,,,,,,,1032,19,,,,,,,,,2746,40,,,1122,15,,,,,,,44,27,,,628,24,,,,,,,,,,,,,,,,,,,392,4,,,,,,,,,,,55,23,,,,,,,,,,,,,,,59,84,190,36,,,,,,,,,,,,,437,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,5,,,33,21,,,,,,,,,,,,,172,27,,,,,295,12,,,52,7,284,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6819,7690,27,,,,,,,,,,,,,,,,,,,,,,,,,,,30,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,15,4532,2,,,,,,,,,1362,70,11,19,40,93,,,,,,,16,45,,,513,29,,,,,,,,,,,,,,,,,,,28,33,,,,,,,,,,,,,,,,,,,,,,,6,3,,,90,65,50,66,,,,,,,,,,,,,12,49,,,,,,,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,87,44,,,20,30,,,,,,,,,,,,,340,14,,,,,16,58,,,,,120,54,,,,,,,,,,,,,,,,,16,17,,,,,,,,,,,,,97,19,,,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,21
2392,7583,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,39,,,,,,,91,15,,,,,,,1017,20,,,,,,,,,3547,30,,,301,33,,,12,7,149,7,,,,,980,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,25,,,,,,,,,,,,,,,309,29,262,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,25,,,33,22,,,,,,,,,,,,,234,22,,,,,283,13,,,,,,,,,,,,,,,,,,,,,,,4,38,,,,,,,14,8,,,,,88,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,59
