,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2243,19699,,,,,,,,,,,,,,,,,,,,,,,,,,,21,14,,,,,,,,,,,,,,,7,36,,,,,,,,,,,,,,,5019,1,,,,,,,,,6746,14,,,,,,,,,,,,,,,2640,4,,,,,,,,,,,,,,,,,,,,,,,72,11,,,,,243,7,,,,,,,,,,,,,,,471,21,142,39,,,,,,,,,,,,,12,49,,,,,,,,,,,,,44,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368,2,,,,,,,,,,,,,,,,,124,28,,,,,456,8,,,13,11,1485,10,,,,,,,9,2,,,,,,,,,,,124,3,,,,,657,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,48
11,12,181,18028,10,4,,,,,,,,,395,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,,162,6,1427,16,,,,,,,,,10081,8,,,1801,7,,,7,5,,,71,24,,,1057,14,,,,,,,,,,,,,,,,,122,9,,,,,280,4,,,,,219,9,,,,,,,,,,,,,,,178,41,149,37,,,,,,,,,,,,,,,,,,,11,3,,,,,,,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,17,,,67,17,,,,,,,,,,,,,218,24,,,,,174,20,,,,,608,22,,,,,,,,,,,,,28,6,,,,,,,,,2,2,,,,,,,288,10,,,,,,,,,,,14,13,,,,,82,15,,,,,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,23
12,13,50381,16321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15288,3,,,,,,,,,11,15,136,14,,,,,,,,,,,,,,,,,,,,,97,14,,,,,,,,,,,,,,,,,,,,,,,,,,,692,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,320,16062,,,,,,,,,,,156,7,,,,,,,,,,,,,,,58,9,,,,,,,,,23,3,,,,,31,5,,,,,,,89,15,,,15,2,43,19,987,24,,,,,89,6,,,6553,17,14,3,1225,13,24,7,,,,,149,11,,,1392,9,,,,,11,2,,,8,2,,,9,3,,,62,20,40,4,,,,,,,,,303,5,,,,,242,5,,,,,,,11,3,148,45,1083,10,,,,,14,3,,,,,24,2,65,13,,,,,13,2,,,,,,,23,11,,,,,,,,,9,4,,,,,41,4,,,,,,,,,,,,,695,10,21,3,48,22,,,1,7,,,,,,,,,432,13,,,,,186,19,,,46,7,967,16,,,,,,,,,10,2,,,,,,,38,10,68,5,,,,,,,,,,,84,26,,,,,8,6,10,3,,,18,10,,,,,115,11,,,10,1,38,11,,,,,,,,,51,8,,,,,,,,,,,,,,,,,,,,,262,19
14,15,25821,15547,,,,,,,,,,,66,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,5,,,,,,,,,4,969,4,34,1404,10,,,,,,,,,,,4813,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3259,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677,1,,,,,,,,,,,,,,,,,,,,,,,20,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,1294,15417,,,,,,,,,,,53,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,11,,,,,,,,,,,,,64,15,684,34,,,,,,,,,9384,9,6,14,772,21,,,,,,,152,10,,,1479,8,,,,,,,,,,,,,,,,,120,10,,,,,,,,,,,116,15,,,,,83,10,,,,,,,,,877,7,,,,,,,,,,,,,,,37,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,,,,,,,,,,,,,460,12,,,52,20,,,4,5,,,,,,,,,49,43,,,,,,,,,,,559,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,16,,,,,,,,,,,,,,,,,46,20,,,,,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,22
16,17,13,13619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,6,,,,,,,106,14,,,3,5,62,16,1166,22,,,,,,,,,6712,15,5,17,1292,12,,,3,11,,,,,1,2,644,26,,,,,,,,,,,,,,,,,273,6,,,,,,,,,,,135,14,,,,,,,,,,,,,,,290,29,842,14,,,,,,,,,,,,,121,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,126,7,7,36,25,,,,,,,,,,,,,289,18,,,,,344,12,,,14,10,646,20,,,,,,,,,,,,,,,,,6,23,28,8,,,,,43,6,,,,,216,13,,,,,,,,,,,,,,,,,13,30,,,,,,,,,,,,,,,7,13,,,,,,,,,,,,,,,,,,,,,282,18
17,18,27443,11547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,48,,,,,,,50,19,,,5,4,35,23,594,38,,,,,,,,,654,107,3,41,512,24,25,6,,,,,290,5,,,398,38,,,,,,,,,,,,,,,,,,,,,,,50,12,,,,,,,,,,,,,,,,,,,,,370,25,1735,8,,,,,,,,,,,,,2122,1,,,,,,,,,,,,,,,49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,203,24,,,,,,,,,,,,,,,,,297,17,,,,,255,15,,,,,1138,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2732,2
18,19,2425,10956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,5,47,,,,,,,,,,,,,51,18,937,25,,,,,,,,,3584,30,12,5,1079,16,,,4,9,108,8,141,13,,,949,16,,,,,,,,,,,,,,,,,86,15,,,,,,,,,,,69,23,,,,,,,,,,,,,,,514,16,642,16,,,,,,,,,,,,,14,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,23,,,,,,,,,,,,,,,,,304,16,,,,,377,11,,,87,5,1396,11,,,,,,,,,,,,,,,,,58,9,,,,,,,,,,,,,114,18,,,,,12,5,,,,,,,,,,,,,,,,,60,9,,,,,,,,,17,11,,,,,,,,,,,,,,,,,,,,,122,28
19,20,822,10862,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,,,,,,,,,,,,,,,10,25,,,,,,,,,,,3,6,38,22,1840,15,,,,,,,,,4244,25,5,20,485,25,,,,,,,192,7,,,438,34,,,,,,,,,,,,,,,,,55,23,,,,,,,,,,,104,18,,,,,,,,,,,,,,,491,18,534,20,,,,,,,,,,,,,40,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,14,3,17,108,12,,,,,,,,,,,,,535,8,,,,,101,27,,,,,554,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,12,,,,,,,,,,,,,,,,,,,,,,,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,12
20,21,811,10360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,9,,,,,,,25,27,,,,,,,1180,21,,,,,,,,,3474,31,,,1718,9,,,,,,,69,25,,,1043,15,,,,,,,,,,,,,,,,,220,7,,,,,,,,,,,100,19,,,,,,,,,,,,,,,83,65,146,38,,,,,,,,,,,,,298,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931,5,,,42,23,,,,,,,,,,,,,250,22,,,,,398,10,,,45,8,311,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,5072,10161,,,,,,,,,,,8,17,,,,,,,,,,,,,,,8,20,,,,,50,2,,,,,,,,,9,28,,,,,,,,,,,,,96,11,432,48,,,,,,,,,7708,12,5,22,61,72,,,,,,,,,,,330,46,,,,,,,,,,,,,13,2,,,,,297,2,,,,,,,,,,,,,,,175,8,,,,,,,,,69,74,372,28,,,,,,,,,,,,,19,39,,,,,,,,,,,,,,,,,,,9,1,,,14,2,,,116,2,,,,,,,,,,,,,,,29,68,12,4,134,9,,,,,,,,,,,,,,,,,,,,,,,,,102,56,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,13,64,,,,,42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,78
22,23,2136,9750,,,,,,,,,,,,,,,,,,,,,,,,,,,95,8,,,,,,,,,,,,,,,,,,,,,,,209,8,,,,,,,2772,7,,,,,,,,,3601,29,9,8,177,47,,,,,288,3,,,,,200,57,,,,,,,,,,,,,,,,,,,,,,,110,8,,,,,165,12,,,,,,,,,,,,,,,275,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,566,11,,,,,,,,,,,,,,,,,643,6,,,,,,,,,,,87,61,,,,,,,,,,,,,,,,,82,3,,,,,,,,,3,3,,,395,7,,,,,,,,,,,,,,,,,36,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,76
23,24,5432,8749,,,,,,,,,,,146,8,,,20,2,,,,,,,,,,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,67,,,,,,,,,6409,18,,,614,22,,,,,162,6,12,70,,,125,72,,,,,,,,,,,,,5,4,,,61,21,175,3,,,,,,,,,,,,,,,188,6,,,,,,,,,93,58,56,57,,,,,,,,,,,,,11,52,,,,,,,,,,,,,,,23,8,,,,,,,7,5,,,23,3,,,,,,,,,,,,,,,67,53,9,6,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3,16,2,,,142,5,,,,,,,,,,,3,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,40
24,25,2719,8532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30,546,40,,,,,,,,,6601,16,3,36,238,38,,,,,,,51,29,,,524,27,,,,,,,,,,,,,,,,,56,22,,,,,,,,,,,13,43,,,,,,,,,,,,,,,137,49,,,,,,,,,,,,,,,13,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,57,,,,,,,,,,,,,,,,,27,64,,,,,,,,,,,135,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,40,,,,,,,,,,,,,,,,,,,,,,,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,41
25,26,1258,8047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,25,,,,,,,1185,20,,,,,,,,,6799,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,6819,7343,,,,,,,,,,,,,,,,,,,,,,,,,,,46,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,13,4541,4,,,,,,,,,1315,68,3,37,47,81,,,,,,,28,39,,,168,66,,,,,,,,,,,,,,,,,27,29,,,,,,,,,,,,,,,,,,,,,,,2,3,,,96,57,69,51,,,,,,,,,,,,,21,35,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,79,46,,,29,28,,,,,,,,,,,,,399,15,,,,,51,37,,,,,158,44,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,61,34,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,35
27,28,2392,7019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,,,,,,,111,12,,,,,,,772,29,,,,,,,,,3608,28,,,270,36,,,10,4,139,7,,,,,645,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,33,,,,,,,,,,,,,,,286,30,188,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,21,,,62,18,,,,,,,,,,,,,276,19,,,,,104,26,,,,,,,,,,,,,,,,,,,,,,,3,27,,,,,,,4,12,,,,,236,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,63
