bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
25821,16989,11,,,,,,,,,,,366,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2953,9,,,,,,,,,1078,81,7,18,1968,7,,,,,,,,,,,4258,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3665,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,6,,,,,,,,,,,,,,,,,,,,,,,1206,10
320,16798,12,,,,,,,,,,,118,9,,,,,9,5,,,,,,,,,5,1,,,56,9,,,,,,,,,6,5,,,,,44,12,,,,,,,80,21,,,14,2,29,28,2085,13,,,,,135,6,,,6932,14,29,2,1177,17,21,11,,,49,15,170,13,,,1110,12,,,,,,,6,3,,,5,2,,,7,3,,,,,106,17,74,5,,,,,,,,,157,11,,,,,474,5,,,,,,,10,6,206,36,311,26,,,,,3,5,,,,,15,2,51,15,,,,,7,3,,,,,,,,,16,11,21,10,,,,,,,,,8,6,,,,,72,4,,,,,,,,,,,,,791,8,13,4,39,25,,,,,,,8,2,,,,,,,,,,,,,468,12,,,,,274,18,,,94,7,814,16,,,,,,,,,,,,,2,3,,,,,,,35,11,58,5,,,,,,,,,,,80,24,,,,,24,4,,,7,4,,,24,12,,,,,28,19,,,3,1,28,17,,,,,,,,,34,12,,,,,,,,,,,2,8,,,,,,,,,,,354,20
13,16698,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,14,,,,,,,105,15,,,5,8,54,22,1510,17,,,,,27,11,,,7353,13,12,8,1678,10,,,7,5,,,,,5,2,521,26,,,,,,,,,,,,,,,,,,,,,895,2,,,,,,,,,,,134,12,,,,,,,,,,,,,,,291,27,1469,10,,,,,,,,,,,,,101,9,,,,,,,,,,,,,,,,,29,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,13,15,2,59,17,,,,,,,,,,,,,,,,,,,,,212,24,,,,,332,13,,,44,9,674,18,,,,,,,,,,,,,,,,,,,,,22,13,29,9,,,,,68,6,,,,,99,20,,,,,,,,,,,,,,,,,,,29,17,,,,,,,,,,,,,,,13,16,,,,,,,,,,,,,,,,,,,,,,,353,21
29351,16464,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,,,,,,,,,,,,,,,,,,,,,,,,,96,19,,,,,,,2923,10,,,,,,,,,3247,32,,,167,50,109,2,,,,,88,26,,,227,55,,,,,,,,,,,,,,,,,,,,,239,8,,,,,,,,,,,22,34,22,5,,,,,,,,,,,,,,,129,49,,,,,,,,,,,,,7,58,,,,,,,,,,,,,,,253,3,57,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,39,,,,,,,,,,,,,,,,,,,,,,,,,420,14,,,,,,,,,,,7404,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,34,,,,,,,,,,,,,,,,,,,,,,,,,528,1,,,,,,,,,297,5,,,,,,,,,,,,,,,,,,,,,,,65,50
1294,15909,15,,,,,,,,,,,25,15,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,11,,,,,,,,,,,,,64,20,1274,18,,,,,,,,,8163,11,10,9,809,20,,,,,30,16,150,17,,,2424,4,,,,,,,,,,,,,7,4,,,,,,,128,14,,,,,,,,,,,125,15,,,,,21,14,,,,,3,5,,,1146,7,,,,,,,,,,,,,,,29,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,542,12,,,40,23,,,,,,,4,4,,,,,,,,,,,,,28,60,,,,,,,,,,,445,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,12,,,,,,,,,,,,,25,11,,,,,14,28,,,,,10,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,34
2425,15559,16,,,,,,,,,,,64,11,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,52,8,,,,,,,110,14,,,,,128,10,1047,22,,,,,,,,,4575,20,9,10,1375,15,,,12,3,84,11,214,8,,,869,15,,,,,,,,,,,,,,,,,,,,,100,18,,,,,,,,,,,118,18,,,,,,,,,,,,,,,722,9,736,17,,,,,,,,,,,,,27,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,21,,,,,,,,,,,,,,,,,,,,,,,,,528,10,,,,,719,8,,,145,2,3097,5,,,,,,,,,,,,,,,,,,,,,73,5,,,,,,,,,,,,,127,16,,,,,10,8,,,,,,,,,,,,,,,,,,,111,8,,,,,,,,,9,22,,,,,,,,,,,,,,,,,,,,,,,258,24
50381,14616,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,25,780,30,,,,,,,,,11488,7,,,668,24,,,,,68,13,194,9,,,260,52,,,,,,,,,,,,,,,,,,,,,142,11,,,,,,,,,,,,,,,,,,,,,,,,,,,586,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072,13507,18,,,,,,,,,,,9,21,,,,,,,,,,,,,,,,,,,17,17,,,,,158,2,,,,,,,,,12,34,,,,,,,,,,,,,176,8,440,52,,,,,,,,,9699,10,5,29,82,72,,,,,,,,,,,339,41,,,,,,,,,,,,,,,28,2,,,,,,,770,2,,,,,,,,,,,,,,,177,8,,,,,,,,,73,78,305,28,,,,,,,,,,,,,33,21,,,,,,,,,,,,,,,,,,,,,,,10,1,,,39,2,,,522,2,,,,,,,,,,,,,,,58,55,3,15,158,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,45,,,,,,,,,,,,,,,,,,,13,2,,,,,,,,,,,,,,,29,47,,,,,134,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,65
811,13435,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,6,,,,,,,17,38,,,,,,,1266,19,,,,,,,,,4164,21,6,19,1854,8,,,,,,,81,28,,,1022,13,,,,,,,,,,,,,4,6,,,,,,,503,4,,,,,,,,,,,128,14,,,,,,,,,,,,,,,80,74,306,27,,,,,,,,,,,,,220,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,6,,,30,28,,,,,,,,,,,,,,,,,,,,,309,18,,,,,909,4,,,105,5,226,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237,8
181,12867,20,14,3,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,19,,,,,,,,,,,,,141,9,1531,15,,,,,,,,,6328,15,,,1562,12,,,,,,,61,32,,,685,23,,,,,,,,,,,,,,,,,,,,,143,10,,,,,167,4,,,,,56,22,,,,,,,,,,,,,,,204,37,151,45,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,,28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,17,,,44,21,,,,,,,,,,,,,,,,,,,,,211,25,,,,,117,26,,,,,469,21,,,,,,,,,,,,,,,,,89,3,,,,,,,,,2,4,,,,,,,202,10,,,,,,,,,,,,,8,17,,,,,26,21,,,,,18,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,32
27443,11178,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,26,,,,,,,55,24,,,13,3,77,18,695,35,,,,,,,,,712,110,15,6,529,29,31,8,,,,,146,18,,,513,27,,,,,,,,,,,,,,,,,,,,,34,34,,,,,43,13,,,,,,,,,,,,,,,,,,,,,365,22,2269,7,,,,,,,,,,,,,458,2,,,,,,,,,,,,,,,,,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,23,,,,,,,,,,,,,,,,,,,,,,,,,232,22,,,,,169,23,,,,,751,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,9,,,,,,,,,,,43,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3711,1
3886,10731,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,5,,,,,,,,,,,,,,,16,23,,,,,,,132,11,,,,,122,11,3565,5,,,,,,,,,1837,54,5,27,590,25,9,17,,,72,12,131,22,,,444,29,,,,,4,3,,,,,,,,,,,,,,,27,35,,,,,,,,,,,454,2,,,,,,,,,,,,,,,642,11,100,52,,,,,,,,,,,,,21,31,,,,,,,7,2,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,35,10,9,136,8,,,,,,,,,,,,,,,,,,,,,199,26,,,,,984,3,,,141,4,255,31,,,,,,,,,,,,,,,,,,,,,43,9,12,13,,,,,284,3,,,,,53,30,,,,,,,,,,,,,,,,,,,68,8,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,49
2136,10550,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,7,,,,,,,,,,,,,,,,,,,,,,,267,6,,,,,,,2509,12,,,,,,,,,3699,26,6,21,205,43,,,,,654,4,,,,,313,44,,,,,,,,,,,,,,,,,,,,,,,,,,,155,6,,,,,163,9,,,,,,,,,,,,,,,345,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,,,,,,,,,,,,,,,,,,,,,872,7,,,,,,,,,,,,,,,,,,,,,,,,,635,7,,,,,,,,,,,81,67,,,,,,,,,,,,,,,,,8,8,,,118,4,,,,,4,3,,,7,2,,,264,7,,,,,,,,,,,,,,,,,,,54,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,64
822,8127,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,13,,,,,,,,,,,,,,,14,27,,,,,,,102,17,,,6,6,57,21,853,27,,,,,20,12,,,3300,30,8,13,584,27,,,,,,,166,14,,,391,34,,,,,,,,,,,,,,,,,,,,,37,32,,,,,,,,,,,123,16,,,,,,,,,,,,,,,351,23,316,25,,,,,,,,,,,,,73,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,20,6,12,59,19,,,,,,,,,,,,,,,,,,,,,299,19,,,,,98,30,,,,,522,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,17,,,,,,,,,,,,,,,,,,,,,,,,,1,49,,,,,,,,,10,19,,,,,,,,,,,,,,,,,,,,,,,352,22
2719,7767,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,64,,,,,,,8,56,,,,,30,27,583,43,,,,,,,,,5104,19,5,26,350,35,,,,,,,40,41,,,645,24,,,,,,,,,,,,,,,,,,,,,87,21,,,,,,,,,,,24,33,,,,,,,,,,,,,,,276,29,,,,,,,,,,,,,,,27,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,38,,,,,,,,,,,,,,,,,,,,,,,,,40,50,,,,,,,,,,,189,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,40,,,,,,,,,,,,,,,,,,,,,,,,,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,28
