bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
463,20561,11,,,8,2,,,,,,,,,,,,,,,2,5,,,,,,,,,62,11,,,,,,,,,9,4,,,,,19,12,,,,,,,201,8,,,,,56,15,1792,12,,,,,,,,,10858,8,4,19,,,9,16,3,10,,,131,16,,,,,,,,,,,,,,,,,,,,,,,78,17,,,,,7,15,,,,,114,13,,,,,40,13,,,,,,,,,739,8,2098,9,,,,,,,,,,,,,56,13,,,,,,,10,4,,,,,,,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,16,3,14,59,16,,,,,,,,,,,,,,,,,374,13,,,,,888,3,,,,,1540,9,,,,,,,,,,,,,,,,,,,12,12,,,,,14,9,,,,,149,15,,,,,,,,,,,31,9,,,,,25,17,,,,,55,11,,,,,,,,,19,14,,,,,,,,,,,,,,,,,,,,,,,780,10
2243,20519,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,13,,,,,,,,,,,,,,,4,51,,,,,,,,,,,,,,,6041,1,,,,,,,,,6798,19,,,,,,,,,,,,,,,2132,5,,,,,,,,,,,,,,,,,,,,,,,,,104,9,,,,,170,10,,,,,,,,,,,,,,,517,14,167,43,,,,,,,,,,,,,9,61,,,,,,,,,,,,,,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094,3,,,,,,,,,,,,,,,,,,,,,1031,4,,,,,480,9,,,21,10,1088,14,,,,,,,5,4,,,,,,,,,,,125,3,,,,,589,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,56
50381,18917,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,16,,,,,,,,,,,17323,2,,,,,,,,,19,16,218,9,,,162,61,,,,,,,,,,,,,,,,,,,94,16,,,,,,,,,,,,,,,,,,,,,,,,,,,581,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,25,,,,,,,,,,,,,,,,,,,,,,,,,,,275,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,16765,14,,,,,,,,,,,293,6,,,,,,,,,,,,,14,1,,,71,10,,,,,,,,,16,3,,,,,41,6,,,,,,,74,15,,,9,5,32,23,1233,16,,,,,125,6,,,7780,15,28,3,1276,12,58,5,,,59,13,154,12,,,801,18,,,,,,,8,2,,,9,2,,,10,3,,,72,19,67,4,,,,,,,,,187,8,,,,,290,5,,,,,,,14,3,149,42,360,23,,,,,14,2,,,,,17,2,36,20,,,,,,,10,3,,,,,,,34,10,,,,,,,,,13,4,,,,,52,4,,,,,,,,,,,,,657,8,14,2,53,19,,,,,1,6,,,,,,,,,,,465,11,,,,,236,18,,,65,6,1110,13,,,,,,,,,7,3,,,,,,,44,10,73,5,,,,,,,,,,,94,27,,,,,16,3,8,4,,,27,10,,,,,34,13,,,13,1,56,9,,,,,,,,,66,9,,,,,,,,,,,,,,,,,,,,,,,320,21
181,16301,15,8,4,,,,,,,,,373,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,,,,,,,,,,,,,104,10,1192,18,,,,,,,,,9170,10,,,1711,9,,,4,9,,,57,32,,,864,16,,,,,,,,,,,,,,,,,,,146,9,,,,,202,5,,,,,113,14,,,,,,,,,,,,,,,166,40,186,40,,,,,,,,,,,,,,,,,,,,,5,7,,,,,,,38,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,15,,,69,15,,,,,,,,,,,,,,,,,200,24,,,,,139,27,,,,,663,19,,,,,,,,,,,,,116,2,,,,,,,,,1,3,,,,,,,199,11,,,,,,,,,,,10,15,,,,,28,15,,,,,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,26
13,16054,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,1,,,,,,,103,13,,,4,8,65,13,796,25,,,,,3,13,,,8082,12,2,34,1602,11,,,4,8,,,,,7,2,447,30,,,,,,,,,,,,,,,,,,,547,3,,,,,,,,,,,109,16,,,,,,,,,,,,,,,258,29,1134,14,,,,,,,,,,,,,93,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,136,8,7,45,21,,,,,,,,,,,,,,,,,231,20,,,,,232,19,,,29,9,762,17,,,,,,,,,,,,,,,,,8,18,31,10,,,,,38,7,,,,,124,18,,,,,,,,,,,,,,,,,33,14,,,,,,,,,,,,,,,11,16,,,,,,,,,,,,,,,,,,,,,,,990,8
1294,14702,17,,,,,,,,,,,99,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,31,,,,,,,,,,,,,41,19,746,26,,,,,,,,,7090,18,4,21,797,19,,,,,,,141,14,,,2411,4,,,,,,,,,,,,,1,6,,,,,146,10,,,,,,,,,,,102,17,,,,,137,10,,,,,7,3,,,1201,6,,,,,,,,,,,,,,,39,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,,,,,,,,,,,,,478,12,,,30,28,,,,,3,3,,,,,,,,,,,65,41,,,,,,,,,,,659,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,12,,,,,,,,,,,,,,,,,17,24,,,,,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,22
2425,12810,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,13,23,,,,,,,63,17,,,,,86,12,1162,19,,,,,,,,,3778,29,2,36,957,18,,,5,6,126,9,168,10,,,1409,9,,,,,,,,,,,,,,,,,,,108,13,,,,,,,,,,,115,12,,,,,,,,,,,,,,,515,15,633,19,,,,,,,,,,,,,8,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,19,,,,,,,,,,,,,,,,,,,,,227,21,,,,,468,10,,,74,5,2284,7,,,,,,,,,,,,,,,,,54,8,,,,,,,,,,,,,112,20,,,,,6,7,,,,,,,,,,,,,,,,,56,10,,,,,,,,,21,13,,,,,,,,,,,,,,,,,,,,,,,135,29
27443,12618,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,33,,,,,,,49,20,,,11,4,25,29,610,34,,,,,,,,,593,114,13,7,651,23,49,7,,,,,103,23,,,428,33,,,,,,,,,,,,,,,,,,,,,,,,,37,12,,,,,,,,,,,,,,,,,,,,,446,19,2338,7,,,,,,,,,,,,,2326,1,,,,,,,,,,,,,,,,,39,7,,,,,,,,,,,,,,,,,,,,,,,,,,,210,21,,,,,,,,,,,,,,,,,,,,,248,19,,,,,283,14,,,,,632,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3486,1
811,12569,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,7,,,,,,,20,30,,,,,,,966,20,,,,,,,,,5171,22,,,2293,6,,,,,,,101,24,,,810,17,,,,,,,,,,,,,4,3,,,,,396,6,,,,,,,,,,,79,22,,,,,,,,,,,,,,,92,59,235,31,,,,,,,,,,,,,271,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,6,,,31,27,,,,,,,,,,,,,,,,,365,15,,,,,485,8,,,64,7,371,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072,11071,21,,,,,,,,,,,3,21,,,,,,,,,,,,,,,,,12,18,,,,,70,2,,,,,,,,,6,42,,,,,,,,,,,,,159,6,366,47,,,,,,,,,8033,13,5,17,64,74,,,,,,,,,,,290,43,,,,,,,,,,,,,,,26,2,,,,,802,2,,,,,,,,,,,,,,,221,7,,,,,,,,,72,72,274,29,,,,,,,,,,,,,20,35,,,,,,,,,,,,,,,,,,,,,1,1,,,20,3,,,184,2,,,,,,,,,,,,,,,30,65,3,15,148,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,77,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,21,53,,,,,121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,63
2719,10422,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,38,,,,,19,33,861,24,,,,,,,,,7946,14,2,37,392,29,,,,,,,29,41,,,530,28,,,,,,,,,,,,,,,,,,,38,29,,,,,,,,,,,12,38,,,,,,,,,,,,,,,183,34,,,,,,,,,,,,,,,20,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,48,,,,,,,,,,,,,,,,,,,,,27,59,,,,,,,,,,,153,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,43,,,,,,,,,,,,,,,,,,,,,,,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,33
2136,9365,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,7,,,,,,,,,,,,,,,,,,,,,,,257,6,,,,,,,1959,11,,,,,,,,,3281,35,7,14,221,42,,,,,633,4,,,,,182,55,,,,,,,,,,,,,,,,,,,,,,,,,92,10,,,,,271,4,,,,,,,,,,,,,,,342,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,684,7,,,,,,,,,,,,,,,,,,,,,643,7,,,,,,,,,,,93,63,,,,,,,,,,,,,7,8,,,90,3,,,,,,,,,7,3,,,433,8,,,,,,,,,,,,,,,,,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,96
2398,9309,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,71,,,,,,,,,8147,11,4,22,97,61,,,,,,,15,59,,,435,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,38,,,,,,,,,,,,,,,,,,,,,44,44,,,,,,,,,,,170,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,45,,,,,,,,,,,,,,,,,16,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,8625,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,26,,,,,,,931,22,,,,,,,,,7615,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,8382,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,,,,,,,,,,,,,,,15,18,,,,,,,,,,,4,9,14,37,866,23,,,,,10,11,,,3568,31,3,27,433,27,,,,,,,127,18,,,304,42,,,,,,,,,,,,,,,,,,,37,30,,,,,,,,,,,82,20,,,,,,,,,,,,,,,366,23,576,21,,,,,,,,,,,,,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,18,4,13,59,17,,,,,,,,,,,,,,,,,373,14,,,,,74,34,,,,,554,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,10,,,,,,,,,,,,,,,,,,,,,,,12,24,,,,,,,,,10,17,,,,,,,,,,,,,,,,,,,,,,,405,18
18011,8198,27,,,,,,,,,,,48,12,,,,,,,,,,,,,,,3,4,,,,,,,16,3,,,,,,,,,5,46,,,,,,,35,24,,,,,,,168,78,,,,,,,,,2369,43,9,10,572,24,15,15,,,,,8,83,,,130,69,,,,,,,,,,,,,,,,,,,33,32,43,6,,,,,,,,,21,29,,,,,18,15,,,,,,,,,46,88,3672,3,,,,,,,,,,,,,29,25,,,,,,,,,6,2,,,,,,,,,,,,,,,8,6,,,,,48,5,,,,,,,,,,,,,46,55,7,10,8,38,,,,,,,,,,,,,,,,,76,38,,,,,151,26,,,,,456,27,,,,,,,,,,,,,5,9,3,5,11,16,,,,,,,,,,,,,18,58,,,,,10,5,,,,,,,,,,,21,21,,,,,6,34,,,17,2,,,,,61,10,,,,,,,,,,,,,,,,,,,,,,,,
