,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,50381,22768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,22,64,198,,,,,,,,,19395,4,,,790,25,,,,,87,12,179,10,,,386,49,,,,,,,,,,,,,,,,,,,,,138,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,2162,22007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,7,51,,,,,,,124,15,,,,,26,30,1287,20,,,,,,,,,10367,10,,,822,23,,,,,,,81,24,,,1366,15,,,,,2,4,,,,,,,,,,,,,,,19,40,,,,,,,,,,,186,10,,,,,,,,,,,,,5,9,625,21,9,108,,,,,,,3,4,,,,,46,19,,,,,,,,,,,,,,,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,46,5,12,,,,,,,,,,,,,,,,,,,,,,,617,11,,,,,157,27,,,8,11,5169,3,,,,,,,,,,,,,2,12,,,,,7,16,,,,,23,10,,,,,64,29,,,,,,,,,,,,,,,,,,,32,22,,,,,95,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,13
12,13,25821,21324,,,,,,,,,,,658,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2833,10,,,,,,,,,1315,77,13,5,2296,8,,,,,,,,,,,5195,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4578,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,3,,,,,,,,,,,,,,,,,,,,,,,2285,6
13,14,13,19407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,4,,,,,,,161,13,,,4,8,69,20,1360,19,,,,,27,11,,,8169,11,3,33,2992,6,,,2,12,,,,,2,2,814,23,,,,,,,,,,,3,3,,,,,,,,,843,2,,,,,,,,,,,123,18,,,,,,,,,,,,,,,385,28,1424,12,,,,,,,,,,,,,97,12,,,,,,,,,,,,,,,,,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,13,5,11,39,21,,,,,,,,,,,,,,,,,,,,,280,22,,,,,437,14,,,43,10,705,18,,,,,,,,,,,,,,,,,29,12,52,9,,,,,49,8,,,,,138,13,,,,,,,,,,,,,,,,,,,35,20,,,,,,,,,,,,,,,21,15,,,,,,,,,,,,,,,,,,,,,,,372,20
14,15,320,17879,,,,,,,,,,,133,10,,,,,7,4,,,,,,,,,5,1,,,78,10,,,,,,,,,5,6,,,,,52,7,,,,,,,104,18,,,8,5,58,23,1532,17,,,,,112,6,,,7665,13,15,3,987,20,27,9,,,64,14,193,8,,,1527,13,,,,,,,6,3,,,5,2,,,5,4,,,,,90,18,220,3,,,,,,,,,312,6,,,,,215,5,,,,,,,13,2,290,35,310,30,,,,,11,3,,,,,7,3,53,18,,,,,6,4,,,,,,,,,31,9,31,8,,,,,,,,,5,6,,,,,43,4,,,,,,,,,,,,,1043,7,18,2,46,17,,,,,,,6,2,,,,,,,,,,,,,769,8,,,,,197,21,,,66,8,715,17,,,,,,,,,9,2,,,,,,,41,10,79,6,,,,,,,,,,,75,27,,,,,30,3,,,9,4,,,37,12,,,,,50,16,,,9,1,32,16,,,,,,,,,32,12,,,,,,,,,,,5,7,,,,,,,,,,,386,19
15,16,811,17071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,3,,,,,,,33,34,,,,,,,1568,16,,,,,,,,,4632,20,3,36,2861,7,,,,,,,80,26,,,1801,10,,,,,,,,,,,,,5,5,,,,,,,567,5,,,,,,,,,,,155,12,,,,,,,,,,,,,,,140,59,365,26,,,,,,,,,,,,,279,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,4,,,21,31,,,,,,,,,,,,,,,,,,,,,416,16,,,,,627,9,,,126,5,326,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579,8
16,17,1294,14793,,,,,,,,,,,87,11,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18,,,,,,,,,,,,,43,28,1182,22,,,,,,,,,6925,14,6,18,860,22,,,,,,,154,13,,,2552,8,,,,,,,,,,,,,4,7,,,,,,,131,12,,,,,,,,,,,136,16,,,,,30,14,,,,,3,3,,,1132,9,,,,,,,,,,,,,,,43,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,511,14,,,25,28,,,,,,,3,6,,,,,,,,,,,,,63,46,,,,,,,,,,,487,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,16,,,,,,,,,,,,,33,13,,,,,22,25,,,,,11,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,28
17,18,181,13932,11,3,,,,,,,,,188,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,17,,,,,,,,,,,,,135,8,1429,18,,,,,,,,,6412,16,,,1876,11,,,5,8,,,76,27,,,963,21,,,,,,,,,,,,,,,,,,,,,121,13,,,,,214,5,,,,,97,21,,,,,,,,,,,,,,,285,36,139,47,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,18,,,68,13,,,,,,,,,,,,,,,,,,,,,287,21,,,,,138,29,,,,,551,20,,,,,,,,,,,,,167,2,,,,,,,,,4,2,,,,,,,138,14,,,,,,,,,,,,,9,18,,,,,62,11,,,,,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,31
18,19,2425,12982,,,,,,,,,,,83,12,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,16,24,,,,,,,96,19,,,,,89,14,1134,23,,,,,,,,,3733,28,7,14,1339,17,,,4,10,124,9,157,12,,,749,26,,,,,,,,,,,,,,,,,,,,,93,17,,,,,,,,,,,133,17,,,,,,,,,,,,,,,657,20,575,17,,,,,,,,,,,,,12,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,26,,,,,,,,,,,,,,,,,,,,,,,,,609,12,,,,,842,6,,,108,6,1838,7,,,,,,,,,,,,,,,,,46,9,,,,,,,,,,,,,90,20,,,,,5,8,,,,,,,,,,,,,,,,,,,65,10,,,,,,,,,16,18,,,,,,,,,,,,,,,,,,,,,,,138,34
19,20,2136,12677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,7,,,,,,,,,,,,,,,,,,,,,,,327,6,,,,,,,3431,7,,,,,,,,,3918,26,10,8,258,42,,,,,687,4,,,,,426,46,,,,,,,,,,,,,,,,,,,,,,,,,,,145,9,,,,,199,9,,,,,,,,,,,,,,,669,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,,,,,,,1069,6,,,,,,,,,,,,,,,,,,,,,,,,,793,7,,,,,,,,,,,96,58,,,,,,,,,,,,,18,7,,,101,3,,,,,2,4,,,5,3,,,272,7,,,,,,,,,,,,,,,,,,,59,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,66
20,21,27443,12531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,21,,,,,,,82,21,,,12,4,67,21,816,30,,,,,,,,,747,123,9,11,541,29,38,7,,,,,144,15,,,465,42,,,,,,,,,,,,,,,,,,,,,29,36,,,,,75,12,,,,,,,,,,,,,,,,,,,,,579,22,2744,6,,,,,,,,,,,,,520,2,,,,,,,,,,,,,,,,,37,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,30,,,,,,,,,,,,,,,,,,,,,,,,,384,18,,,,,177,23,,,,,1004,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,9,,,,,,,,,,,57,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3737,1
21,22,3886,12435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,5,,,,,,,,,,,,,,,8,44,,,,,,,237,10,,,,,101,12,4167,5,,,,,,,,,1834,59,7,15,449,30,10,16,,,72,13,134,18,,,582,34,,,,,4,3,,,,,,,,,,,,,,,17,42,,,,,,,,,,,674,2,,,,,,,,,,,,,,,1142,8,136,49,,,,,,,,,,,,,16,38,,,,,,,5,3,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,34,3,16,76,10,,,,,,,,,,,,,,,,,,,,,207,25,,,,,1220,3,,,197,3,236,34,,,,,,,,,,,,,,,,,83,8,18,14,,,,,272,3,,,,,45,39,,,,,,,,,,,,,,,,,,,54,15,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,39
22,23,11733,12225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,80,,,,,,,10,1,1880,57,,,,,,,,,,,,,,,448,44,,,,,,,,,,,,,,,,,,,,,,,,,,,559,1,,,,,24,35,,,,,,,,,,,,,,,8765,2,40,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,,,,,153,3,,,,,69,7,,,,,10,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,5072,11613,,,,,,,,,,,6,22,,,,,,,,,,,,,,,,,,,10,23,,,,,162,2,,,,,,,,,17,20,,,,,,,,,,,,,135,9,465,48,,,,,,,,,7674,12,5,26,110,65,,,,,,,,,,,418,47,,,,,,,,,,,,,,,41,2,,,,,,,875,2,,,,,,,,,,,,,,,138,8,,,,,,,,,82,84,367,25,,,,,,,,,,,,,291,4,,,,,,,,,,,,,,,,,,,,,,,6,1,,,26,2,,,247,2,,,,,,,,,,,,,,,59,59,4,14,131,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,74,,,,,,,,,,,,,,,14,2,,,,,,,,,,,,,,,31,45,,,,,189,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,61
24,25,822,9235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,16,,,,,,,,,,,,,,,31,14,,,,,,,88,20,,,5,6,82,17,1003,25,,,,,23,12,,,3389,33,3,37,792,24,,,,,,,146,14,,,641,31,,,,,,,,,,,,,,,,,,,,,55,24,,,,,,,,,,,114,19,,,,,,,,,,,,,,,573,23,340,27,,,,,,,,,,,,,57,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,19,10,7,37,22,,,,,,,,,,,,,,,,,,,,,424,15,,,,,158,26,,,,,487,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,18,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,,,,,,,,6,25,,,,,,,,,,,,,,,,,,,,,,,296,23
25,26,6819,8923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,16,4701,3,,,,,,,,,1719,64,6,19,160,53,,,,,,,14,71,,,244,58,,,,,,,,,,,,,,,,,,,,,35,33,,,,,,,,,,,,,,,,,,,,,,,1,6,,,343,33,134,51,,,,,,,,,,,,,11,49,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,131,36,,,20,32,,,,,,,,,,,,,,,,,,,,,717,10,,,,,31,51,,,,,191,42,,,,,,,,,,,,,,,,,19,15,,,,,,,,,,,,,131,17,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,37
