,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2243,21037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,10,,,,,,,,,,,,,,,5,54,,,,,,,,,,,,,,,6450,3,,,,,,,,,6006,18,,,,,,,,,,,,,,,2464,6,,,,,,,,,,,,,,,,,,,,,,,,,127,10,,,,,241,10,,,,,,,,,,,,,,,729,15,201,35,,,,,,,,,,,,,18,41,,,,,,,,,,,,,,,63,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,8,,,,,,,,,,,,,,,,,,,,,,,1050,4,,,,,927,5,,,32,10,1098,15,,,,,,,5,5,,,,,,,,,,,101,3,,,,,556,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,43
11,12,29351,20759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2703,12,,,,,,,,,3536,28,,,125,58,169,2,,,,,111,23,,,125,95,,,,,,,,,,,,,,,,,,,240,8,,,,,,,,,,,36,29,8,5,,,,,,,,,,,,,,,92,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,2,80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,43,,,,,,,,,,,,,,,,,,,,,,,605,13,,,,,,,,,,,11314,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,38,,,,,,,,,,,,,,,,,,,,,,,,,789,1,,,,,,,,,241,4,,,,,,,,,,,,,,,,,,,,,,,,
12,13,1294,19663,,,,,,,,,,,41,11,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,15,,,,,,,,,,,,,49,17,1529,21,,,,,,,,,9549,10,4,24,986,19,,,,,,,189,12,,,3365,4,,,,,,,,,,,,,6,3,,,,,137,11,,,,,,,,,,,216,12,,,,,64,12,,,,,1,8,,,1363,6,,,,,,,,,,,,,,,33,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,544,12,,,37,22,,,,,4,4,,,,,,,,,,,,,147,29,,,,,,,,,,,752,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,12,,,,,,,,,,,,,,,,,,,22,24,,,,,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,14
13,14,2162,18649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,11,32,,,,,,,143,11,,,,,19,32,1347,25,,,,,,,,,8652,11,,,2,137,,,,,,,96,25,,,787,29,,,,,3,4,,,,,,,,,,,,,12,46,,,,,,,,,,,212,13,,,,,,,,,,,,,6,6,554,20,3,108,,,,,,,1,4,,,,,61,13,,,,,,,,,,,,,,,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,51,2,15,,,,,,,,,,,,,,,,,,,,,586,14,,,,,161,26,,,7,12,5072,3,,,,,,,,,,,,,6,9,,,,,6,18,,,,,,,,,,,69,30,,,,,,,,,,,,,,,,,,,35,16,,,,,61,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,10
14,15,13,18555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,6,,,,,,,207,10,,,3,8,66,13,1802,17,,,,,10,12,,,8298,12,8,13,1898,6,,,3,11,,,,,3,2,896,26,,,,,,,,,,,,,,,,,,,682,4,,,,,,,,,,,222,11,,,,,,,,,,,,,,,466,26,1445,11,,,,,,,,,,,,,125,8,,,,,,,,,,,,,,,,,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,112,2,14,32,25,,,,,,,,,,,,,,,,,,,315,21,,,,,347,14,,,88,8,856,17,,,,,,,,,,,,,,,,,25,13,78,6,,,,,77,5,,,,,176,15,,,,,,,,,,,,,,,,,,,43,12,,,,,,,,,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,279,18
15,16,320,16925,,,,,,,,,,,168,6,,,,,2,5,,,,,,,,,2,1,,,119,7,,,,,,,,,11,3,,,,,88,4,,,,,,,95,17,,,7,4,39,20,1459,23,,,,,165,6,,,6479,16,11,9,1023,18,32,8,,,55,13,190,11,,,1339,13,,,,,,,9,3,,,7,2,,,7,4,,,92,18,47,6,,,,,,,,,312,6,,,,,406,4,,,,,,,3,9,270,39,318,27,,,,,6,4,,,,,6,3,59,14,,,,,,,10,4,,,,,,,78,6,,,,,,,,,,,14,3,,,,,37,7,,,,,,,,,,,,,966,6,12,4,43,18,,,,,3,5,,,,,,,,,,,,,953,6,,,,,192,24,,,89,7,987,16,,,,,,,,,4,3,,,,,,,74,6,89,4,,,,,,,,,,,84,28,,,,,12,5,,,5,4,,,45,9,,,,,34,17,,,5,1,47,14,,,,,,,,,38,10,,,,,,,,,,,,,,,,,,,,,,,278,19
16,17,50381,15647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,16,,,,,,,,,,,12948,5,,,443,29,,,,,8,18,173,14,,,395,46,,,,,,,,,,,,,,,,,,,131,12,,,,,,,,,,,,,,,,,,,,,,,,,,,894,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,2425,15273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,13,27,,,,,,,56,22,,,,,80,10,1130,29,,,,,,,,,4821,22,6,18,1163,14,,,12,3,87,10,201,9,,,976,22,,,,,,,,,,,,,,,,,,,107,15,,,,,,,,,,,178,16,,,,,,,,,,,,,,,819,14,632,17,,,,,,,,,,,,,12,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,20,,,,,,,,,,,,,,,,,,,,,,,427,18,,,,,562,10,,,184,3,3071,5,,,,,,,,,,,,,,,,,47,10,,,,,,,,,,,,,94,25,,,,,7,8,,,,,,,,,,,,,,,,,,,124,5,,,,,,,,,9,16,,,,,,,,,,,,,,,,,,,,,,,178,23
18,19,200147,13280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13280,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,811,11512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,8,,,,,,,20,36,,,,,,,1596,20,,,,,,,,,2760,38,28,3,1835,8,,,,,,,122,22,,,1351,12,,,,,,,,,,,,,4,6,,,,,432,5,,,,,,,,,,,163,18,,,,,,,,,,,,,,,119,71,218,34,,,,,,,,,,,,,185,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,5,,,31,26,,,,,,,,,,,,,,,,,,,448,17,,,,,729,7,,,88,9,334,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,27443,11501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,18,,,,,,,49,23,,,22,2,39,21,743,41,,,,,,,,,538,133,14,5,490,26,32,9,,,,,95,26,,,423,43,,,,,,,,,,,,,,,,,,,,,,,,,64,12,,,,,,,,,,,,,,,,,,,,,545,21,1995,8,,,,,,,,,,,,,2157,1,,,,,,,,,,,,,,,,,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,31,,,,,,,,,,,,,,,,,,,,,,,302,22,,,,,295,17,,,,,716,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2708,1
21,22,2136,11071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,8,,,,,,,,,,,,,,,,,,,,,,,272,6,,,,,,,3017,11,,,,,,,,,3053,35,8,15,233,41,,,,,568,4,,,,,266,59,,,,,,,,,,,,,,,,,,,,,,,,,172,6,,,,,266,7,,,,,,,,,,,,,,,477,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,1082,4,,,,,,,,,,,,,,,,,,,,,,,915,7,,,,,,,,,,,108,59,,,,,,,,,,,,,26,7,,,120,2,,,,,,,,,4,3,,,291,9,,,,,,,,,,,,,,,,,,,39,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,68
22,23,5072,11046,,,,,,,,,,,1,22,,,,,,,,,,,,,,,,,,,11,19,,,,,111,2,,,,,,,,,9,37,,,,,,,,,,,,,156,6,670,44,,,,,,,,,7013,14,6,20,85,70,,,,,,,,,,,449,40,,,,,,,,,,,,,,,22,2,,,,,915,2,,,,,,,,,,,,,,,119,10,,,,,,,,,99,79,552,19,,,,,,,,,,,,,21,36,,,,,,,,,,,,,,,,,,,,,,,6,1,,,15,2,,,358,2,,,,,,,,,,,,,,,33,74,2,16,94,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,55,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,31,45,,,,,67,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,49
23,24,3886,10988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,5,,,,,,,,,,,,,,,8,41,,,,,,,,,,,,,105,9,5165,4,,,,,,,,,17,934,5,21,330,34,7,16,,,86,11,163,16,,,510,38,,,,,7,2,,,,,,,,,,,,,38,30,,,,,,,,,,,990,2,,,,,,,,,,,,,,,871,12,78,58,,,,,,,,,,,,,32,25,,,,,,,,,12,2,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,35,6,6,77,11,,,,,,,,,,,,,,,,,,,344,20,,,,,1076,3,,,217,2,193,44,,,,,,,,,,,,,,,,,87,4,18,15,,,,,12,10,,,,,65,31,,,,,,,,,,,,,,,,,,,56,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,54
24,25,822,10705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,12,,,,,,,,,,,,,,,16,20,,,,,,,,,,,5,5,24,30,2094,14,,,,,14,11,,,3139,34,12,8,634,24,,,,,,,201,8,,,701,33,,,,,,,,,,,,,,,,,,,46,29,,,,,,,,,,,124,20,,,,,,,,,,,,,,,665,16,507,21,,,,,,,,,,,,,75,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,15,5,7,39,21,,,,,,,,,,,,,,,,,,,654,11,,,,,104,34,,,,,624,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,13,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,,,,,,,,10,15,,,,,,,,,,,,,,,,,,,,,,,341,16
25,26,39856,9062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,9,,,,,,,,,,,,,,,73,5,,,,,,,117,14,,,,,29,26,841,38,,,,,,,,,2153,49,,,1169,13,,,,,,,,,,,1371,11,,,,,,,,,,,,,,,,,,,143,9,,,,,,,,,,,142,19,,,,,,,,,,,,,,,1046,8,,,,,,,,,,,,,,,30,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,44,,,,,,,,,,,,,,,,,,,453,15,,,,,,,,,,,1130,14,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,27
