bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
181,16798,11,10,4,,,,,,,,,240,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,22,,,,,,,,,,,,,88,10,1412,16,,,,,,,,,9495,10,,,1355,8,,,18,2,,,40,28,,,918,14,,,,,,,,,,,,,,,,,,,160,10,,,,,263,3,,,,,98,15,,,,,,,,,,,,,,,180,44,178,36,,,,,,,,,,,,,,,,,,,2,7,,,,,,,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,15,,,63,10,,,,,,,,,,,,,242,22,,,,,116,25,,,,,946,15,,,,,,,,,,,,,8,5,,,,,,,,,3,2,,,,,,,263,6,,,,,,,,,15,11,,,,,78,17,,,,,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,25
320,16427,12,,,,,,,,,,,145,8,,,,,,,,,,,,,,,115,7,,,,,,,,,16,3,,,,,64,3,,,,,,,69,14,,,15,2,37,20,1111,19,,,,,114,5,,,7343,14,16,4,1162,10,15,11,,,,,97,17,,,1335,7,,,,,,,17,2,,,15,2,,,9,3,,,58,23,93,3,,,,,,,,,144,8,,,,,366,5,,,,,,,20,2,168,47,457,25,,,19,4,,,,,18,2,57,16,,,,,,,15,2,,,,,,,33,9,,,,,,,,,8,5,,,,,56,4,,,,,,,,,,,,,682,9,89,1,63,11,,,2,7,,,,,,,,,425,12,,,,,184,20,,,61,7,947,14,,,,,,,,,11,2,,,,,,,42,9,65,4,,,,,,,,,,,67,24,,,,,8,5,7,3,23,9,,,,,191,12,,,23,1,49,10,,,,,,,,,33,10,,,,,,,,,,,,,,,,,,,,,248,16
50381,16207,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15335,4,,,,,,,,,11,16,99,16,,,,,,,,,,,,,,,,,,,,,,,93,16,,,,,,,,,,,,,,,,,,,,,,,,,,,651,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,15511,14,,,,,,,,,,,,,,,,,,,,,,,,,,,31,11,,,,,,,,,,,,,,,3,58,,,,,,,,,,,,,,,2798,9,,,,,,,,,6215,18,,,,,,,,,,,,,,,1729,6,,,,,,,,,,,,,,,,,,,,,,,,,45,11,,,,,68,21,,,,,,,,,,,,,,,546,19,198,32,,,,,,,,,,,12,52,,,,,,,,,,,,,,,46,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164,4,,,,,,,,,,,,,,,,,881,6,,,,,413,9,,,36,10,778,18,,,,,,,2,7,,,,,,,,,,,90,3,,,,,421,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,61
1294,13795,15,,,,,,,,,,,59,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,,,,,,,,,,,,,58,15,602,37,,,,,,,,,8453,13,8,10,657,19,,,,,,,101,15,,,1331,8,,,,,,,,,,,,,,,,,,,182,8,,,,,,,,,,,73,19,,,,,40,11,,,,,5,4,,,797,9,,,,,,,,,,,,,83,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,387,14,,,48,17,,,5,5,,,,,,,,,42,51,,,,,,,,,,,462,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,17,,,,,,,,,,,,,,,47,21,,,,,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,19
2425,13383,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,12,24,,,,,,,,,,,,,71,14,1026,21,,,,,,,,,4830,24,2,37,1106,15,,,1,13,98,8,136,7,,,1276,10,,,,,,,,,,,,,,,,,,,92,17,,,,,,,,,,,23,31,,,,,,,,,,,,,,,630,15,760,16,,,,,,,,,,,18,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,24,,,,,,,,,,,,,,,,,268,21,,,,,463,8,,,109,3,1841,10,,,,,,,,,,,,,,,,,81,2,,,,,,,,,,,,,111,16,,,,,5,8,,,,,,,,,,,,,,,45,11,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,145,28
13,13159,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,4,,,,,,,98,11,,,8,4,25,24,908,23,,,,,,,,,6589,16,4,24,1110,14,,,6,12,,,,,5,2,661,23,,,,,,,,,,,,,,,,,,,470,4,,,,,,,,,,,126,11,,,,,,,,,,,,,,,316,29,1105,12,,,,,,,,,,,121,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,109,8,10,36,20,,,,,,,,,,,,,173,27,,,,,235,15,,,36,9,603,23,,,,,,,,,,,,,,,,,10,19,38,7,,,,,42,5,,,,,115,15,,,,,,,,,,,,,,,22,27,,,,,,,,,,,,,,,7,16,,,,,,,,,,,,,,,,,,,,,216,18
25821,12359,18,,,,,,,,,,,37,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3880,4,,,,,,,,,2,962,8,14,,,,,,,,,,,,,3450,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3706,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253,2,,,,,,,,,,,,,,,,,,,,,,,23,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27443,11098,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,32,,,,,,,44,20,,,6,7,125,7,696,33,,,,,,,,,710,115,4,29,558,23,34,6,,,,,294,4,,,355,39,,,,,,,,,,,,,,,,,,,,,,,,,37,12,,,,,,,,,,,,,,,,,,,,,336,28,2456,8,,,,,,,,,,,1684,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,26,,,,,,,,,,,,,,,,,273,20,,,,,295,12,,,,,761,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2209,2
822,9990,20,,,,,,,,,,,,,,,,,,,,,,,,,,,24,14,,,,,,,,,,,,,,,17,17,,,,,,,,,,,8,5,12,41,1320,18,,,,,,,,,4126,29,5,18,391,27,,,,,,,131,9,,,403,35,,,,,,,,,,,,,,,,,,,78,19,,,,,,,,,,,98,16,,,,,,,,,,,,,,,469,23,638,17,,,,,,,,,,,54,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,13,3,16,56,13,,,,,,,,,,,,,585,8,,,,,111,26,,,,,467,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,11,,,,,,,,,,,,,,,,,,,,,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,13
2719,9320,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,21,688,34,,,,,,,,,6759,15,4,26,262,35,,,,,,,34,33,,,844,17,,,,,,,,,,,,,,,,,,,44,25,,,,,,,,,,,18,34,,,,,,,,,,,,,,,206,41,,,,,,,,,,,,,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,49,,,,,,,,,,,,,,,,,40,53,,,,,,,,,,,143,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,42,,,,,,,,,,,,,,,,,,,,,11,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,34
5242,9212,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9185,12,,,12,118,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,9203,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9203,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5432,8891,24,,,,,,,,,,,165,7,,,13,2,,,,,,,,,,,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,66,,,,,,,,,6023,19,,,946,17,,,,,111,6,10,71,,,199,59,,,,,,,,,,,,,,,4,4,,,147,11,73,4,,,,,,,,,,,,,,,320,6,,,,,,,,,103,65,78,52,,,,,,,,,,,17,45,,,,,,,,,,,,,,,,,26,6,,,,,,,10,4,,,3,3,,,,,,,,,,,,,,,109,40,15,4,24,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,10,2,123,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,37
2136,8375,25,,,,,,,,,,,,,,,,,,,,,,,,,,,94,9,,,,,,,,,,,,,,,,,,,,,,,177,7,,,,,,,3100,6,,,,,,,,,2232,54,7,15,140,49,,,,,226,3,,,,,241,51,,,,,,,,,,,,,,,,,,,,,,,,,149,5,,,,,121,12,,,,,,,,,,,,,,,273,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,,,,,,,639,11,,,,,,,,,,,,,,,,,577,9,,,,,,,,,,,58,71,,,,,,,,,,,,,,,,,61,7,,,,,,,,,5,3,,,180,10,,,,,,,,,,,,,,,49,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,63
811,8290,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,,,,,,,27,23,,,,,,,876,25,,,,,,,,,2676,43,,,1112,13,,,,,,,67,24,,,812,18,,,,,,,,,,,,,,,,,,,279,6,,,,,,,,,,,45,23,,,,,,,,,,,,,,,60,83,207,31,,,,,,,,,,,350,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004,5,,,19,32,,,,,,,,,,,,,209,24,,,,,232,16,,,50,8,248,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072,8175,27,,,,,,,,,,,8,19,,,,,,,,,,,,,,,10,19,,,,,15,3,,,,,,,,,7,42,,,,,,,,,,,,,126,6,542,42,,,,,,,,,5988,20,8,11,61,73,,,,,,,,,,,291,46,,,,,,,,,,,,,,,10,2,,,,,113,2,,,,,,,,,,,,,,,188,7,,,,,,,,,116,57,249,28,,,,,,,,,,,5,62,,,,,,,,,,,,,,,,,,,,,14,1,,,36,2,,,29,2,,,,,,,,,,,,,,,43,59,9,9,89,7,,,,,,,,,,,,,,,,,,,,,,,,,102,55,,,,,,,,,,,,,,,13,2,,,,,,,,,,,,,,,18,55,,,,,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,43
6819,7565,28,,,,,,,,,,,,,,,,,,,,,,,,,,,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,17,4620,2,,,,,,,,,1443,74,8,12,,,,,,,,,26,39,,,449,31,,,,,,,,,,,,,,,,,,,34,29,,,,,,,,,,,,,,,,,,,,,,,7,3,,,102,66,63,60,,,,,,,,,,,16,47,,,,,,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,71,52,,,17,33,,,,,,,,,,,,,289,19,,,,,31,43,,,,,151,49,,,,,,,,,,,,,,,,,21,14,,,,,,,,,,,,,64,26,,,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,50
3886,7217,29,,,,,,,,,,,,,,,,,,,,,,,,,,,206,5,,,,,,,,,,,,,,,10,31,,,,,,,,,,,,,77,13,2935,7,,,,,,,,,17,911,4,27,244,37,15,13,,,11,15,90,18,,,431,32,,,,,7,2,,,,,,,,,,,,,27,34,,,,,,,,,,,560,2,,,,,,,,,,,,,,,605,17,68,57,,,,,,,,,,,14,50,,,,,,,,,11,2,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,42,13,5,87,8,,,,,,,,,,,,,186,26,,,,,566,6,,,265,2,162,46,,,,,,,,,,,,,,,,,52,8,1,18,,,,,,,,,,,47,34,,,,,,,,,,,,,,,327,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,41
