bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
50381,23789,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,47,,,,,,,,,,,22633,3,,,,,,,,,22,15,127,15,,,170,63,,,,,,,,,,,,,,,,,,,75,19,,,,,,,,,,,,,,,,,,,,,,,,,,,431,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,29,,,,,,,,,,,,,,,,,,,,,,,,,,,193,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,21888,12,,,14,3,,,,,,,,,,,,,,,20,3,,,,,,,26,11,,,,,,,,,6,7,,,,,21,21,,,,,,,241,7,,,,,65,13,1573,13,,,,,,,,,12128,7,9,11,,,16,14,7,7,,,114,17,,,,,,,,,,,,,,,,,,,,,,,74,20,,,,,30,14,,,,,83,15,,,,,23,14,,,,,,,,,611,18,2196,6,,,,,,,,,,,,,46,15,,,,,,,6,6,,,,,,,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,15,5,13,39,21,,,,,,,,,,,,,,,,,392,11,,,,,1028,3,,,,,1709,11,,,,,,,,,,,,,,,,,,,16,11,,,,,25,8,,,,,122,16,,,,,,,,,,,44,8,,,,,94,16,,,,,34,13,,,,,,,,,19,13,,,,,,,,,,,,,,,,,,,,,720,8
320,15829,13,,,,,,,,,,,177,8,,,,,,,,,,,,,,,63,9,,,,,,,,,13,3,,,,,67,5,,,,,,,119,13,,,6,5,57,16,916,21,,,,,378,5,,,6588,16,15,5,1410,9,26,11,,,20,16,167,9,,,1329,9,,,,,,,4,3,,,12,2,,,14,2,,,63,21,69,5,,,,,,,,,138,10,,,,,323,5,,,,,,,11,7,211,39,336,25,,,,,11,4,,,,,15,3,38,18,,,,,,,10,3,,,,,,,20,11,,,,,,,,,20,3,,,,,57,4,,,,,,,,,,,,,575,7,34,4,62,17,,,,,1,7,,,,,,,,,,,387,12,,,,,217,19,,,74,7,1044,14,,,,,,,,,9,3,,,,,,,37,10,52,6,,,,,,,,,,,57,29,,,,,19,5,10,4,,,22,11,,,,,98,15,,,12,1,48,12,,,,,,,,,63,9,,,,,,,,,,,,,,,,,,,,,305,20
2425,15734,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,14,31,,,,,,,29,23,,,,,62,14,1046,19,,,,,,,,,5819,19,9,12,1127,17,,,7,8,171,9,206,8,,,985,12,,,,,,,,,,,,,,,,,,,102,15,,,,,,,,,,,82,16,,,,,,,,,,,,,,,655,15,639,17,,,,,,,,,,,,,17,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,22,,,,,,,,,,,,,,,,,,,,,171,28,,,,,546,9,,,125,4,3334,5,,,,,,,,,,,,,,,,,32,11,,,,,,,,,,,,,98,22,,,,,5,7,,,,,,,,,,,,,,,,,54,10,,,,,,,,,16,14,,,,,,,,,,,,,,,,,,,,,194,24
25821,15415,15,,,,,,,,,,,104,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2935,6,,,,,,,,,997,80,7,16,1264,14,,,,,,,,,,,5519,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3463,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,14967,16,,,,,,,,,,,,,,,,,,,,,,,,,,,24,13,,,,,,,,,,,,,,,10,38,,,,,,,,,,,,,,,3258,4,,,,,,,,,6276,17,,,,,,,,,,,,,,,1289,10,,,,,,,,,,,,,,,,,,,,,,,,,58,11,,,,,96,14,,,,,,,,,,,,,,,455,24,156,38,,,,,,,,,,,,,12,43,,,,,,,,,,,,,,,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,9,,,,,,,,,,,,,,,,,,,,,693,5,,,,,618,7,,,17,11,947,16,,,,,,,4,6,,,,,,,,,,,33,7,,,,,395,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,61
181,14748,17,8,4,,,,,,,,,258,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,18,,,,,,,,,,,,,127,7,1220,16,,,,,,,,,8225,12,,,1387,11,,,4,12,,,66,28,,,664,21,,,,,,,,,,,,,,,,,,,159,9,,,,,182,5,,,,,96,13,,,,,,,,,,,,,,,199,41,121,47,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,89,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,16,,,65,15,,,,,,,,,,,,,,,,,175,27,,,,,141,27,,,,,640,24,,,,,,,,,,,,,100,5,,,,,,,,,3,3,,,,,,,154,13,,,,,,,,,,,16,13,,,,,129,13,,,,,19,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,25
13,14589,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,,,,,,,80,14,,,5,7,40,24,755,26,,,,,,,,,7686,13,2,43,1356,12,,,7,6,,,,,4,2,435,30,,,,,,,,,,,7,4,,,,,,,387,5,,,,,,,,,,,104,12,,,,,,,,,,,,,,,428,26,1191,11,,,,,,,,,,,,,93,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,121,20,6,36,23,,,,,,,,,,,,,,,,,185,26,,,,,229,18,,,34,9,887,19,,,,,,,,,,,,,,,,,19,14,32,8,,,,,33,6,,,,,104,21,,,,,,,,,,,,,,,,,48,26,,,,,,,,,,,,,,,13,16,,,,,,,,,,,,,,,,,,,,,343,17
27443,12493,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,34,,,,,,,71,15,,,17,3,44,22,834,24,,,,,,,,,604,125,7,17,659,25,29,9,,,,,105,21,,,473,28,,,,,,,,,,,,,,,,,,,,,,,,,72,9,,,,,,,,,,,,,,,,,,,,,486,22,1998,8,,,,,,,,,,,,,1960,1,,,,,,,,,,,,,,,,,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,167,25,,,,,,,,,,,,,,,,,,,,,286,17,,,,,271,15,,,,,912,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3408,1
2719,11872,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,83,,,,,,,29,24,,,,,23,34,629,33,,,,,,,,,9259,11,5,25,374,30,,,,,,,31,39,,,755,17,,,,,,,,,,,,,,,,,,,60,22,,,,,,,,,,,15,38,,,,,,,,,,,,,,,175,47,,,,,,,,,,,,,,,13,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,59,,,,,,,,,,,,,,,,,,,,,33,60,,,,,,,,,,,212,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,35,,,,,,,,,,,,,,,,,,,,,,,5,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,27
5072,10374,21,,,,,,,,,,,10,19,,,,,,,,,,,,,,,12,19,,,,,58,3,,,,,,,,,8,44,,,,,,,,,,,,,133,6,415,44,,,,,,,,,7516,14,3,41,84,69,,,,,,,,,,,282,41,,,,,,,,,,,,,,,13,3,,,,,670,2,,,,,,,,,,,,,,,231,8,,,,,,,,,72,85,210,31,,,,,,,,,,,,,7,54,,,,,,,,,,,,,,,,,,,,,15,1,,,17,4,,,184,2,,,,,,,,,,,,,,,72,44,6,12,71,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,58,,,,,,,,,,,,,,,16,2,,,,,,,,,,,,,,,27,48,,,,,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,64
2952,9719,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,9,,,,,,,,,,,,,69,12,839,23,,,,,,,,,5068,22,10,10,749,23,,,4,14,,,131,13,,,1570,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16,,,,,,,,,460,23,41,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,18,,,69,13,,,,,,,,,,,,,,,,,,,,,,,105,32,,,,,152,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,9138,23,,,,,,,,,,,,,,,,,,,,,,,,,,,104,8,,,,,,,,,,,,,,,,,,,,,,,241,8,,,,,,,2222,11,,,,,,,,,2964,36,13,7,179,45,,,,,811,5,,,,,245,46,,,,,,,,,,,,,,,,,,,,,,,,,125,7,,,,,110,11,,,,,,,,,,,,,,,272,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,691,5,,,,,,,,,,,,,,,,,,,,,600,8,,,,,,,,,,,98,64,,,,,,,,,,,,,13,7,,,93,5,,,,,,,,,4,3,,,221,7,,,,,,,,,,,,,,,,,93,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,76
811,8857,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,6,,,,,,,6,56,,,,,,,775,25,,,,,,,,,3577,31,,,1409,10,,,,,,,88,25,,,575,23,,,,,,,,,,,,,4,5,,,,,215,8,,,,,,,,,,,70,22,,,,,,,,,,,,,,,47,105,252,29,,,,,,,,,,,,,200,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,11,,,24,27,,,,,,,,,,,,,,,,,289,15,,,,,378,12,,,67,8,327,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,8745,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,14,,,,,,,70,16,,,,,,,666,30,,,,,,,,,5432,21,,,231,40,,,8,5,190,8,,,,,728,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,32,,,,,,,,,,,,,,,406,28,200,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,20,,,30,25,,,,,,,,,,,,,,,,,190,23,,,,,106,30,,,,,,,,,,,,,,,,,,,,,,,17,15,,,,,,,25,9,,,,,105,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,40
822,8485,26,,,,,,,,,,,,,,,,,,,,,,,,,,,23,15,,,,,,,,,,,,,,,21,22,,,,,,,,,,,4,9,27,30,1141,17,,,,,,,,,3274,32,4,32,493,27,,,,,,,108,20,,,319,39,,,,,,,,,,,,,,,,,,,50,26,,,,,,,,,,,80,18,,,,,,,,,,,,,,,512,20,495,21,,,,,,,,,,,,,42,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,17,8,9,39,22,,,,,,,,,,,,,,,,,217,20,,,,,95,33,,,,,655,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,19,,,,,,,,,,,,,,,,,,,,,,,7,36,,,,,,,,,7,21,,,,,,,,,,,,,,,,,,,,,490,13
3886,8079,27,,,,,,,,,,,,,,,,,,,,,,,,,,,181,6,,,,,,,,,,,,,,,15,30,,,,,,,,,,,,,47,21,3031,5,,,,,,,,,14,956,14,6,307,32,20,13,,,84,13,128,14,,,407,34,,,,,3,4,,,,,,,,,,,,,25,37,,,,,,,,,,,509,2,,,,,,,,,,,,,,,558,19,151,40,,,,,,,,,,,,,12,44,,,,,,,,,18,2,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,36,6,11,162,7,,,,,,,,,,,,,,,,,187,25,,,,,772,5,,,133,3,259,36,,,,,,,,,,,,,,,,,78,7,18,10,,,,,,,,,,,74,25,,,,,,,,,,,,,,,,,696,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,41
5432,7815,28,,,,,,,,,,,186,7,,,6,2,,,,,,,,,,,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,58,,,,,,,,,4396,25,,,1132,16,,,,,249,7,24,47,,,161,64,,,,,,,,,,,,,,,5,4,,,129,10,119,3,,,,,,,,,,,,,,,333,4,,,,,,,,,172,48,75,59,,,,,,,,,,,,,20,28,,,,,,,,,,,,,,,,,34,6,,,,,,,8,6,,,22,3,,,,,,,,,,,,,,,101,34,9,8,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,19,3,,,153,6,,,,,,,,,,,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,35
