,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2243,22174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,17,,,,,,,,,,,,,,,13,33,,,,,,,,,,,,,,,5701,1,,,,,,,,,5396,17,,,,,,,,,,,,,,,3081,6,,,,,,,,,,,,,,,,,,,,,,,,,,,132,9,,,,,351,7,,,,,,,,,,,,,,,,,1053,13,209,36,,,,,,,,,,,,,12,48,,,,,,,,,,,,,,,,,57,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683,2,,,,,,,,,,,,,,,,,,,,,,,,,1452,5,,,,,517,11,,,,,29,10,1146,13,,,,,,,,,,,8,4,,,,,,,,,,,176,3,,,,,1024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,39
11,12,25821,21256,,,,,,,,,,,582,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2203,12,,,,,,,,,1121,85,4,37,2170,8,,,,,,,,,,,5007,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,5,,,,,,,,,,,,,,,,,,,,,,,5398,1
12,13,811,20152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,3,,,,,,,16,39,,,,,,,1746,15,,,,,,,,,4648,19,7,20,3186,5,,,,,,,133,23,,,2266,8,,,,,,,,,,,,,4,7,,,,,,,681,4,,,,,,,,,,,169,13,,,,,,,,,,,,,,,,,193,49,394,25,,,,,,,,,,,,,229,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2188,1,,,32,24,,,,,,,,,,,,,,,,,,,,,470,14,,,,,479,12,,,,,123,5,352,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2721,6
13,14,13,18581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,7,,,,,,,96,20,,,10,8,31,26,1344,19,,,,,44,11,,,8540,11,10,13,2285,7,,,13,4,,,58,31,7,2,772,26,,,,,,,,,,,,,,,,,,,,,879,3,,,,,,,,,,,147,14,,,8,1,,,,,,,,,,,,,421,31,899,13,,,,,,,,,,,,,47,15,,,,,,,,,,,,,,,,,,,27,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763,12,24,2,55,20,,,,,,,,,,,,,,,,,,,,,200,26,,,,,386,14,,,,,30,9,696,18,,,,,,,,,,,,,,,,,,,,,26,14,42,9,,,,,63,9,,,,,154,15,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,27,18,,,,,,,,,,,,,,,,,,,,,,,387,20
14,15,320,17139,,,,,,,,,,,104,8,,,,,13,4,,,,,,,,,16,1,,,108,9,,,,,,,,,19,3,,,,,40,14,,,,,,,117,15,,,21,2,68,15,1185,21,,,,,185,6,,,7004,15,26,3,967,19,30,11,,,80,12,232,8,,,1689,11,,,,,,,10,3,,,11,2,,,20,4,,,,,141,13,89,5,,,,,,,,,399,5,,,,,,,385,4,,,,,,,14,5,264,41,320,28,,,,,13,4,,,,,85,2,30,25,,,,,,,11,4,,,,,,,,,46,9,33,8,,,,,,,,,7,7,,,,,70,4,,,,,,,,,,,,,809,10,13,7,69,13,,,,,,,6,5,,,,,,,,,,,,,410,17,,,,,382,15,,,,,95,8,757,16,,,,,,,,,,,,,11,2,,,,,,,85,6,91,5,,,,,,,,,,,98,21,,,,,23,4,,,12,4,,,42,11,,,,,22,23,,,14,1,44,16,,,,,,,,,45,14,,,,,,,,,,,9,5,,,,,,,,,,,250,27
15,16,29316,15060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,26,,,,,,,,,,,,,,,30,393,,,,,,,,,14803,3,,,,,,,,,,,,,,,93,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,2425,14523,,,,,,,,,,,63,13,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,12,38,,,,,,,119,14,,,,,95,10,1375,17,,,,,,,,,3738,25,3,39,1310,15,,,5,13,171,8,137,21,,,1173,16,,,,,,,,,,,,,,,,,,,,,123,16,,,,,,,,,,,110,18,,,,,,,,,,,,,,,,,666,21,527,19,,,,,,,,,,,,,8,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,32,,,,,,,,,,,,,,,,,,,,,,,,,857,8,,,,,1055,4,,,,,122,6,2184,6,,,,,,,,,,,,,,,,,,,,,46,11,,,,,,,,,,,,,116,18,,,,,5,7,,,,,,,,,,,,,,,,,,,128,7,,,,,,,,,31,16,,,,,,,,,,,,,,,,,,,,,,,160,30
17,18,27443,14419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,19,,,,,,,59,23,,,14,4,54,19,814,29,,,,,62,9,,,520,147,15,9,752,25,45,6,,,,,537,5,,,560,37,,,,,,,,,,,,,,,,,,,,,53,29,,,,,74,12,,,,,,,,,,,,,,,,,,,,,,,902,15,2645,5,,,,,,,,,,,,,1218,1,,,,,,,,,,,,,,,,,,,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,26,,,,,,,,,,,,,,,,,,,,,,,,,420,16,,,,,137,32,,,,,,,815,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,1,,,,,,,,,,,41,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3485,2
18,19,1294,14270,,,,,,,,,,,33,15,,,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,20,,,,,,,,,,,,,57,17,966,24,,,,,,,,,7151,14,10,15,857,21,,,8,8,62,16,152,18,,,2048,10,,,,,,,,,,,,,10,3,,,,,,,149,11,,,,,,,,,,,122,15,,,,,,,24,15,,,,,12,4,,,1073,12,,,,,,,,,,,,,,,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,401,18,,,32,25,,,,,,,9,2,,,,,,,,,,,,,52,50,,,,,,,,,,,,,435,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,9,,,,,,,,,,,,,30,13,,,,,23,22,,,,,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,28
19,20,181,14040,14,4,,,,,,,,,90,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,13,,,,,,,,,,,,,100,9,1362,18,,,,,,,,,6711,16,,,1932,11,,,4,16,,,59,30,,,1114,17,,,,,,,,,,,,,,,,,,,,,129,15,,,,,203,6,,,,,63,25,,,,,,,,,,,,,,,,,309,36,193,39,,,,,,,,,,,,,,,,,,,,,10,5,,,,,,,,,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,20,,,30,26,,,,,,,,,,,,,,,,,,,,,150,29,,,,,164,25,,,,,,,483,21,,,,,,,,,,,,,,,,,175,2,,,,,,,,,5,2,,,,,,,128,16,,,,,,,,,,,,,18,14,,,,,23,21,,,,,36,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,33
20,21,50381,13655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,28,884,27,,,,,,,,,9829,10,,,709,28,,,,,70,14,174,13,,,314,51,,,,,,,,,,,,,,,,,,,,,168,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,17,112,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,5072,12809,,,,,,,,,,,6,22,,,,,,,,,,,,,,,,,,,33,15,,,,,242,2,,,,,,,,,14,32,,,,,,,,,,,,,125,8,413,53,,,,,,,,,7807,12,5,25,118,68,,,,,60,17,,,,,360,49,,,,,,,,,,,,,,,85,2,,,,,,,1176,2,,,,,,,,,,,,,,,,,174,9,,,,,,,,,69,96,882,14,,,,,,,,,,,,,57,12,,,,,,,,,,,,,,,,,,,,,,,,,38,1,,,44,2,,,393,2,90,3,,,,,,,,,,,,,73,56,12,8,85,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,58,,,,,,,,,,,,,,,,,,,27,2,,,,,,,,,,,,,,,28,46,,,,,224,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,64
22,23,2136,11816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,8,,,,,,,,,,,,,,,,,,,,,,,282,9,,,,,,,2326,10,,,,,,,,,3769,24,4,29,270,42,,,,,1023,4,,,,,444,43,,,,,,,,,,,,,,,,,,,,,,,,,,,120,10,,,,,219,11,7,9,,,,,,,,,,,,,,,483,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,1128,6,,,,,,,,,,,,,,,,,,,,,,,,,945,7,,,,,,,,,,,,,95,63,,,,,,,,,,,,,,,,,14,7,,,142,4,,,,,2,4,,,5,3,,,301,7,,,,,,,,,,,,,,,,,,,42,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,55
23,24,3886,11123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,5,,,,,,,,,,,,,,,18,27,,,,,,,321,7,,,,,67,16,2914,9,,,,,,,,,2136,49,7,21,467,33,19,14,6,12,64,15,130,24,,,528,41,,,,,7,3,,,,,,,,,,,,,,,32,38,,,,,,,,,,,649,2,,,,,,,,,,,,,,,,,1170,9,110,53,,,,,,,,,,,,,15,40,,,,,,,,,15,2,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,29,3,16,88,9,,,,,,,,,,,,,,,,,,,,,259,22,,,,,802,6,,,,,162,4,179,46,,,,,,,,,,,,,,,,,,,,,75,8,15,14,,,,,305,2,,,,,82,23,,,,,,,,,,,,,,,,,,,35,15,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,69
24,25,11733,9827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,77,,,,,,,17,2,1596,63,,,,,,,,,,,,,,,618,36,,,,,,,,,,,,,,,,,,,,,,,,,,,575,1,,,,,37,31,,,,,,,,,,,,,,,,,6431,2,61,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,,,151,4,,,,,62,10,,,,,5,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
