bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2093,39989,11,,,,,,,,,,,81,15,,,,,,,21,4,,,,,,,,,,,82,11,,,,,11,6,18,3,,,,,,,52,18,12,2,,,,,129,20,,,,,66,19,1590,30,,,,,,,,,,,16044,11,13,7,2526,17,,,,,133,14,175,27,,,,,1367,24,,,,,,,,,13,2,,,,,,,,,15,2,,,127,22,19,7,,,78,13,,,,,126,19,13,6,,,,,149,11,,,,,,,,,1138,22,6544,3,,,35,2,11,5,,,1,4,,,149,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,7,,,,,,,,,,,,,501,21,,,65,26,,,,,,,,,,,,,,,,,,,,,493,20,,,,,788,12,,,,,,,1626,13,,,,,11,2,,,,,,,,,,,,,,,50,12,21,14,,,,,,,15,2,,,200,18,,,9,2,,,,,,,,,462,3,,,,,109,14,,,,,61,15,,,,,,,,,769,4,,,,,,,,,,,15,3,,,,,,,,,13,1,4009,1
2181,38326,12,,,,,,,,,,,241,12,,,,,,,,,,,16,2,,,,,,,316,6,,,,,,,,,,,,,,,53,17,,,,,,,135,19,,,,,153,11,2054,22,,,,,,,319,6,,,9850,22,10,11,2269,18,173,2,7,9,,,226,19,,,,,1566,20,,,,,,,,,,,,,,,,,,,,,,,415,11,,,,,212,10,,,,,341,11,,,,,,,836,4,,,,,,,15,4,1441,14,751,18,,,,,,,110,3,,,,,17,53,,,,,,,,,,,,,,,21,3,31,10,51,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903,1,158,1,207,15,,,,,,,,,,,,,,,,,,,,,1787,6,,,,,383,18,,,,,230,7,3155,9,,,,,,,,,,,16,3,,,,,40,5,,,61,11,61,8,,,,,85,12,20,1,,,1588,1,,,,,,,,,,,,,107,6,,,,,283,11,,,,,211,6,71,2,,,,,,,,,,,,,,,,,,,16,2,,,,,,,,,,,1315,9
13,37000,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,3,,,,,,,185,16,,,7,6,55,23,3296,16,,,,,,,134,9,,,16161,10,7,16,4052,14,,,8,7,,,88,37,,,10,2,1468,23,,,,,,,,,,,,,5,4,,,,,,,,,3074,2,,,,,,,,,,,245,13,,,15,1,,,,,,,,,,,,,660,28,1667,10,,,,,,,,,,,,,108,12,,,,,,,,,,,,,,,,,,,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,8,40,2,194,16,,,,,,,,,,,,,,,,,,,,,432,21,,,,,654,14,,,,,66,10,1212,16,,,,,,,,,,,,,,,,,,,,,33,13,49,10,,,,,149,7,,,,,320,10,,,,,,,,,,,,,,,,,,,55,21,,,,,,,,,,,,,,,26,20,,,,,,,,,,,,,,,,,,,,,,,428,23
181,34125,14,14,4,,,,,,,,,524,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,19,,,,,,,,,,,,,235,6,3455,15,,,,,,,,,,,16891,9,,,4504,13,,,5,12,,,139,28,,,,,2652,12,,,,,,,,,,,,,,,,,,,,,,,439,10,,,,,685,3,,,,,148,17,,,,,,,,,,,,,,,,,367,45,174,46,,,,,,,,,,,,,,,,,,,,,5,8,,,,,,,,,48,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,18,,,269,12,,,,,,,,,,,,,,,,,,,,,354,24,,,,,401,16,,,,,,,798,20,,,,,,,,,,,,,,,,,589,2,,,,,,,,,1,4,,,,,,,355,9,,,,,,,,,,,,,19,12,,,,,97,15,,,,,54,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,27
28,32119,15,,,,,,,,,,,530,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747,56,,,,,,,,,,,7916,29,,,6377,9,,,,,,,31,56,,,,,689,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,10,,,,,,,,,3858,6,10711,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,63,,,,,,,,,,,,,,,,,,,513,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,30721,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,5,,,,,,,,,,,,,,,,,,,,,,,608,3,,,,,,,5649,6,,,,,,,,,,,10239,20,18,4,1498,26,,,,,2981,4,,,,,,,963,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,6,,,,,451,6,10,8,,,,,,,,,,,,,,,1028,26,,,,,,,,,,,,,,,24,35,,,,,,,,,,,,,,,,,,,,,,,,,,,51,3,,,,,,,,,,,,,,,,,,,,,2086,6,,,,,,,,,,,,,,,,,,,,,,,,,2214,5,,,,,,,,,,,,,110,72,,,,,,,,,,,,,,,,,19,7,,,302,2,,,,,16,2,,,10,3,,,617,6,,,,,,,,,,,,,,,,,,,692,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,50
50381,29191,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,29,2155,21,,,,,,,,,,,23221,5,,,857,36,,,,,57,17,253,18,,,,,533,57,,,,,,,,,,,,,,,,,,,,,,,242,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151,21,109,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,29135,18,,,,,,,,,,,78,16,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,16,,,,,,,,,,,,,100,13,1954,24,,,,,,,,,,,15371,12,9,13,2081,20,,,9,6,150,13,253,17,,,,,3967,8,,,,,,,,,,,,,,,8,4,,,,,,,366,13,,,,,,,,,,,233,15,,,,,,,39,15,,,,,8,5,,,1852,11,,,,,,,,,,,,,,,243,5,,,,,,,,,,,,,,,,,,,15,11,,,,,,,,,,,,,,,7,11,,,,,,,,,,,,,813,16,,,135,19,,,,,,,3,7,,,,,,,,,,,,,56,54,,,,,,,,,,,,,658,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10,,,,,264,13,,,,,,,,,,,,,30,10,,,,,36,28,,,,,22,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,30
29351,28731,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,,,,,,,,,,,,,,,,,,,,,,,,,194,15,,,,,,,4199,8,,,,,,,,,,,5193,44,,,576,44,142,3,,,,,134,29,,,,,672,47,,,,,,,,,,,,,,,,,,,,,,,823,7,,,,,,,,,,,59,28,82,4,,,,,,,,,,,,,,,,,163,48,,,,,,,,,,,,,20,46,,,,,,,,,,,,,,,,,358,2,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,45,,,,,,,,,,,,,,,,,,,,,,,,,1686,7,,,,,,,,,,,,,12555,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,36,,,,,,,,,,,,,,,,,,,,,,,,,821,1,,,,,,,,,588,6,,,,,,,,,,,,,,,,,,,,,,,91,47
5072,27200,20,,,,,,,,,,,2,27,,,,,,,,,,,,,,,,,,,48,14,,,,,339,2,,,,,,,,,17,43,,,,,,,,,,,,,305,4,890,51,,,,,,,,,,,19355,8,6,26,252,62,,,,,71,16,,,,,,,1180,29,,,,,,,,,,,,,,,,,222,2,,,,,,,1456,2,,,,,,,,,,,,,,,,,248,9,,,,,,,,,163,74,366,32,,,,,,,,,,,,,60,18,,,,,,,,,,,,,,,,,,,,,,,,,67,1,,,204,2,,,418,2,80,6,,,,,,,,,,,,,152,47,8,12,261,13,,,,,,,,,,,,,,,,,,,,,,,,,,,35,56,,,,,,,181,60,,,,,,,,,,,,,,,,,,,53,2,,,,,,,,,,,,,,,77,33,,,,,609,2,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,64
3886,24663,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819,3,,,,,,,,,,,,,,,21,37,,,,,,,284,10,,,,,82,15,5901,5,,,,,,,,,,,4217,49,4,39,1370,28,16,14,42,2,535,7,289,15,,,,,1161,31,,,,,1,5,,,,,,,,,,,,,,,,,40,43,,,,,,,,,,,1042,2,,,,,,,,,,,,,,,,,2522,9,239,37,,,,,,,,,,,,,22,40,,,,,,,,,12,2,,,7,14,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,44,4,16,279,11,,,,,,,,,,,,,,,,,,,,,624,18,,,,,1052,10,,,,,485,4,364,39,,,,,,,,,,,,,,,,,,,,,144,6,20,15,,,,,2227,2,,,,,141,21,,,,,,,,,,,,,,,,,,,431,9,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,45
178900,24634,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,34,,,,,,,75,26,,,,,,,1315,34,,,,,,,,,,,19821,7,,,,,,,,,,,,,,,,,1080,34,,,,,,,,,,,,,,,,,,,,,,,969,6,,,,,,,,,,,20,41,,,,,,,,,,,,,,,,,302,54,128,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,46,,,,,,,,,,,,,,,,,,,,,,,,,128,35,,,,,,,,,,,,,571,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,23178,23,5,7,7,4,,,,,,,,,,,,,,,6,6,,,,,,,,,,,18,18,,,,,,,,,4,9,,,,,26,29,,,,,,,228,12,,,,,62,20,1941,25,,,,,,,,,,,10532,19,4,35,1094,31,8,18,4,15,33,21,110,31,,,,,1334,25,,,,,,,,,,,,,,,,,,,,,,,115,23,,,,,25,14,,,,,80,23,,,,,,,56,12,,,,,,,,,1035,25,2450,7,,,,,,,,,,,,,59,19,,,,,,,1,10,,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,35,3,17,58,27,,,,,,,,,,,,,,,,,,,,,355,23,,,,,867,11,,,,,,,1254,15,,,,,,,,,,,,,,,,,,,,,,,25,12,,,,,18,16,,,,,100,27,,,,,,,,,,,,,70,9,,,,,39,26,,,,,50,17,,,,,,,,,34,18,,,,,,,,,,,,,,,,,,,,,,,798,13
25821,20393,24,,,,,,,,,,,369,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838,28,,,,,,,,,,,1575,93,15,6,1916,21,,,,,,,,,,,,,7658,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,8,,,,,,,,,,,,,,,,,,,,,,,2537,6
