bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
463,25801,11,,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,36,13,,,,,,,,,6,6,,,,,22,17,,,,,,,270,7,,,,,70,13,2216,13,,,,,,,,,13899,8,3,30,,,15,15,7,10,,,170,15,,,,,,,,,,,,,,,,,,,,,,,70,22,,,,,27,15,,,,,71,23,,,,,32,14,,,,,,,,,925,12,2911,5,,,,,,,,,,,,,60,15,,,,,,,4,8,,,,,,,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,16,13,4,55,19,,,,,,,,,,,,,,,,,509,15,,,,,944,5,,,,,1970,10,,,,,,,,,,,,,,,,,,,18,11,,,,,6,11,,,,,186,16,,,,,,,,,,,,,35,10,,,,,71,20,,,,,55,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733,8
1294,24929,12,,,,,,,,,,,68,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,,,,,,,,,,,,,50,16,1269,24,,,,,,,,,9102,14,5,21,1431,14,,,,,,,176,13,,,7791,1,,,,,,,,,,,,,,,,,,,207,9,,,,,,,,,,,190,14,,,,,34,12,,,,,7,2,,,1456,7,,,,,,,,,,,,,,,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,515,15,,,100,10,,,,,4,5,,,,,,,,,,,67,43,,,,,,,,,,,1801,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,13,,,,,,,,,,,,,,,,,,,54,24,,,,,16,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,17
181,24584,13,13,3,,,,,,,,,278,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,9,,,,,,,,,,,,,149,6,2419,12,,,,,,,,,12495,10,,,2789,7,,,8,7,,,109,22,,,1361,9,,,,,,,,,,,,,,,,,,,170,10,,,,,404,4,,,,,320,6,,,,,,,,,,,,,,,413,34,140,45,,,,,,,,,,,,,,,,,,,,,8,5,,,,,,,47,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534,14,,,77,14,,,,,,,,,,,,,,,,,319,23,,,,,206,22,,,,,1271,16,,,,,,,,,,,,,199,2,,,,,,,,,,,,,,,,,268,9,,,,,,,,,,,,,18,11,,,,,208,12,,,,,46,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,18
50381,23881,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,21,,,,,,,,,,,22296,3,,,,,,,,,13,18,216,9,,,,,,,,,,,,,,,,,,,,,,,107,15,,,,,,,,,,,,,,,,,,,,,,,,,,,748,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,32,,,,,,,,,,,,,,,,,,,,,,,,,,,327,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,21779,15,,,,,,,,,,,230,7,,,,,,,,,,,,,2,1,,,172,8,,,,,,,,,15,3,,,,,54,4,,,,,,,120,15,,,14,2,34,23,1544,18,,,,,214,6,,,9233,13,33,2,2316,11,30,6,,,33,13,218,8,,,1353,10,,,,,,,13,3,,,15,2,,,18,2,,,81,19,44,5,,,,,,,,,336,4,,,,,346,4,,,,,,,18,2,315,37,380,26,,,,,21,3,,,,,29,2,73,12,,,,,,,21,2,,,,,,,36,9,,,,,,,,,21,2,,,,,39,4,,,,,,,,,,,,,873,8,20,2,40,23,,,,,1,6,,,,,,,,,,,635,8,,,,,285,19,,,111,8,1457,15,,,,,,,,,18,2,,,,,,,70,6,97,3,,,,,,,,,,,102,21,,,,,17,5,,,16,3,,,35,9,,,,,199,13,,,20,1,65,11,,,,,,,,,40,10,,,,,,,,,,,,,,,,,,,,,257,20
2243,19358,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,11,,,,,,,,,,,,,,,6,52,,,,,,,,,,,,,,,4465,4,,,,,,,,,7999,17,,,,,,,,,,,,,,,1815,7,,,,,,,,,,,,,,,,,,,,,,,,,161,10,,,,,156,17,,,,,,,,,,,,,,,800,17,189,37,,,,,,,,,,,,,12,47,,,,,,,,,,,,,,,52,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805,10,,,,,,,,,,,,,,,,,,,,,81,38,,,,,929,6,,,22,10,1056,20,,,,,,,4,6,,,,,,,,,,,80,4,,,,,634,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,66
2425,15809,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,34,10,,,,,,,50,21,,,,,94,11,1171,25,,,,,,,,,5781,23,7,9,1152,19,,,8,9,97,9,177,12,,,1080,15,,,,,,,,,,,,,,,,,,,128,12,,,,,,,,,,,139,18,,,,,,,,,,,,,,,814,14,724,17,,,,,,,,,,,,,18,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,25,,,,,,,,,,,,,,,,,,,,,335,20,,,,,386,11,,,177,3,2749,7,,,,,,,,,,,,,,,,,59,10,,,,,,,,,,,,,111,20,,,,,16,6,,,,,,,,,,,,,,,,,,,92,10,,,,,,,,,7,16,,,,,,,,,,,,,,,,,,,,,177,25
822,15008,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,12,,,,,,,,,,,,,,,24,14,,,,,,,,,,,5,7,15,38,2187,14,,,,,,,,,5482,24,4,27,1027,21,,,,,,,257,7,,,651,26,,,,,,,,,,,,,,,,,,,39,28,,,,,,,,,,,160,16,,,,,,,,,,,,,,,1171,10,652,19,,,,,,,,,,,,,42,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,13,1,17,60,17,,,,,,,,,,,,,,,,,602,10,,,,,118,27,,,,,1050,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,12,,,,,,,,,,,,,,,,,,,,,,,,,10,30,,,,,,,,,3,23,,,,,,,,,,,,,,,,,,,,,641,10
27443,14849,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,37,,,,,,,70,17,,,14,3,39,19,951,34,,,,,,,,,648,136,11,6,903,22,26,8,,,,,101,23,,,609,30,,,,,,,,,,,,,,,,,,,,,,,,,73,12,,,,,,,,,,,,,,,,,,,,,811,16,2312,7,,,,,,,,,,,,,2946,1,,,,,,,,,,,,,,,,,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,235,23,,,,,,,,,,,,,,,,,,,,,737,6,,,,,355,13,,,,,935,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,2
811,14209,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,3,,,,,,,22,32,,,,,,,1391,19,,,,,,,,,4991,28,,,2755,8,,,,,,,166,16,,,820,19,,,,,,,,,,,,,,,,,,,241,7,,,,,,,,,,,116,20,,,,,,,,,,,,,,,132,64,261,32,,,,,,,,,,,,,228,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,6,,,35,27,,,,,,,,,,,,,,,,,546,13,,,,,776,8,,,133,6,501,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,13174,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,5,,,,,,,,,,,,,,,,,,,,,,,397,6,,,,,,,4123,5,,,,,,,,,3436,41,6,12,240,45,,,,,449,4,,,,,307,51,,,,,,,,,,,,,,,,,,,,,,,,,192,7,,,,,203,12,,,,,,,,,,,,,,,611,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,,,,,,,,,,,,,,,1085,4,,,,,,,,,,,,,,,,,,,,,1032,4,,,,,,,,,,,94,70,,,,,,,,,,,,,43,6,,,125,2,,,,,,,,,6,3,,,419,7,,,,,,,,,,,,,,,,,,,78,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,52
25821,12797,22,,,,,,,,,,,86,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3529,8,,,,,,,,,708,129,6,17,1405,15,,,,,,,,,,,3262,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2686,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085,5,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719,12741,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,70,,,,,,,8,46,,,,,18,32,650,43,,,,,,,,,10055,12,3,33,451,30,,,,,,,29,46,,,649,27,,,,,,,,,,,,,,,,,,,72,21,,,,,,,,,,,13,43,,,,,,,,,,,,,,,256,47,,,,,,,,,,,,,,,15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,38,,,,,,,,,,,,,,,,,,,,,29,63,,,,,,,,,,,234,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,50,,,,,,,,,,,,,,,,,,,,,,,,,10,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,34
5072,11678,24,,,,,,,,,,,5,20,,,,,,,,,,,,,,,,,16,18,,,,,65,3,,,,,,,,,11,40,,,,,,,,,,,,,116,8,600,45,,,,,,,,,7828,18,6,14,95,72,,,,,,,,,,,458,38,,,,,,,,,,,,,,,13,4,,,,,1048,2,,,,,,,,,,,,,,,205,8,,,,,,,,,93,82,459,23,,,,,,,,,,,,,21,30,,,,,,,,,,,,,,,,,,,,,10,1,,,12,4,,,174,2,,,,,,,,,,,,,,,48,60,10,9,117,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,53,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,33,45,,,,,41,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,67
39856,10219,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,7,,,,,,,,,,,,,,,37,8,,,,,,,70,18,,,,,19,31,1047,30,,,,,,,,,3511,40,,,,,,,,,,,,,,,1089,14,,,,,,,,,,,,,,,,,,,96,16,,,,,,,,,,,228,10,,,,,,,,,,,,,,,1543,6,,,,,,,,,,,,,,,41,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,43,,,,,,,,,,,,,,,,,379,17,,,,,,,,,,,1617,13,,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,24
2392,9850,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,12,,,,,,,256,8,,,,,,,874,36,,,,,,,,,5403,25,,,367,35,,,10,4,164,7,,,,,1047,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,27,,,,,,,,,,,,,,,484,29,240,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,19,,,36,26,,,,,,,,,,,,,,,,,335,19,,,,,96,30,,,,,,,,,,,,,,,,,,,,,,,5,28,,,,,,,22,8,,,,,99,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,42
1258,9807,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,26,,,,,,,1354,20,,,,,,,,,8384,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
