bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
2093,27871,11,,,,,,,,,,,37,11,,,,,,,14,3,,,,,,,24,15,,,,,4,4,10,2,,,,,,,44,11,7,2,,,,,95,17,,,,,40,25,1482,37,,,,,,,,,11163,16,11,9,1106,17,,,,,38,10,56,40,,,890,38,,,,,,,9,2,,,,,,,40,26,9,7,,,41,12,,,,,122,21,,,,,107,10,,,,,,,,,739,31,5323,1,21,2,,,,,6,3,,,370,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,6,,,,,,,,,,,,,401,24,,,47,27,,,,,,,,,,,,,258,27,,,,,276,20,,,,,1294,15,,,,,7,2,,,,,,,,,,,36,13,16,10,,,,,,,25,1,,,206,20,,,,,,,,,,,208,3,,,,,59,20,,,,,26,22,,,,,,,,,280,3,,,,,,,,,,,46,1,,,,,,,2850,1
811,27451,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,3,,,,,,,51,23,,,,,,,3500,17,,,,,,,,,9688,24,,,3571,6,,,,,,,607,9,,,2520,12,,,,,,,,,,,,,,,218,6,,,,,,,,,,,363,15,,,,,,,,,,,,,,,214,59,325,28,,,,,,,,,,,717,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050,2,,,90,22,,,,,,,,,,,,,1278,8,,,,,584,9,,,144,4,429,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,26826,13,,,,,,,,,,,173,6,,,,,,,,,,,,,,,216,6,,,,,,,,,9,4,,,,,45,10,,,,,,,439,6,,,17,4,46,22,2952,20,,,,,268,6,,,8198,30,21,3,1639,12,66,6,,,,,667,8,,,2770,10,,,,,12,2,,,8,2,,,7,2,63,23,14,5,,,,,,,,,1090,2,,,,,236,5,,,,,,,14,4,602,37,433,24,,,13,2,,,,,11,3,46,19,,,,,7,7,,,,,,,61,10,,,,,,,,,7,4,,,,,69,4,,,,,,,,,,,,,1873,6,41,1,96,21,,,,,,,,,,,,,1267,9,,,,,298,18,,,144,3,1736,12,,,,,,,,,6,3,,,,,,,141,4,101,4,,,,,,,,,,,148,23,,,,,11,5,8,3,,,32,9,,,,,254,11,,,7,1,132,5,,,,,,,,,34,10,,,,,,,,,,,,,,,,,,,278,21
29351,25990,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3714,15,,,,,,,,,6138,40,,,159,53,167,2,,,,,108,28,,,154,92,,,,,,,,,,,,,,,141,9,,,,,,,,,,,67,27,10,5,,,,,,,,,,,,,,,80,52,,,,,,,,,,,,,,,,,,,,,,,,,412,2,142,2,,,,,,,,,,,,,,,,,,,,,,,,,,,109,54,,,,,,,,,,,,,,,,,557,17,,,,,,,,,,,12515,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,48,,,,,,,,,,,,,,,,,,,,,,,1217,1,,,,,,,,,246,4,,,,,,,,,,,,,,,,,,,,
2162,25190,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,,,,15,25,,,,,,,135,16,,,,,11,49,1580,36,,,,,,,,,10751,18,,,1,125,,,,,,,81,32,,,1056,31,,,2,4,,,,,,,,,,,18,40,,,,,,,,,,,217,18,,,,,,,,,,,,,3,8,671,36,5,96,,,,,7,4,,,,,129,9,,,,,,,,,,,,,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,56,8,10,,,,,,,,,,,,,,,536,18,,,,,211,22,,,14,11,8764,3,,,,,,,,,,,,,4,6,,,,,13,12,,,,,,,,,,,87,34,,,,,,,,,,,,,,,,,51,22,,,,,120,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,8
822,24774,16,,,,,,,,,,,,,,,,,,,,,,,,,,,53,10,,,,,,,,,,,,,,,43,12,,,,,,,,,,,8,8,20,37,2822,22,,,,,,,,,9396,25,6,21,1420,14,,,,,,,1282,3,,,1223,26,,,,,,,,,,,,,,,31,30,,,,,,,,,,,527,10,,,,,,,,,,,,,,,1577,17,1165,12,,,,,,,,,,,71,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111,12,5,14,176,14,,,,,,,,,,,,,1449,5,,,,,148,28,,,,,922,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,7,,,,,,,,,,,,,,,,,,,,,,,9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,9
2181,22840,17,,,,,,,,,,,,,,,,,,,,,16,2,,,,,208,7,,,,,,,,,,,,,,,17,24,,,,,,,349,10,,,,,126,13,2160,27,,,,,145,8,,,7131,37,17,5,1033,19,101,4,12,3,,,207,19,,,1337,22,,,,,,,,,,,,,,,214,7,,,,,70,10,,,,,235,17,,,,,181,8,,,,,,,18,3,89,89,956,14,,,,,16,3,,,,,34,24,,,,,,,,,,,,,186,7,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,798,17,15,5,173,15,,,,,,,,,,,,,1418,6,,,,,328,15,,,141,6,2094,9,,,,,,,7,5,,,,,,,,,88,9,22,9,,,,,,,15,2,,,805,5,,,,,,,,,,,143,5,,,,,801,6,,,,,130,6,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,964,7
2952,22507,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,16,,,,,,,,,,,,,208,6,3519,16,,,,,,,,,10429,19,5,26,1343,15,,,5,12,,,688,7,,,1838,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,15,,,,,,,,,2204,12,52,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,16,,,237,12,,,,,,,,,,,,,,,,,,,190,25,,,,,226,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,22460,19,,,15,2,,,,,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,8,5,,,,,21,19,,,,,,,346,11,,,,,75,16,2045,29,,,,,,,,,11722,14,,,,,20,12,,,,,164,22,,,,,,,,,,,,,,,,,,,68,20,,,,,30,14,,,,,118,22,,,,,31,11,,,,,,,,,1031,25,2114,7,,,,,,,,,,,58,17,,,,,,,,,,,,,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,23,9,7,65,25,,,,,,,,,,,,,482,21,,,,,791,6,,,,,1931,11,,,,,,,,,,,,,,,,,,,29,8,,,,,24,8,,,,,141,25,,,,,,,,,,,55,8,,,,,62,19,,,,,29,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,10
1111,21411,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,33,,,,,,,,,,,,,,,3159,19,,,,,138,9,,,11246,15,,,1330,16,,,,,,,,,,,918,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4608,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,20507,21,,,,,,,,,,,,,,,,,,,,,,,,,,,190,8,,,,,,,,,,,,,,,,,,,,,,,358,7,,,,,,,8392,4,,,,,,,,,4965,44,12,7,231,42,,,,,235,3,,,,,398,57,,,,,,,,,,,,,,,,,,,,,189,6,,,,,459,13,,,,,,,,,,,,,,,942,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,,,,,,,,,,,,,,,,,,,,1873,7,,,,,,,,,,,,,,,,,1338,7,,,,,,,,,,,70,68,,,,,,,,,,,,,,,,,166,3,,,,,,,,,6,3,,,419,12,,,,,,,,,,,,,,,,,223,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,68
25821,19546,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5874,10,,,,,,,,,6,954,10,13,,,,,,,,,,,,,5789,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5152,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2685,3,,,,,,,,,,,,,,,,,,,,,,,30,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39856,19091,23,,,,,,,,,,,,,,,,,,,,,,,,,,,280,5,,,,,,,,,,,,,,,59,6,,,,,,,229,14,,,,,35,27,2176,26,,,,,,,,,7338,34,,,,,,,,,,,,,,,2775,9,,,,,,,,,,,,,,,65,22,,,,,,,,,,,415,14,,,,,,,,,,,,,,,2387,10,,,,,,,,,,,,,24,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,34,,,,,,,,,,,,,1227,10,,,,,,,,,,,1677,13,,,,,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,20
1258,16672,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,30,,,,,,,4763,12,,,,,,,,,11816,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9209,14869,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,41,,,,,,,,,,,,,74,17,1071,48,,,,,,,,,10293,20,,,55,82,,,,,,,264,16,,,20,255,,,,,,,,,,,,,,,,,,,,,,,,,,,83,25,,,,,,,,,,,,,,,724,32,4,97,,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,672,19,2,19,294,7,,,,,,,,,,,,,471,22,,,,,,,,,,,496,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,18,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,10,12,,,,,,,,,,,,,,,,,,,,
891,14103,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,51,,,,,,,,,,,,,,,1233,45,,,,,,,,,8465,28,,,1425,13,,,,,,,,,,,1327,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,14097,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,8,39,,,,,,,,,,,,,71,18,1092,46,,,,,,,,,4834,46,4,29,996,20,,,8,8,72,8,191,20,,,1111,29,,,,,,,,,,,,,,,117,13,,,,,,,,,,,,,,,,,,,,,,,,,,,771,30,730,18,,,,,,,,,,,18,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,30,,,,,,,,,,,,,,,,,494,19,,,,,355,14,,,134,8,2339,7,,,,,,,,,,,,,,,,,108,7,,,,,,,,,,,,,121,29,,,,,,,,,,,,,,,,,,,,,,,88,10,,,,,,,,,2,21,,,,,,,,,,,,,,,,,,,127,26
3886,13864,28,,,,,,,,,,,,,,,,,,,,,,,,,,,316,4,,,,,,,,,,,,,,,13,30,,,,,,,,,,,,,168,8,6681,8,,,,,,,,,15,937,4,30,364,34,26,10,,,15,13,372,13,,,599,48,,,10,3,,,,,,,,,,,24,35,,,,,,,,,,,1033,3,,,,,,,,,,,,,,,1361,20,97,50,,,,,,,,,,,26,31,,,,,,,21,2,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,47,7,12,268,9,,,,,,,,,,,,,433,25,,,,,572,10,,,423,1,187,48,,,,,,,,,,,,,,,,,128,5,5,15,,,,,,,,,,,123,28,,,,,,,,,,,,,,,,,322,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,32
41114,13601,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13424,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27443,13520,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,32,,,,,,,61,20,,,17,5,36,26,934,51,,,,,,,,,993,118,1,46,470,31,28,9,,,,,95,30,,,707,44,,,,,,,,,,,,,,,,,,,,,37,13,,,,,,,,,,,,,,,,,,,,,4154,7,,,,,,,,,,,,,1829,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,41,,,,,,,,,,,,,,,,,294,26,,,,,218,21,,,,,887,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2503,4
