,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2181,25285,,,,,,,,,,,,,,,,,,,,,9,2,,,,,277,3,,,,,,,,,,,,,,,27,10,,,,,,,138,10,,,,,136,5,1631,13,,,,,315,5,,,7583,12,17,6,1472,10,174,2,14,2,,,210,5,,,1944,4,,,,,,,,,,,,,,,,,,,264,6,,,,,54,11,,,,,185,6,,,,,421,4,,,,,,,18,2,85,73,1540,10,,,,,,,28,3,,,,,19,30,,,,,,,,,,,,,50,5,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,645,6,29,2,177,4,,,,,,,,,,,,,,,1350,3,,,,,351,11,,,101,3,2010,7,,,,,,,10,2,,,,,41,6,,,83,3,30,8,,,,,,,12,2,,,1094,3,,,,,,,,,,,,,218,5,,,,,980,5,,,,,110,5,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389,5
11,12,181,16934,19,4,,,,,,,,,375,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,12,,,,,,,,,,,,,100,8,1159,16,,,,,,,,,9759,10,,,1505,9,,,7,9,,,78,23,,,624,18,,,,,,,,,,,,,,,,,,,106,11,,,,,197,4,,,,,143,11,,,,,,,,,,,,,,,188,45,144,38,,,,,,,,,,,,,,,,,,,9,6,,,,,,,35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,16,,,63,12,,,,,,,,,,,,,,,209,20,,,,,168,22,,,,,649,20,,,,,,,,,,,,,64,3,,,,,,,,,2,3,,,,,,,776,4,,,,,,,,,,,,,9,14,,,,,108,13,,,,,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,25
12,13,320,16615,,,,,,,,,,,101,8,,,,,,,,,,,,,,,99,9,,,,,,,,,15,4,,,,,35,6,,,,,,,95,13,,,14,3,35,17,1025,19,,,,,116,6,,,7413,13,20,4,1172,12,17,8,,,23,13,130,12,,,1394,9,,,,,,,7,3,,,3,2,,,9,3,,,46,23,24,5,,,,,,,,,121,12,,,,,342,5,,,,,,,5,5,161,53,1192,12,,,,,11,4,,,,,15,2,58,13,,,,,11,3,,,,,,,24,11,,,,,,,,,3,7,,,,,51,4,,,,,,,,,,,,,520,10,15,4,44,22,,,,,,,,,,,,,,,418,9,,,,,163,25,,,42,8,929,13,,,,,,,,,2,3,,,,,,,29,11,68,4,,,,,,,,,,,104,16,,,,,17,6,,,3,4,,,29,10,,,,,139,12,,,4,1,36,13,,,,,,,,,47,9,,,,,,,,,,,,,,,,,,,,,219,19
13,14,2243,15894,,,,,,,,,,,,,,,,,,,,,,,,,,,41,11,,,,,,,,,,,,,,,5,46,,,,,,,,,,,,,,,4010,4,,,,,,,,,6461,16,,,,,,,,,,,,,,,1530,6,,,,,,,,,,,,,,,,,,,,,,,,,64,9,,,,,144,10,,,,,,,,,,,,,,,628,15,195,33,,,,,,,,,,,,,20,28,,,,,,,,,,,,,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,3,,,,,,,,,,,,,,,,,,,66,35,,,,,475,9,,,34,9,758,16,,,,,,,5,6,,,,,,,,,,,64,5,,,,,448,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,48
14,15,13,14459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,11,,,,,,,60,15,,,8,5,26,24,956,21,,,,,,,,,7906,11,9,11,1223,11,,,7,8,,,,,9,2,544,21,,,,,,,,,,,,,,,,,,,337,3,,,,,,,,,,,111,13,,,,,,,,,,,,,,,356,27,1033,13,,,,,,,,,,,,,132,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,106,13,5,29,27,,,,,,,,,,,,,,,217,19,,,,,229,17,,,16,10,644,21,,,,,,,,,,,,,,,,,12,16,26,9,,,,,53,5,,,,,113,15,,,,,,,,,,,,,,,,,,,19,29,,,,,,,,,,,,,,,23,11,,,,,,,,,,,,,,,,,,,,,318,16
15,16,1294,12434,,,,,,,,,,,88,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25,,,,,,,,,,,,,52,14,694,32,,,,,,,,,7247,14,6,17,646,22,,,,,,,141,10,,,1227,10,,,,,,,,,,,,,,,,,,,117,9,,,,,,,,,,,73,21,,,,,41,11,,,,,5,3,,,717,13,,,,,,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,330,13,,,39,24,,,,,2,6,,,,,,,,,49,41,,,,,,,,,,,492,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,12,,,,,,,,,,,,,,,,,,,81,15,,,,,7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,21
16,17,25821,12169,,,,,,,,,,,53,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2930,5,,,,,,,,,725,110,9,12,1149,13,,,,,,,,,,,2742,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3410,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128,1,,,,,,,,,,,,,,,,,,,,,,,,,23,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,2425,11760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,4,53,,,,,,,,,,,,,92,10,866,25,,,,,,,,,4314,23,53,2,1026,14,,,6,12,111,7,139,11,,,730,14,,,,,,,,,,,,,,,,,,,67,16,,,,,,,,,,,49,25,,,,,,,,,,,,,,,514,19,634,18,,,,,,,,,,,,,11,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,23,,,,,,,,,,,,,,,,,,,208,21,,,,,551,8,,,54,7,1772,9,,,,,,,,,,,,,,,,,45,8,,,,,,,,,,,,,80,20,,,,,21,4,,,,,,,,,,,,,,,,,,,73,8,,,,,,,,,18,13,,,,,,,,,,,,,,,,,,,,,153,24
18,19,27443,10957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,39,,,,,,,52,18,,,4,8,29,21,592,35,,,,,,,,,652,115,3,34,494,25,25,7,,,,,75,25,,,333,38,,,,,,,,,,,,,,,,,,,,,,,,,31,12,,,,,,,,,,,,,,,,,,,,,460,22,2300,8,,,,,,,,,,,,,2211,1,,,,,,,,,,,,,,,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,169,21,,,,,,,,,,,,,,,,,,,228,17,,,,,273,14,,,,,643,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2345,1
19,20,5072,9739,,,,,,,,,,,6,20,,,,,,,,,,,,,,,15,17,,,,,72,2,,,,,,,,,9,31,,,,,,,,,,,,,103,7,388,48,,,,,,,,,7119,15,2,38,56,76,,,,,,,,,,,267,41,,,,,,,,,,,,,,,17,2,,,,,464,2,,,,,,,,,,,,,,,162,8,,,,,,,,,90,69,420,24,,,,,,,,,,,,,15,38,,,,,,,,,,,,,,,,,,,12,1,,,24,2,,,126,2,,,,,,,,,,,,,,,74,42,9,10,80,9,,,,,,,,,,,,,,,,,,,,,,,,,,,91,59,,,,,,,,,,,,,,,14,3,,,,,,,,,,,,,,,13,63,,,,,52,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,59
20,21,822,9535,,,,,,,,,,,,,,,,,,,,,,,,,,,19,16,,,,,,,,,,,,,,,10,26,,,,,,,,,,,8,6,15,32,1142,17,,,,,,,,,3955,25,14,7,439,26,,,,,,,157,8,,,402,32,,,,,,,,,,,,,,,,,,,41,25,,,,,,,,,,,75,19,,,,,,,,,,,,,,,424,24,721,17,,,,,,,,,,,,,49,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,19,10,8,42,23,,,,,,,,,,,,,,,409,10,,,,,112,30,,,,,767,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,13,,,,,,,,,,,,,,,,,,,,,,,,,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,13
21,22,811,9105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,2,,,,,,,21,27,,,,,,,938,22,,,,,,,,,3425,31,,,1513,8,,,,,,,69,26,,,670,17,,,,,,,,,,,,,,,,,,,247,7,,,,,,,,,,,64,22,,,,,,,,,,,,,,,71,79,248,29,,,,,,,,,,,,,210,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707,5,,,27,28,,,,,,,,,,,,,,,156,25,,,,,370,10,,,54,6,254,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,5432,8518,,,,,,,,,,,132,7,,,12,2,,,,,,,,,,,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,65,,,,,,,,,5687,18,,,886,18,,,,,190,6,20,49,,,130,68,,,,,,,,,,,,,,,8,4,,,50,21,98,3,,,,,,,,,,,,,,,244,6,,,,,,,,,111,62,100,46,,,,,,,,,,,,,19,33,,,,,,,,,,,,,,,22,7,,,,,,,14,3,,,33,3,,,,,,,,,,,,,,,63,51,5,14,46,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3,,,12,2,,,292,2,,,,,,,,,,,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,37
23,24,2136,8294,,,,,,,,,,,,,,,,,,,,,,,,,,,113,8,,,,,,,,,,,,,,,,,,,,,,,171,8,,,,,,,2661,7,,,,,,,,,2475,42,4,24,160,47,,,,,312,4,,,,,178,59,,,,,,,,,,,,,,,,,,,,,,,,,113,6,,,,,148,9,,,,,,,,,,,,,,,311,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,,,,,,,,,,625,7,,,,,,,,,,,,,,,,,,,561,6,,,,,,,,,,,67,66,,,,,,,,,,,,,12,7,,,59,5,,,,,,,,,2,3,,,237,8,,,,,,,,,,,,,,,,,,,61,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,129
24,25,2952,7994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,13,,,,,,,,,,,,,57,13,785,28,,,,,,,,,3404,32,3,29,576,24,,,1,14,,,127,13,,,526,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,,,,,,,,,483,20,25,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,31,,,61,13,,,,,,,,,,,,,,,,,,,,,174,20,,,,,117,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,2719,7952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,63,,,,,,,1,63,,,,,19,27,785,27,,,,,,,,,5736,17,3,28,239,35,,,,,,,24,44,,,486,26,,,,,,,,,,,,,,,,,,,69,15,,,,,,,,,,,14,38,,,,,,,,,,,,,,,168,48,,,,,,,,,,,,,,,12,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,43,,,,,,,,,,,,,,,,,,,46,44,,,,,,,,,,,132,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,28,,,,,,,,,,,,,,,,,,,,,,,,,3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,34
26,27,6819,7766,,,,,,,,,,,,,,,,,,,,,,,,,,,59,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,15,4944,2,,,,,,,,,1404,69,26,3,43,89,,,,,,,37,35,,,162,63,,,,,,,,,,,,,,,,,,,22,34,,,,,,,,,,,,,,,,,,,,,,,7,2,,,134,58,63,56,,,,,,,,,,,,,5,59,,,,,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,58,54,,,32,26,,,,,,,,,,,,,,,396,11,,,,,41,45,,,,,156,48,,,,,,,,,,,,,,,,,7,23,,,,,,,,,,,,,47,33,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49
27,28,1258,6844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,32,,,,,,,1102,18,,,,,,,,,5681,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
